[ ^zz++++=[The
the ^ati++++=EXTRAWORD
capitalist ^nn+nom+++=capitalist,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
industrial ^jj+atrb+++=industrial
oligarch ^nn+++??+=oligarch,
, ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater,
, ^zz++++=EXTRAWORD
mentioned ^j+++xvbn+=mentioned
in ^in++++=in
the ^ati++++=the
narrative ^nn++++=narrative,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
the ^ati++++=the
ninth ^od++++=ninth
in ^in++++=in
the ^ati++++=the
line ^nn++++=line
of ^in++++=of
the ^ati++++=the
Vanderwaters ^nns+nom++??+=Vanderwaters
that ^tht+rel+subj++=that
controlled ^vbd+++xvbn+=controlled
for ^in++++=for
hundreds ^cds++++=hundreds
of ^in++++=of
years ^nns++++=years
the ^ati++++=the
cotton ^nn++++=cotton
factories ^nns++++=factories
of ^in++++=of
the ^ati++++=the
South ^np+pl+++=South.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
flourished ^vbd+++xvbn+=flourished
in ^in++++=in
the ^ati++++=the
last ^jj+atrb+++=last
decades ^nns++++=decades
of ^in++++=of
the ^ati++++=the
twenty ^cd++++=twenty-sixth
- ^zz++++=EXTRAWORD
sixth ^od++++=EXTRAWORD
century ^nn++++=century
after ^in++++=after
Christ ^np++++=Christ,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
fifth ^nn++++=fifth
century ^nn++++=century
of ^in++++=of
the ^ati++++=the
terrible ^jj+atrb+++=terrible
industrial ^jj+atrb+++=industrial
oligarchy ^nn++++=oligarchy
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
reared ^vpsv++agls+xvbnx+=reared
upon ^in++++=upon
the ^ati++++=the
ruins ^nns++++=ruins
of ^in++++=of
the ^ati++++=the
early ^jj+atrb+++=early
Republic ^nn++++=Republic.
. ^zz++++=EXTRAWORD
From ^in++++=From
internal ^jj+atrb+++=internal
evidences ^nns+nom+++=evidences
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
convinced ^jj++agls+xvbnx+=convinced
that ^tht+jcmp+++=that
the ^ati++++=the
narrative ^nn++++=narrative
which ^whp+rel+subj++=which
follows ^vbz+vprv+++=follows
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
reduced ^vbd+++xvbn+=reduced
to ^to++++=to
writing ^vbi++++=writing
till ^in++++=till
the ^ati++++=the
twenty ^cd++++=twenty-ninth
- ^zz++++=EXTRAWORD
ninth ^od++++=EXTRAWORD
century ^nn++++=century.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
unlawful ^jj++++=unlawful
to ^to++++=to
write ^vbi++++=write
or ^cc++++=or
print ^nn++++=print
such ^abl++++=such
matter ^nn++++=matter
during ^in++++=during
that ^dt+dem+++=that
period ^nn++++=period,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
workingclass ^nns+++??+=workingclass
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
illiterate ^jj++++=illiterate
that ^dt+dem+++=that
only ^rb+down+++=only
in ^in++++=in
rare ^jj+atrb+++=rare
instances ^nns+nom+++=instances
were ^vbd+bed+vrb++=were
its ^pp$+it+++=its
members ^nns+nom+++=members
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
read ^vb+vprv++xvbn+=read
and ^cc+phrs+++=and
write ^vb++++=write.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
dark ^jj+atrb+++=dark
reign ^nn++++=reign
of ^in++++=of
the ^ati++++=the
overman ^nn++++=overman,
, ^zz++++=EXTRAWORD
in ^in++++=in
whose ^whp+rel+pied++=whose
speech ^nn++++=speech
the ^ati++++=the
great ^jj+atrb+++=great
mass ^nn++++=mass
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
were ^vbd+bed+aux++=were
characterized ^vpsv++agls+xvbnx+=characterized
as ^ql++++=as
the ^ati++++=the
" ^zz++++="herd
