Knowing ^vbg+vprv++xvbg+=Knowing
Good ^jj++++=Good
and ^cc++++=and
Evil ^nn++++=Evil.
. ^zz++++=EXTRAWORD
Scene. ^np+++??+=SCENE.--_The_
-- ^--+clp+++=EXTRAWORD
_the_ ^nn+++??+=EXTRAWORD
Gadsbys ^np+++??+=GADSBYS'
' ^zz++++=EXTRAWORD
_bungalow ^nn+++??+=_bungalow
in ^in++++=in
the ^ati++++=the
Plains ^np+++??+=Plains,
, ^zz++++=EXTRAWORD
in ^in++++=in
June ^nr++++=June.
. ^zz++++=EXTRAWORD
Punkah ^np+++??+=Punkah-coolies
- ^zz++++=EXTRAWORD
coolies ^nns++++=EXTRAWORD
asleep ^jj++++=asleep
in ^in++++=in
veranda ^nn++++=veranda
where_ ^nn+++??+=where_
Captain ^npt++++=CAPTAIN
Gadsby ^np+++??+=GADSBY
_is ^nns+++??+=_is
walking ^vwbg+++xvbg+=walking
up ^rp++++=up
and ^cc++++=and
down._ ^nn+++??+=down._
Doctor ^np++++=DOCTOR'S
's ^$++++=EXTRAWORD
_trap ^nn+++??+=_trap
in ^in++++=in
porch._ ^nn+++??+=porch._
Junior ^jj+atrb+++=JUNIOR
Chaplain ^npt++++=CHAPLAIN
_drifting ^vwbg+++xvbg+=_drifting
generally ^rb+down+++=generally
and ^cc+phrs+++=and
uneasily ^rb++++=uneasily
through ^in++++=through
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Time,_ ^np+++??+=Time,_
3.40 ^cd++++=3.40
A ^at++++=A.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
_heat ^nn+++??+=_Heat
94 ^cd++++=94
degrees ^nns+nom+++=degrees
in ^in++++=in
veranda._ ^nn+++??+=veranda._
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Coming
_coming ^jj+++xvbg+=EXTRAWORD
into ^in++++=into
veranda ^nn++++=veranda
and ^cc++++=and
touching_ ^nn+++??+=touching_
G ^zz++++=G.
. ^zz++++=EXTRAWORD
_on ^nn+++??+=_on
the ^ati++++=the
shoulder._ ^nn+++??+=shoulder._)
) ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vb+hv+aux++=had
