A ^at++++=A
rather ^rb++++=rather
small ^jj+atrb+++=small
young ^jj+atrb+++=young
man ^nn++++=man
sat ^vwbn+++xvbn+=sat
by ^in++++=by
the ^ati++++=the
window ^nn++++=window
of ^in++++=of
a ^at++++=a
pretty ^jj+atrb+++=pretty
seaside ^nn++++=seaside
cottage ^nn+nom+++=cottage
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
persuade ^vbi++++=persuade
himself ^ppl+pp3+++=himself
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
reading ^vbg+++xvbgx+=reading
the ^ati++++=the
newspaper ^nn+nom+++=newspaper.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
about ^in++++=about
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
eight ^cd++++=eight
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
glory ^nn++++=glory
roses ^nns++++=roses
hung ^vbd+++xvbn+=hung
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
sunshine ^nn++++=sunshine
like ^in++++=like
little ^ap++++=little
bowls ^nns++++=bowls
of ^in++++=of
fire ^nn++++=fire
tipped ^vwbn+++xvbn+=tipped
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
man ^nn++++=man
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^in++++=at
the ^ati++++=the
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^in++++=at
his ^pp$+pp3+++=his
own ^ap++++=own
big ^jj+atrb+++=big
silver ^nn++++=silver
watch ^vb++++=watch.
. ^zz++++=EXTRAWORD
An ^at++++=An
expression ^nn++++=expression
of ^in++++=of
stiff ^jj+atrb+++=stiff
endurance ^nn+nom+++=endurance
came ^vbd+++xvbn+=came
on ^in+cmpx+++=on
to ^in"++++=to
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
rose ^vbd+++xvbnx+=rose
and ^cc+phrs+++=and
reflected ^vbd+vprv++xvbn+=reflected
on ^in++++=on
the ^ati++++=the
oil ^nn++++=oil-paintings
- ^zz++++=EXTRAWORD
paintings ^nns++++=EXTRAWORD
that ^tht+rel+subj++=that
hung ^vwbn+++xvbn+=hung
on ^in++++=on
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
careful ^jj+atrb+++=careful
but ^cc+phrs+++=but
hostile ^jj+atrb+++=hostile
attention ^nn+nom+++=attention
to ^to++++=to
" ^zz++++="The
the ^ati++++=EXTRAWORD
Stag ^nn++++=Stag
at ^in++++=at
Bay ^npl++++=Bay".
" ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
the ^ati++++=the
lid ^nn++++=lid
of ^in++++=of
the ^ati++++=the
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
locked ^vbd+++xvbn+=locked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
sight ^nn++++=sight
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
face ^nn++++=face
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
pulled ^j+++xvbn+=pulled
his ^pp$+pp3+++=his
brown ^jj+atrb+++=brown
moustache ^nn++++=moustache,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
alert ^jj+atrb+++=alert
interest ^nn++++=interest
sprang ^vbd+++xvbn+=sprang
into ^in++++=into
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
ill ^jj++++=ill-favoured.
- ^zz++++=EXTRAWORD
favoured ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
twisted ^vbd+++xvbnx+=twisted
his ^pp$+pp3+++=his
moustache ^nn++++=moustache.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
figure ^nn++++=figure
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
alert ^nn++++=alert
and ^cc++++=and
vigorous ^jj++++=vigorous.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
from ^in++++=from
the ^ati++++=the
mirror ^nn++++=mirror
a ^at++++=a
look ^nn++++=look
of ^in++++=of
self ^nn++++=self-commiseration
- ^zz++++=EXTRAWORD
commiseration ^nn+nom+++=EXTRAWORD
mingled ^vbd+++xvbn+=mingled
with ^in++++=with
his ^pp$+pp3+++=his
appreciation ^nn+nom+++=appreciation
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
physiognomy ^nn+++??+=physiognomy.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
state ^nn++++=state
of ^in++++=of
self ^nn++++=self-suppression,
- ^zz++++=EXTRAWORD
suppression ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
through ^in++++=through
into ^in++++=into
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
jacket ^nn++++=jacket,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
dejected ^jj++++=dejected.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
new ^jj+pred+++=new,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
smart ^jj++++=smart
and ^cc++++=and
self ^nn++++=self-confident
- ^zz++++=EXTRAWORD
confident ^jj+atrb+++=EXTRAWORD
air ^nn++++=air,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
upon ^in++++=upon
a ^at++++=a
confident ^jj+atrb+++=confident
body ^nn++++=body.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
contemplated ^vbd+++xvbnx+=contemplated
the ^ati++++=the
Tree ^nn++++=Tree
of ^in++++=of
Heaven ^nn++++=Heaven
that ^tht+rel+subj++=that
flourished ^vpsv++by+xvbn+=flourished
by ^in++++=by
the ^ati++++=the
lawn ^nn++++=lawn,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
sauntered ^vbd+++xvbn+=sauntered
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
next ^ap++++=next
plant ^nn++++=plant.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
promise ^nn++++=promise
in ^in++++=in
a ^at++++=a
crooked ^jj+atrb+++=crooked
apple ^nn++++=apple
tree ^nn++++=tree
covered ^vbd+++xvbn+=covered
with ^in++++=with
brown ^np++++=brown-red
- ^zz++++=EXTRAWORD
red ^jj+atrb+++=EXTRAWORD
fruit ^nn++++=fruit.
. ^zz++++=EXTRAWORD
Glancing ^vbg+++xvbg+=Glancing
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
broke ^vbd+++xvbnx+=broke
off ^rb+phrv+++=off
an ^at++++=an
apple ^nn++++=apple
and ^cc++++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
clean ^jj++++=clean,
, ^zz++++=EXTRAWORD
sharp ^jj++++=sharp
bite ^vb++++=bite.
. ^zz++++=EXTRAWORD
To ^in++++=To
his ^pp$+pp3+++=his
surprise ^nn++++=surprise
the ^ati++++=the
fruit ^nn++++=fruit
was ^vbd+bedz+vrb++=was
sweet ^jj+pred+++=sweet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
again ^rb+tm+++=again
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^in++++=to
survey ^nn++++=survey
the ^ati++++=the
bedroom ^nn++++=bedroom
windows ^nns++++=windows
overlooking ^vwbg+++xvbg+=overlooking
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
started ^vbd+++xvbnx+=started,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
figure ^nn++++=figure;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
gazing ^vbg+++xvbgx+=gazing
across ^in+pl+++=across
to ^in++++=to
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
ignorant ^jj++++=ignorant
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
