About ^in++++=ABOUT
Waldemar ^np+++??+=WALDEMAR
Daa ^np+++??+=DAA
And ^cc++++=AND
His ^pp$+pp3+++=HIS
Daughters ^nns+nom+++=DAUGHTERS
When ^wrb+who+++=When
the ^ati++++=the
wind ^nn++++=wind
sweeps ^vbz++++=sweeps
across ^in+pl+++=across
a ^at++++=a
field ^nn++++=field
of ^in++++=of
grass ^nn++++=grass
it ^pp3+it+++=it
makes ^vbz++++=makes
little ^ap++++=little
ripples ^vbz++++=ripples
in ^in++++=in
it ^pp3+it+++=it
like ^in++++=like
a ^at++++=a
lake ^nn++++=lake;
; ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
field ^nn++++=field
of ^in++++=of
corn ^nn++++=corn
it ^pp3+it+++=it
makes ^vbz++++=makes
great ^jj+atrb+++=great
waves ^nns++++=waves
like ^in++++=like
the ^ati++++=the
sea ^nn++++=sea
itself ^ppl++++=itself:
: ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
wind ^nn++++=wind's
's ^$++++=EXTRAWORD
frolic ^nn++++=frolic.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
listen ^vb++++=listen
to ^in++++=to
the ^ati++++=the
stories ^nns++++=stories
it ^pp3+it+++=it
tells ^vbz++++=tells;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
sings ^vbz++++=sings
them ^pp3o+pp3+++=them
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
song ^nn++++=song
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees
of ^in++++=of
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
very ^ql+amp+++=very
different ^jj+atrb+++=different
one ^cd1++++=one
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
pent ^jj+pred+++=pent
up ^rp++++=up
within ^in++++=within
walls ^nns++++=walls
with ^in++++=with
all ^abn++++=all
their ^pp$+pp3+++=their
cracks ^nns++++=cracks
and ^cc++++=and
crannies ^nns+++??+=crannies.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
the ^ati++++=the
wind ^nn++++=wind
chases ^nns++++=chases
the ^ati++++=the
white ^jj+atrb+++=white
fleecy ^nn+++??+=fleecy
clouds ^nns++++=clouds
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
a ^at++++=a
flock ^nn++++=flock
of ^in++++=of
sheep ^nn++++=sheep?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
the ^ati++++=the
wind ^nn++++=wind
down ^rp++++=down
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
howling ^jj+++xvbg+=howling
in ^in++++=in
the ^ati++++=the
open ^jj+atrb+++=open
doorway ^nn++++=doorway
like ^in++++=like
a ^at++++=a
watchman ^nn+nom+++=watchman
winding ^vwbg+++xvbg+=winding
his ^pp$+pp3+++=his
horn ^nn++++=horn?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
whistles ^nns++++=whistles
in ^in++++=in
the ^ati++++=the
chimneys ^nns++++=chimneys,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
the ^ati++++=the
fire ^nn++++=fire
crackle ^nn+++??+=crackle
and ^cc++++=and
sparkle ^nn++++=sparkle.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
cosy ^jj++++=cosy
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
to ^to++++=to
sit ^vbi++++=sit
in ^in++++=in
the ^ati++++=the
warm ^jj+atrb+++=warm
glow ^nn++++=glow
of ^in++++=of
the ^ati++++=the
fire ^nn++++=fire
listening ^vwbg+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
tales ^nns++++=tales
it ^pp3+it+++=it
has ^md"++pmd"++=has
to ^md+nec+++=to
tell ^vb++++=tell!
! ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
wind ^nn++++=wind
tell ^vb++++=tell
its ^pp$+it+++=its
own ^ap++++=own
story ^nn++++=story!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you
more ^ql++++=more
adventures ^nns++++=adventures
than ^in++++=than
all ^abn++++=all
of ^in++++=of
us ^pp1o+pp1+++=us
put ^vbd+++xvbn+=put
together ^rb+phrv+++=together.
. ^zz++++=EXTRAWORD
Listen ^vb++++=Listen
now ^rn+tm+++=now:
: ^zz++++=EXTRAWORD
' ^zz++++='Whew!
whew ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Whew ^np+++??+=Whew!
! ^zz++++=EXTRAWORD
Fare ^vb++++=Fare
away ^rp+pl+++=away!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
refrain ^nn++++=refrain
of ^in++++=of
his ^pp$+pp3+++=his
song ^nn++++=song.
. ^zz++++=EXTRAWORD
' ^zz++++='Close
close ^in+cmpx+++=EXTRAWORD
to ^in"++++=to
the ^ati++++=the
Great ^jj+atrb+++=Great
Belt ^nn++++=Belt
stands ^vbz++++=stands
an ^at++++=an
old ^jj+atrb+++=old
mansion ^nn++++=mansion
with ^in++++=with
thick ^jj+atrb+++=thick
red ^jj+atrb+++=red
walls ^nns++++=walls,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
every ^at++++=every
stone ^nn++++=stone
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
them ^pp3o+pp3+++=them
before ^cs+sub+++=before
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
formed ^vbd+++xvbnx+=formed
part ^nn++++=part
of ^in++++=of
Marsk ^np+++??+=Marsk
Stig ^np++++=Stig's
's ^$++++=EXTRAWORD
Castle ^nn++++=Castle
on ^in++++=on
the ^ati++++=the
Ness ^np++++=Ness.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^md"++pmd"++=had
to ^md+nec+++=to
come ^vb++++=come
down ^rp++++=down.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stones ^nns++++=stones
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
a ^at++++=a
new ^jj+atrb+++=new
wall ^nn++++=wall
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
castle ^nn++++=castle
in ^in++++=in
another ^dt++++=another
place ^nn++++=place
Borreby ^np+++??+=Borreby
Hall ^npl++++=Hall
as ^ql++++=as
it ^pp3+it+++=it
now ^rn+tm+++=now
stands ^vbz++++=stands.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
watched ^vprf+++xvbnx+=watched
the ^ati++++=the
highborn ^jj+atrb++xvbn+=highborn
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
various ^jj+atrb+++=various
races ^nns++++=races
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
you ^pp2+pp2+++=you
about ^in++++=about
Waldemar ^np+++??+=Waldemar
Daa ^np+++??+=Daa
and ^cc++++=and
his ^pp$+pp3+++=his
daughters ^nns+nom+++=daughters!
! ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
held ^vbd+vprv+tht0+xvbnx+=held
his ^pp$+pp3+++=his
head ^jjb++++=head
very ^ql+amp+++=very
high ^np++++=high,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
of ^in++++=of
a ^at++++=a
royal ^jj+atrb+++=royal
stock ^nn++++=stock!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
mere ^jjb++++=mere
chasing ^jj+++xvbg+=chasing
of ^in++++=of
a ^at++++=a
stag ^nn++++=stag,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
emptying ^nn++++=emptying
of ^in++++=of
a ^at++++=a
flagon ^nn+++??+=flagon;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
