But ^cc++++=But
a ^ap++++=a
few ^ap"++++=few
miles ^nns++++=miles
from ^in++++=from
the ^ati++++=the
city ^nn++++=city
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
sloping ^jj+atrb++xvbg+=sloping
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
stream ^nn++++=stream
noted ^vbd+vprv++xvbn+=noted
more ^rbr++++=more
for ^in++++=for
its ^pp$+it+++=its
plenitude ^nn+++??+=plenitude
of ^in++++=of
" ^zz++++="chubs"
chubs ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="shiners"
shiners ^nns+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
than ^in++++=than
the ^ati++++=the
gamier ^jjr+atrb+++=gamier
twoand ^nn+++??+=twoand
four ^cd++++=four-pound
- ^zz++++=EXTRAWORD
pound ^nn++++=EXTRAWORD
bass ^np++++=bass
for ^in++++=for
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
season ^nn++++=season,
, ^zz++++=EXTRAWORD
so ^ql++++=so
many ^ap++++=many
credulous ^jj+atrb+++=credulous
anglers ^nns+nom+++=anglers
flock ^nn++++=flock
and ^cc++++=and
lie ^nn++++=lie
in ^in++++=in
wait ^nn++++=wait,
, ^zz++++=EXTRAWORD
stands ^vbz++++=stands
a ^at++++=a
country ^nn++++=country
residence ^nn+nom+++=residence,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
convenient ^jj++++=convenient
to ^to+jcmp+++=to
the ^ati++++=the
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
inviting ^jj+++xvbg+=inviting
in ^in++++=in
its ^pp$+it+++=its
pleasant ^jj+atrb+++=pleasant
exterior ^nn++++=exterior
and ^cc++++=and
comfortable ^jj+atrb+++=comfortable
surroundings ^nns++++=surroundings
barn ^nn++++=barn,
, ^zz++++=EXTRAWORD
dairy ^nn++++=dairy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spring ^nn++++=spring-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
that ^tht+rel+obj++=that
the ^ati++++=the
weary ^jj++++=weary,
, ^zz++++=EXTRAWORD
sunburnt ^j+++xvbn+=sunburnt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disheartened ^xvbn+++xvbn+=disheartened
fisherman ^nn+nom+++=fisherman,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
dusty ^jj+atrb+++=dusty
town ^nn++++=town
for ^in++++=for
a ^at++++=a
day ^nn++++=day
of ^in++++=of
recreation ^nn+nom+++=recreation,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
often ^rb++++=often
wont ^nn++++=wont
to ^to++++=to
seek ^vbi++++=seek
its ^pp$+it+++=its
hospitality ^nn+nom+++=hospitality.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
in ^in++++=in
style ^nn++++=style
of ^in++++=of
architecture ^nn++++=architecture
is ^vbz+bez+vrb++=is
something ^pn++++=something
of ^in++++=of
a ^at++++=a
departure ^nn++++=departure
from ^in++++=from
the ^ati++++=the
typical ^jj+atrb+++=typical
farmhouse ^nn++++=farmhouse,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
designed ^xvbn+++xvbn+=designed
and ^cc+phrs+++=and
fashioned ^xvbn+++xvbn+=fashioned
with ^in++++=with
no ^at++++=no
regard ^nn++++=regard
to ^in++++=to
symmetry ^nn++++=symmetry
or ^cc++++=or
proportion ^nn+nom+++=proportion,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+aux++=is
suggested ^vpsv++agls+xvbnx+=suggested,
, ^zz++++=EXTRAWORD
built ^j+++xvbn+=built
to ^to++++=to
conform ^vbi++++=conform
to ^in++++=to
the ^ati++++=the
matter ^nn++++=matter-of-fact
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
fact ^nn++++=EXTRAWORD
and ^cc++++=and
most ^ql+emph+++=most
sensible ^jj+atrb+++=sensible
ideas ^nns++++=ideas
of ^in++++=of
its ^pp$+it+++=its
owner ^nn++++=owner,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
pleased ^vbd+++xvbn+=pleased
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+vrb++=have
small ^jj+atrb+++=small
windows ^nns++++=windows
where ^wrb+who+++=where
large ^jj+atrb+++=large
ones ^cd1s++++=ones
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vice ^nn++++=vice
versa ^rb"++++=versa,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
balanced ^vbd+++xvbnx+=balanced
properly ^rb++++=properly
to ^in++++=to
the ^ati++++=the
eye ^nn++++=eye
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
chimneys ^nns++++=chimneys
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+vrb++=have
as ^in++++=as
many ^ap++++=many
as ^ql++++=as
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
two ^cd++++=two
alike ^rb+cnj+++=alike,
, ^zz++++=EXTRAWORD
in ^in++++=in
either ^dtx++++=either
height ^nn++++=height
or ^cc++++=or
size ^nn++++=size.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
the ^ati++++=the
front ^nn++++=front
of ^in++++=of
the ^ati++++=the
house ^npl++++=house
turned ^vbd+++xvbn+=turned
from ^in++++=from
all ^rb++++=all
possible ^jj+atrb+++=possible
view ^nn++++=view,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
abashed ^xvbn+++xvbn+=abashed
at ^in++++=at
any ^dti++++=any
chance ^nn++++=chance
of ^in++++=of
public ^jj+atrb+++=public
scrutiny ^nn++++=scrutiny,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
affair ^nn++++=affair
and ^cc++++=and
not ^xnot++not++=not
the ^ati++++=the
public ^jj+atrb+++=public's;
's; ^nn+++??+=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
like ^in++++=like
perverseness ^nns+nom+++=perverseness,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
chose ^vbd+++xvbnx+=chose
to ^in++++=to
thrust ^nn+++xvbn+=thrust
his ^pp$+pp3+++=his
kitchen ^nn++++=kitchen
under ^in++++=under
the ^ati++++=the
public ^jj+atrb+++=public's
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ap+amp+++=very
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
should ^md+nec+++=should
the ^ati++++=the
generally ^rb+down+++=generally
fagged ^jj+++xvbn+=fagged-out,
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
half ^abn++++=half-famished
- ^zz++++=EXTRAWORD
famished ^jj++++=EXTRAWORD
representative ^jj++++=representative
[ ^zz++++=[70]of
70]of ^cd++++=EXTRAWORD
that ^cs+sub+++=that
dignified ^jj+atrb+++=dignified
public ^nn++++=public
do ^vb+do+vrb++=do
but ^cc++++=but
reel ^nn++++=reel
in ^in++++=in
his ^pp$+pp3+++=his
dead ^jj+atrb+++=dead
minnow ^nn++++=minnow,
