Having ^xvbg+++xvbg+=Having
earned ^vprf+++xvbn+=earned,
, ^zz++++=EXTRAWORD
by ^in++++=by
many ^ap++++=many
years ^nns++++=years
of ^in++++=of
fidelity ^nn+nom+++=fidelity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
be ^vbi++vrb++=be
sometimes ^rb++++=sometimes
inconstant ^jj+pred+++=inconstant
to ^in++++=to
our ^pp$+pp1+++=our
English ^jj++++=English
watering ^jj+++xvbg+=watering-place,
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
dallied ^vprf+++xvbnx+=dallied
for ^in++++=for
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
seasons ^nns++++=seasons
with ^in++++=with
a ^at++++=a
French ^jj++++=French
watering ^jj+++xvbg+=watering-place:
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
once ^rb+tm+++=once
solely ^rb++++=solely
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
us ^pp1o+pp1+++=us
as ^in++++=as
a ^at++++=a
town ^nn++++=town
with ^in++++=with
a ^at++++=a
very ^ql+amp+++=very
long ^rb++++=long
street ^nn++++=street,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
with ^in++++=with
an ^at++++=an
abattoir ^nn+++??+=abattoir
and ^cc++++=and
ending ^nvbg+++xvbg+=ending
with ^in++++=with
a ^at++++=a
steam ^nn++++=steam-boat,
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
our ^pp$+pp1+++=our
fate ^nn++++=fate
to ^to++++=to
behold ^vbi++++=behold
only ^rb+down+++=only
at ^rb++++=at
daybreak ^nn+++??+=daybreak
on ^in++++=on
winter ^nn++++=winter
mornings ^nns++++=mornings,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
( ^zz++++=(in
in ^in++++=EXTRAWORD
the ^ati++++=the
days ^nns++++=days
before ^in++++=before
continental ^jj+atrb+++=continental
railroads ^nns+++??+=railroads),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
sufficiently ^rb++++=sufficiently
awake ^jj++++=awake
to ^to++++=to
know ^vbi+vprv+++=know
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
most ^ql+emph+++=most
uncomfortably ^rb++++=uncomfortably
asleep ^jj++++=asleep,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
destiny ^nn++++=destiny
always ^rb++++=always
to ^in++++=to
clatter ^nn++++=clatter
through ^in++++=through
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
coupe ^nn+++??+=coupe
of ^in++++=of
the ^ati++++=the
diligence ^nn+nom+++=diligence
from ^in++++=from
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sea ^nn++++=sea
of ^in++++=of
mud ^nn++++=mud
behind ^in+pl+++=behind
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
sea ^nn++++=sea
of ^in++++=of
tumbling ^xvbg+++xvbg+=tumbling
waves ^nns++++=waves
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
In ^in++++=In
relation ^nn+nom+++=relation
to ^in"++++=to
which ^whp+who+++=which
latter ^ap++++=latter
monster ^nn+nom+++=monster,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
mind ^nn++++=mind's
's ^$++++=EXTRAWORD
eye ^nn++++=eye
now ^rn+tm+++=now
recalls ^vbz++++=recalls
a ^at++++=a
worthy ^jj+atrb+++=worthy
Frenchman ^nn+nom+++=Frenchman
in ^in++++=in
a ^at++++=a
seal ^nn++++=seal-skin
- ^zz++++=EXTRAWORD
skin ^nn++++=EXTRAWORD
cap ^nn++++=cap
with ^in++++=with
a ^at++++=a
braided ^jj+atrb+++=braided
hood ^nn++++=hood
over ^in++++=over
