Hardly ^rb+down+++=Hardly
was ^vbd+bedz+aux++=was
I ^pp1a+pp1+++=I
settled ^vbd+++xvbnx+=settled
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
inevitable ^jj+atrb+++=inevitable
bowl ^nn++++=bowl
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
bearer ^nn++++=bearer
delivered ^vwbn+++xvbn+=delivered
a ^at++++=a
message ^nn+nom+++=message
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
dreaded ^vprf+++xvbn+=dreaded
to ^to+vcmp+++=to
receive: ^vb+++??+=receive:-"John
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
john ^np++++=EXTRAWORD
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am,
'am, ^nn+++??+=EXTRAWORD
and ^cc++++=and
wants ^vbz++++=wants
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can
come ^vb++++=come."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
moment ^nn++++=moment
this ^dt+dem+++=this
boy ^nn++++=boy
is ^vbz+bez+vrb++=is
asleep ^jj+pred+++=asleep;
; ^zz++++=EXTRAWORD
tell ^vb++++=tell
him ^pp3o+pp3+++=him
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
know ^vb+vprv+++=know
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
in ^in++++=in
danger ^nn++++=danger
of ^in++++=of
being ^xvbg+++xvbg+=being
too ^ql++++=too
late ^jj++++=late."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
Ganymede ^np+++??+=Ganymede
departed ^vbd+++xvbn+=departed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
quieted ^vbd+++xvbnx+=quieted
poor ^jj+atrb+++=poor
Shaw ^np++++=Shaw,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
John ^np++++=John.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
in ^in++++=in
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two
after ^in++++=after
the ^ati++++=the
others ^aps++++=others;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
entered ^vbd+++xvbnx+=entered
my ^pp$+pp1+++=my
" ^zz++++="pathetic
pathetic ^jj+atrb+++=EXTRAWORD
room ^nn++++=room,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
lately ^rb+tm+++=lately
emptied ^vbd+++xvbn+=emptied
bed ^nn++++=bed
occupied ^vwbn+++xvbn+=occupied
by ^in++++=by
a ^at++++=a
large ^jj+atrb+++=large,
, ^zz++++=EXTRAWORD
fair ^jj+atrb+++=fair
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
fine ^jj+atrb+++=fine
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
serenest ^jjt+atrb+++=serenest
eyes ^nns++++=eyes
I ^pp1a+pp1+++=I
