There ^ex+pex+++=THERE
was ^vbd+bedz+vrb++=was
no ^at++++=no
doubt ^vb++++=doubt
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
masterful ^jj+atrb+++=masterful
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ruled ^vbd+vsua+tht0+xvbnx+=ruled
everyone ^pn++++=everyone
on ^in++++=on
shore ^nn++++=shore
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
ruled ^vprf++tht0+xvbnx+=ruled
everyone ^pn++++=everyone
at ^rb++++=at
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
had ^vb+hv+aux++=had
never ^rb++splt++=never
meant ^vprf+++xvbnx+=meant
to ^to+vcmp+++=to
marry ^vbi++++=marry
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
fleet ^nn++++=fleet
went ^vbd+++xvbn+=went
into ^in++++=into
Asiatic ^np+++??+=Asiatic
waters ^nns++++=waters
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
declared ^vprf++tht0+xvbnx+=declared
she ^pp3a+pp3+++=she
would ^md+prd+++=would
not ^xnot++not++=not
follow ^vb+vprv+++=follow;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
child ^nn++++=child
died ^vbd+++xvbn+=died
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
wished ^vprf+++xvbnx+=wished
to ^to+vcmp+++=to
clothe ^vb+++??+=clothe
herself ^ppl+pp3+++=herself
in ^in++++=in
black ^nn++++=black;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
