If ^cs+cnd+++=If
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good
enough ^dt++++=enough
for ^in++++=for
your ^pp$+pp2+++=your
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
forget ^vb+vprv+++=forget
it ^pp3+it+++=it
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
much ^ap++++=much
too ^ql++++=too
good ^jj++++=good
for ^in++++=for
anyone ^pn++++=anyone
else ^rb+cnj+++=else!
! ^zz++++=EXTRAWORD
Emerald ^nn++++=Emerald
and ^cc++++=and
Lou ^np++++=Lou,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
in ^in++++=in
from ^in++++=from
the ^ati++++=the
balcony ^nn++++=balcony,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
seeking ^vbg+++xvbgx+=seeking
that ^dt+dem+++=that
2185 ^cd++++=2185
A.d ^np+++??+=A.D.
. ^zz++++=EXTRAWORD
rarity ^nn++++=rarity
privacy ^nn+nom+++=privacy
were ^vbd+bed+aux++=were
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
take ^vbi++++=take
seats ^nns++++=seats
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
row ^nn++++=row,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
Lou ^np++++=Lou's
's ^$++++=EXTRAWORD
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
brother ^nn++++=brother
and ^cc++++=and
sister ^nn++++=sister-in-law,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
son ^nn++++=son
and ^cc++++=and
daughter ^nn+nom+++=daughter-in-law,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
grandson ^nn++++=grandson
and ^cc++++=and
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
granddaughter ^nn+nom+++=granddaughter
and ^cc++++=and
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
great ^jj++++=great-grandson
- ^zz++++=EXTRAWORD
grandson ^nn++++=EXTRAWORD
and ^cc++++=and
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
nephew ^nn++++=nephew
and ^cc++++=and
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
grandnephew ^nn+++??+=grandnephew
and ^cc++++=and
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
great ^jj++++=great-grandniece
- ^zz++++=EXTRAWORD
grandniece ^nn+++??+=EXTRAWORD
and ^cc++++=and
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
great ^jj++++=great-grandnephew
- ^zz++++=EXTRAWORD
grandnephew ^nn+++??+=EXTRAWORD
and ^cc++++=and
wife ^nn++++=wife
and ^cc++++=and,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
Gramps ^np+++??+=Gramps,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
everybody ^pn++++=everybody.
. ^zz++++=EXTRAWORD
All ^abn++++=All
save ^vb++++=save
Gramps ^np+++??+=Gramps,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
somewhat ^rb+down+splt++=somewhat
withered ^vpsv++agls+xvbnx+=withered
and ^cc++++=and
bent ^nn+++xvbn+=bent,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed,
, ^zz++++=EXTRAWORD
by ^in++++=by
pre ^nn+++??+=pre-anti-gerasone
- ^zz++++=EXTRAWORD
anti ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
gerasone ^nn+++??+=EXTRAWORD
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
about ^in++++=about
the ^ati++++=the
same ^ap++++=same
age ^nn++++=age
somewhere ^rb++++=somewhere
in ^in++++=in
their ^pp$+pp3+++=their
late ^jj++++=late
twenties ^cds++++=twenties
or ^cc++++=or
early ^jj++++=early
thirties ^cds++++=thirties.
. ^zz++++=EXTRAWORD
Gramps ^np+++??+=Gramps
looked ^vbd+++xvbn+=looked
older ^jjr++++=older
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
already ^rb++splt++=already
reached ^vprf+++xvbnx+=reached
70 ^cd++++=70
when ^wrb+who+++=when
anti ^nn+++??+=anti-gerasone
- ^zz++++=EXTRAWORD
gerasone ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
invented ^vpsv++agls+xvbnx+=invented.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
not ^xnot++not++=not
aged ^jj++++=aged
in ^in++++=in
the ^ati++++=the
102 ^cd++++=102
