Passing ^vbg+++xvbg+=Passing
a ^at++++=a
summer ^nn++++=summer
several ^ap++++=several
years ^nns++++=years
since ^in++++=since
at ^rb++++=at
Edgartown ^np+++??+=Edgartown,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
island ^nn++++=island
of ^in++++=of
Martha ^np++++=Martha's
's ^$++++=EXTRAWORD
Vineyard ^nn++++=Vineyard,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
acquainted ^vbd+++xvbn+=acquainted
with ^in++++=with
a ^at++++=a
certain ^jj++++=certain
carver ^jjr++++=carver
of ^in++++=of
tombstones ^nns+++??+=tombstones
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
travelled ^vprf+++xvbnx+=travelled
and ^cc+phrs+++=and
voyaged ^vprf+++xvbn+=voyaged
thither ^rb++++=thither
from ^in++++=from
the ^ati++++=the
interior ^nn++++=interior
of ^in++++=of
Massachusetts ^np+++??+=Massachusetts
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
professional ^jj+atrb+++=professional
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
speculation ^nn+nom+++=speculation
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
out ^rb+phrv+++=out
so ^rb+emph+++=so
successful ^jj++++=successful
that ^cs+sub+++=that
my ^pp$+pp1+++=my
friend ^nn++++=friend
expected ^vwbn+++xvbn+=expected
to ^to+vcmp+++=to
transmute ^vbi+++??+=transmute
slate ^nn++++=slate
and ^cc++++=and
marble ^nn++++=marble
into ^in++++=into
silver ^nn++++=silver
and ^cc++++=and
gold ^nn++++=gold
to ^in++++=to
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
thousand ^cd++++=thousand
dollars ^nns++++=dollars
during ^in++++=during
the ^ati++++=the
few ^ap++++=few
months ^nns++++=months
of ^in++++=of
his ^pp$+pp3+++=his
sojourn ^nn++++=sojourn
at ^in++++=at
Nantucket ^np+++??+=Nantucket
and ^cc++++=and
the ^ati++++=the
Vineyard ^nn++++=Vineyard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
secluded ^jj+atrb+++=secluded
life ^nn++++=life
and ^cc++++=and
the ^ati++++=the
simple ^jj+atrb+++=simple
and ^cc+phrs+++=and
primitive ^jj+atrb+++=primitive
spirit ^nn++++=spirit
which ^whp+rel+subj++=which
still ^rb++++=still
characterizes ^vbz++++=characterizes
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
those ^dt+dem+++=those
islands ^nns++++=islands,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
of ^in++++=of
Martha ^np++++=Martha's
's ^$++++=EXTRAWORD
Vineyard ^nn++++=Vineyard,
, ^zz++++=EXTRAWORD
insure ^vb+vpub+++=insure
their ^pp$+pp3+++=their
dead ^jj+atrb+++=dead
friends ^nns++++=friends
a ^at++++=a
longer ^rbr++++=longer
and ^cc++++=and
dearer ^jjr+atrb+++=dearer
remembrance ^nn+nom+++=remembrance
than ^in++++=than
the ^ati++++=the
daily ^jj+atrb+++=daily
novelty ^nn++++=novelty
and ^cc++++=and
revolving ^jj+atrb++xvbg+=revolving
bustle ^nn++++=bustle
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
can ^md+pos+++=can
elsewhere ^rb++splt++=elsewhere
afford ^vb++++=afford
to ^to+vcmp+++=to
beings ^vb++++=beings
of ^in++++=of
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
every ^at++++=every
family ^nn++++=family
is ^vbz+bez+vrb++=is
anxious ^jj+pred+++=anxious
to ^to+jcmp+++=to
erect ^vbi++++=erect
a ^at++++=a
memorial ^nn++++=memorial
to ^in++++=to
its ^pp$+it+++=its
departed ^xvbn+++xvbn+=departed
