On ^in++++=On
a ^at++++=a
certain ^jj+atrb+++=certain
morning ^nn++++=morning
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
of ^in++++=of
the ^ati++++=the
year ^nn++++=year,
, ^zz++++=EXTRAWORD
the ^ati++++=the
three ^cd++++=three
men ^nns++++=men
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
the ^ati++++=the
Three ^cd++++=Three
Black ^jj+atrb+++=Black
Crows ^np+++??+=Crows
called ^vbd+++xvbn+=called
at ^rb++++=at
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
" ^zz++++="The
the ^ati++++=EXTRAWORD
President ^nn++++=President
of ^in++++=of
the ^ati++++=the
Pacific ^jj+atrb+++=Pacific
and ^cc+phrs+++=and
Oriental ^jj+atrb+++=Oriental
Flotation ^np+nom++??+=Flotation
Company ^nn++++=Company,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
situated ^vbd+++xvbn+=situated
in ^in++++=in
an ^at++++=an
obscure ^jj+atrb+++=obscure
street ^nn++++=street
near ^in+pl+++=near
San ^np++++=San
Francisco ^np++++=Francisco's
's ^$++++=EXTRAWORD
water ^nn++++=water-front.
- ^zz++++=EXTRAWORD
front ^jjb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
Strokher ^np+nom++??+=Strokher,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
blond ^jj++++=blond,
, ^zz++++=EXTRAWORD
solemn ^jj+atrb+++=solemn,
, ^zz++++=EXTRAWORD
silent ^jj+atrb+++=silent
Englishman ^nn+nom+++=Englishman;
; ^zz++++=EXTRAWORD
Hardenberg ^np+++??+=Hardenberg,
, ^zz++++=EXTRAWORD
the ^ati++++=the
American ^jj++++=American,
, ^zz++++=EXTRAWORD
dry ^jj++++=dry
of ^in++++=of
humour ^nn++++=humour,
, ^zz++++=EXTRAWORD
shrewd ^jj++++=shrewd,
, ^zz++++=EXTRAWORD
resourceful ^jj++++=resourceful,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
bargained ^jj+++xvbn+=bargained
like ^in++++=like
a ^at++++=a
Vermonter ^np+nom++??+=Vermonter
and ^cc++++=and
sailed ^vbd+++xvbn+=sailed
a ^at++++=a
schooner ^nn+nom+++=schooner
like ^in++++=like
a ^at++++=a
Gloucester ^np+nom+++=Gloucester
cod ^nn++++=cod-fisher;
- ^zz++++=EXTRAWORD
fisher ^np++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
their ^pp$+pp3+++=their
company ^nn++++=company,
, ^zz++++=EXTRAWORD
as ^ql++++=as
ever ^rb++++=ever
inseparable ^jj++++=inseparable
from ^in++++=from
the ^ati++++=the
other ^ap++++=other
two ^cd++++=two,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
the ^ati++++=the
little ^jj++++=little
colonial ^jj++++=colonial,
, ^zz++++=EXTRAWORD
nicknamed ^j+++xvbn+=nicknamed,
, ^zz++++=EXTRAWORD
for ^in++++=for
occult ^jj+atrb++xvbn+=occult
reasons ^nns++++=reasons,
, ^zz++++=EXTRAWORD
" ^zz++++="Ally
ally ^nn++++=EXTRAWORD
Bazan ^np+++??+=Bazan,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
wiry ^jj+atrb+++=wiry
man ^nn++++=man,
, ^zz++++=EXTRAWORD
excitable ^jj++++=excitable,
, ^zz++++=EXTRAWORD
vociferous ^jj++++=vociferous,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
without ^in++++=without
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
without ^in++++=without
guile ^nn+++??+=guile
and ^cc++++=and
without ^in++++=without
money ^nn++++=money.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Hardenberg ^np+++??+=Hardenberg,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
always ^rb++++=always
spokesman ^nn+nom+++=spokesman
for ^in++++=for
the ^ati++++=the
Three ^cd++++=Three
Crows ^np+++??+=Crows,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
in ^in++++=in
their ^pp$+pp3+++=their
