[ ^zz++++=[The
the ^ati++++=EXTRAWORD
scene ^nn++++=scene
is ^vbz+bez+vrb++=is
the ^ati++++=the
kitchen ^nn++++=kitchen
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
farm ^nn++++=farm-house
- ^zz++++=EXTRAWORD
house ^nn++++=EXTRAWORD
above ^jjb++++=above
the ^ati++++=the
Walkham ^np+++??+=Walkham
River ^nn++++=River,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
western ^jj+atrb+++=western
edge ^nn++++=edge
of ^in++++=of
Dartmoor ^np+++??+=Dartmoor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
originally ^rb+tm+++=originally
of ^in++++=of
rough ^jj+atrb+++=rough
granite ^nn++++=granite,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
asperities ^nns+nom+++=asperities
smoothed ^vbd+++xvbn+=smoothed
down ^rp++++=down
by ^in++++=by
many ^ap++++=many
layers ^nns++++=layers
of ^in++++=of
whitewash ^nn++++=whitewash.
. ^zz++++=EXTRAWORD
The ^ati++++=The
floor ^nn++++=floor
is ^vbz+bez+vrb++=is
of ^in++++=of
lime ^nn++++=lime-ash,
- ^zz++++=EXTRAWORD
ash ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
nicely ^rb++++=nicely
sanded ^jj+++xvbn+=sanded.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
ceiling ^nn+nom+++=ceiling--formed
-- ^--+clp+++=EXTRAWORD
formed ^j+++xvbn+=EXTRAWORD
of ^in++++=of
rude ^jj+atrb+++=rude,
, ^zz++++=EXTRAWORD
unplaned ^jj+atrb++xvbn+=unplaned
beams ^nns++++=beams
and ^cc++++=and
the ^ati++++=the
planching ^jj+++xvbg+=planching
of ^in++++=of
the ^ati++++=the
bedroom ^nn++++=bedroom
above ^in+strn+++=above--depends
-- ^--+clp+++=EXTRAWORD
depends ^vbz++++=EXTRAWORD
a ^at++++=a
rack ^nn++++=rack
crowded ^vbd+++xvbn+=crowded
with ^in++++=with
hams ^nns++++=hams
and ^cc++++=and
sides ^nns++++=sides
of ^in++++=of
bacon ^nn++++=bacon,
, ^zz++++=EXTRAWORD
all ^abn++++=all
wrapped ^jj+++xvbn+=wrapped
in ^in++++=in
newspapers ^nns+nom+++=newspapers.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
window ^nn++++=window
a ^at++++=a
dozen ^cd++++=dozen
geraniums ^nns++++=geraniums
are ^vb+ber+aux++=are
blooming ^vbg+++xvbgx+=blooming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
them ^pp3o+pp3+++=them
the ^ati++++=the
eye ^nn++++=eye
rests ^nns++++=rests
on ^in++++=on
the ^ati++++=the
slope ^nn++++=slope
of ^in++++=of
Sharpitor ^np+++??+=Sharpitor
and ^cc++++=and
the ^ati++++=the
distant ^jj+atrb+++=distant
ridge ^nn++++=ridge
of ^in++++=of
Sheepstor ^np+++??+=Sheepstor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fireplace ^nn++++=fireplace,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
faces ^vbz++++=faces
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
deep ^jj+pred+++=deep
and ^cc+phrs+++=and
capacious ^jj++++=capacious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
floored ^vpsv++agls+xvbn+=floored
with ^in++++=with
granite ^nn++++=granite
slabs ^nns++++=slabs.
. ^zz++++=EXTRAWORD
On ^in++++=On
these ^dt+dem+++=these
burns ^nns++++=burns
a ^at++++=a
fire ^nn++++=fire
of ^in++++=of
glowing ^xvbg+++xvbg+=glowing
peat ^nn++++=peat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
over ^in++++=over
the ^ati++++=the
fire ^nn++++=fire
hangs ^vbz++++=hangs
a ^at++++=a
crock ^nn+++??+=crock
of ^in++++=of
milk ^nn++++=milk
in ^in++++=in
process ^nns+nom+++=process
of ^in"++++=of
scalding ^jj++++=scalding.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
ingle ^nn+++??+=ingle
behind ^in+pl+++=behind
it ^pp3+it+++=it
sits ^vbz++++=sits
the ^ati++++=the
relator ^nn++++=relator
of ^in++++=of
this ^dt+dem+++=this
story ^nn++++=story,
, ^zz++++=EXTRAWORD
drying ^nvbg+++xvbg+=drying
his ^pp$+pp3+++=his
knees ^nns++++=knees
after ^in++++=after
a ^at++++=a
Dartmoor ^np+++??+=Dartmoor
shower ^nn++++=shower.
. ^zz++++=EXTRAWORD
From ^in++++=From
his ^pp$+pp3+++=his
seat ^nn++++=seat
he ^pp3a+pp3+++=he
can ^md+pos+++=can
look ^vb++++=look
up ^rp++++=up
the ^ati++++=the
wide ^jj+atrb+++=wide
chimney ^nn++++=chimney
and ^cc++++=and
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
blue ^jj+pred+++=blue
again ^rb+tm+++=again
and ^cc++++=and
shining ^jj+++xvbg+=shining.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
listens ^vbz++++=listens
to ^in++++=to
the ^ati++++=the
farmer ^nn++++=farmer's
's ^vbz+bez+vrb++0=EXTRAWORD
middle ^jjb++++=middle-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stands ^vbz++++=stands
at ^rb++++=at
the ^ati++++=the
table ^nn++++=table
by ^in++++=by
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rolls ^nns++++=rolls
out ^rp+pl+++=out
a ^at++++=a
pie ^nn++++=pie-crust
- ^zz++++=EXTRAWORD
crust ^nn++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
talks ^nns++++=talks.
. ^zz++++=EXTRAWORD
( ^zz++++=(The
the ^ati++++=EXTRAWORD
farmer ^nn++++=farmer
is ^vbz+bez+vrb++=is
a ^at++++=a
widower ^nn++++=widower,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
keeps ^vbz++++=keeps
house ^nn++++=house
for ^in++++=for
him ^pp3o+pp3+++=him.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
talks ^vbz++++=talks
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
picture ^nn++++=picture--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
silhouette ^nn+nom+++=silhouette
executed ^vbd+++xvbn+=executed
in ^in++++=in
black ^jj++++=black
and ^cc++++=and
gold ^nn++++=gold--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
adorns ^nns+++??+=adorns
the ^ati++++=the
wall ^nn++++=wall-space
- ^zz++++=EXTRAWORD
space ^nn++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
dresser ^nn++++=dresser
and ^cc++++=and
the ^ati++++=the
tall ^jj+atrb+++=tall
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
directly ^rb++++=directly
above ^jjb++++=above
the ^ati++++=the
side ^nn++++=side-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
piled ^vbd+++xvbn+=piled
with ^in++++=with
the ^ati++++=the
small ^jj+atrb+++=small
library ^nn+nom+++=library
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
portrait ^nn++++=portrait
is ^vbz+bez+vrb++=is
a ^at++++=a
profile ^nn++++=profile
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
noticeably ^rb++++=noticeably
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
high ^jj++++=high-necked
- ^zz++++=EXTRAWORD
necked ^jj+atrb++xvbn+=EXTRAWORD
coat ^nn++++=coat
and ^cc++++=and
white ^jj+atrb+++=white
stock ^nn++++=stock
collar ^nn++++=collar.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
none ^pn++++=none
of ^in++++=of
our ^pp$+pp1+++=our
family ^nn++++=family,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^in++++=to
us ^pp1o+pp1+++=us
near ^in+pl+++=near
on ^in++++=on
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
America ^np++++=America.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
gentleman ^nn+nom+++=gentleman
sent ^vbd+++xvbn+=sent
it ^pp3+it+++=it
over ^rb++++=over
from ^in++++=from
Philadelphia ^np++++=Philadelphia
to ^in++++=to
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
letter ^nn++++=letter
to ^to++++=to
say ^vbi+vpub+tht0++=say
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
married ^vpsv++agls+xvbnx+=married
and ^cc++++=and
happy ^jj++++=happy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
always ^rb++splt++=always
remember ^nn+nom+++=remember
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^ap++++=last
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
' ^zz++++='But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
made ^vbd+++xvbn+=made
in ^in++++=in
America ^np++++=America.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
in ^in++++=in
the ^ati++++=the
War ^nn++++=War
Prison ^nn++++=Prison,
, ^zz++++=EXTRAWORD
over ^in++++=over
yonder ^nn++++=yonder
at ^in++++=at
Princetown ^np+++??+=Princetown,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
keep ^vb++++=keep
the ^ati++++=the
convicts ^nns++++=convicts
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
man ^nn++++=man
that ^tht+rel+subj++=that
drew ^vbd+++xvbn+=drew
and ^cc+phrs+++=and
cut ^vbd+++xvbn+=cut
it ^pp3+it+++=it
out ^rp+pl+++=out
was ^vbd+bedz+vrb++=was
a ^at++++=a
French ^jj+atrb+++=French
sergeant ^nn+nom+++=sergeant,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
one ^cd1++++=one
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
the ^ati++++=the
other ^ap++++=other
in ^in++++=in
the ^ati++++=the
war ^nn++++=war,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
luck ^nn++++=luck
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
left ^vpsv++agls+xvbnx+=left
until ^in++++=until
the ^ati++++=the
very ^ql+amp+++=very
last ^rb++++=last
draft ^nn++++=draft.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
finished ^vbd+++xvbnx+=finished
it ^pp3+it+++=it
the ^ati++++=the
morning ^nn++++=morning
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
released ^vpsv++agls+xvbnx+=released,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
young ^jj++++=young
American ^jj++++=American--Adams,
-- ^--+clp+++=EXTRAWORD
adams ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was-for
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
a ^at++++=a
keepsake ^nn+++??+=keepsake.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Americans ^nns+nom+++=Americans
had ^md"++pmd"++=had
to ^md+nec+++=to
stay ^vb++++=stay
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
their ^pp$+pp3+++=their
war ^nn++++=war
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
over ^in++++=over
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
came ^vbd+++xvbn+=came
to ^in++++=to
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way:
