Johannes ^np+++??+=Johannes
Chrysostemus ^np+++??+=Chrysostemus
Wolfgangus ^np+++??+=Wolfgangus
Theophilus ^np+++??+=Theophilus
Mozart ^np++++=Mozart
what ^wdt+who+++=what
a ^at++++=a
burden ^nn++++=burden
to ^to++++=to
be ^vbi+vbi+aux++=be
put ^vpsv++agls+xvbnx+=put
upon ^in++++=upon
a ^at++++=a
baby ^nn++++=baby's
's ^vbz+bez+vrb++0=EXTRAWORD
tiny ^jj+atrb+++=tiny
shoulders ^nns+nom+++=shoulders!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
any ^dti++++=any
truth ^nn++++=truth
underlying ^vwbg+++xvbg+=underlying
the ^ati++++=the
belief ^nn++++=belief
that ^tht+ncmp+++=that
a ^at++++=a
name ^nn++++=name
can ^md+pos+++=can
in ^in++++=in
some ^dti++++=some
measure ^vb++++=measure
foreshadow ^nn+++??+=foreshadow
a ^at++++=a
child ^nn++++=child's
's ^vbz+bez+vrb++0=EXTRAWORD
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
surely ^rb++++=surely
Wolfgang ^np++++=Wolfgang
Mozart ^np++++=Mozart,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
in ^in++++=in
Salzburg ^np+++??+=Salzburg
in ^in++++=in
1756 ^cd+date+++=1756,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
honestly ^rb++++=honestly
by ^in++++=by
his ^pp$+pp3+++=his
heritage ^nn+nom+++=heritage
of ^in++++=of
greatness ^nns+nom+++=greatness,
, ^zz++++=EXTRAWORD
for ^in++++=for
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
day ^nn++++=day
old ^jj++++=old
he ^pp3a+pp3+++=he
received ^vbd+++xvbnx+=received
the ^ati++++=the
five ^cd++++=five-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
name ^nn++++=name,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^wdt+who+whq++=which
was ^vbd+bedz+aux++=was
later ^rbr+tm+splt++=later
added ^vpsv++agls+xvbnx+=added
his ^pp$+pp3+++=his
confirmation ^nn+nom+++=confirmation
name ^nn++++=name
of ^in++++=of
Sigismundus ^np+++??+=Sigismundus.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
choose ^vb++++=choose
for ^in++++=for
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
son ^nn++++=son
of ^in++++=of
Marianne ^np+++??+=Marianne
and ^cc++++=and
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart
from ^in++++=from
his ^pp$+pp3+++=his
store ^nn++++=store
of ^in++++=of
names ^nns++++=names,
, ^zz++++=EXTRAWORD
selected ^xvbn+++xvbn+=selected
Wolfgang ^np++++=Wolfgang,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added
Amadeus ^np+++??+=Amadeus,
, ^zz++++=EXTRAWORD
by ^in++++=by
which ^whp+rel+pied++=which
combination ^nn+nom+++=combination
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
known ^vpsv++agls+xvbnx+=known,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
name ^nn++++=name
is ^vbz+bez+aux++=is
for ^rb++splt++=for
ever ^rb"++++=ever
linked ^vbd+++xvbn+=linked
with ^in++++=with
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
a ^at++++=a
great ^jj+atrb+++=great
genius ^nn++++=genius.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
talk ^vb++++=talk
plainly ^rb++++=plainly
the ^ati++++=the
little ^rb++++=little
fellow ^jjb++++=fellow
showed ^jj+++xvbn+=showed
himself ^ppl+pp3+++=himself
to ^to++++=to
