On ^in++++=ON
The ^ati++++=THE
evening ^nn++++=evening
of ^in++++=of
Thanksgiving ^np+++??+=Thanksgiving
Day ^nn++++=Day,
, ^zz++++=EXTRAWORD
John ^np++++=John
Inglefield ^np+++??+=Inglefield,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blacksmith ^nn++++=blacksmith,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
in ^in++++=in
his ^pp$+pp3+++=his
elbow ^nn++++=elbow-chair
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
among ^in++++=among
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
keeping ^vbg+++xvbgx+=keeping
festival ^nn+nom+++=festival
at ^in++++=at
his ^pp$+pp3+++=his
board ^nn++++=board.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
the ^ati++++=the
central ^jj+atrb+++=central
figure ^nn++++=figure
of ^in++++=of
the ^ati++++=the
domestic ^jj+atrb+++=domestic
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fire ^nn++++=fire
threw ^vbd+++xvbn+=threw
its ^pp$+it+++=its
strongest ^jjt++++=strongest
light ^jj++++=light
on ^in++++=on
his ^pp$+pp3+++=his
massive ^jj+atrb+++=massive
and ^cc+phrs+++=and
sturdy ^jj+atrb+++=sturdy
frame ^nn++++=frame,
, ^zz++++=EXTRAWORD
reddening ^jj+++xvbg+=reddening
his ^pp$+pp3+++=his
rough ^jj+atrb+++=rough
visage ^nn++++=visage
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
like ^in++++=like
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
an ^at++++=an
iron ^nn++++=iron
statue ^nn++++=statue,
, ^zz++++=EXTRAWORD
all ^abn++++=all
aglow ^jj++++=aglow,
, ^zz++++=EXTRAWORD
from ^in++++=from
his ^pp$+pp3+++=his
own ^ap++++=own
forge ^nn++++=forge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
its ^pp$+it+++=its
features ^nns++++=features
rudely ^rb++++=rudely
fashioned ^vwbn+++xvbn+=fashioned
on ^in++++=on
his ^pp$+pp3+++=his
own ^ap++++=own
anvil ^nn+++??+=anvil.
. ^zz++++=EXTRAWORD
At ^in++++=At
John ^np++++=John
Inglefield ^np++++=Inglefield's
's ^$++++=EXTRAWORD
