One ^cd1++++=One
day ^nn++++=day
in ^in++++=in
autumn ^nn++++=autumn
on ^in++++=on
my ^pp$+pp1+++=my
way ^nn++++=way
back ^jjb++++=back
from ^in++++=from
a ^at++++=a
remote ^jj+atrb+++=remote
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
cold ^jj++++=cold
and ^cc++++=and
fell ^vbd+++xvbn+=fell
ill ^jj++++=ill.
. ^zz++++=EXTRAWORD
Fortunately ^rb++++=Fortunately
the ^ati++++=the
fever ^nn++++=fever
attacked ^vbd+++xvbn+=attacked
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
district ^nn++++=district
town ^nn++++=town
at ^in++++=at
the ^ati++++=the
inn ^nn++++=inn;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sent ^vbd+++xvbnx+=sent
for ^in++++=for
the ^ati++++=the
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
In ^in++++=In
half ^abn++++=half-an-hour
- ^zz++++=EXTRAWORD
an ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
the ^ati++++=the
district ^nn++++=district
doctor ^nn++++=doctor
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
a ^at++++=a
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
of ^in++++=of
middle ^jjb+atrb+++=middle
height ^nn++++=height.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
prescribed ^vbd+++xvbnx+=prescribed
me ^pp1o+pp1+++=me
the ^ati++++=the
usual ^jj+atrb+++=usual
sudorific ^nn++++=sudorific,
, ^zz++++=EXTRAWORD
ordered ^j+++xvbn+=ordered
a ^at++++=a
mustard ^nn++++=mustard-plaster
- ^zz++++=EXTRAWORD
plaster ^nn+nom+++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
put ^vpsv++agls+xvbnx+=put
on ^rb+cnj+++=on,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
deftly ^rb++++=deftly
slid ^vbd+++xvbn+=slid
a ^at++++=a
five ^cd++++=five-ruble
- ^zz++++=EXTRAWORD
ruble ^jj+atrb+++=EXTRAWORD
note ^nn++++=note
up ^rp++++=up
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve,
, ^zz++++=EXTRAWORD
coughing ^nn++++=coughing
drily ^jj++++=drily
and ^cc+phrs+++=and
looking ^jj+++xvbg+=looking
away ^rp+pl+++=away
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
up ^rp++++=up
to ^to++++=to
go ^vbi++++=go
home ^nr++++=home,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
somehow ^rb++++=somehow
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
talk ^nn++++=talk
and ^cc++++=and
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
exhausted ^vpsv++agls+xvbnx+=exhausted
with ^in++++=with
