Once ^rb+tm+++=Once
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
lonely ^jj+atrb+++=lonely
island ^nn++++=island
in ^in++++=in
a ^at++++=a
distant ^jj+atrb+++=distant
sea ^nn++++=sea
where ^wrb+who+++=where
lived ^vbd+++xvbn+=lived
the ^ati++++=the
Kings ^nns++++=Kings
and ^cc++++=and
Queens ^np++++=Queens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Aces ^nns++++=Aces
and ^cc++++=and
the ^ati++++=the
Knaves ^np+++??+=Knaves,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Kingdom ^nn+nom+++=Kingdom
of ^in++++=of
Cards ^nns++++=Cards.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Tens ^cds++++=Tens
and ^cc++++=and
Nines ^cds++++=Nines,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Twos ^cds++++=Twos
and ^cc++++=and
Threes ^cds++++=Threes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
other ^ap++++=other
members ^nns+nom+++=members,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
long ^rb++splt++=long
ago ^rb++++=ago
settled ^xvbn+++xvbn+=settled
there ^rn+pl+++=there
also ^rb++++=also.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
twice ^rb++++=twice-born
- ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=EXTRAWORD
people ^nns++++=people,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
famous ^jj+atrb+++=famous
Court ^nn++++=Court
Cards ^nns++++=Cards.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ace ^nn++++=Ace,
, ^zz++++=EXTRAWORD
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Knave ^nn++++=Knave
were ^vbd+bed+vrb++=were
the ^ati++++=the
three ^cd++++=three
highest ^jjt+atrb+++=highest
castes ^nns++++=castes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fourth ^od++++=fourth
Caste ^nn++++=Caste
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
up ^rp++++=up
of ^in++++=of
a ^at++++=a
mixture ^nn++++=mixture
of ^in++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
Cards ^nns++++=Cards.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Twos ^cds++++=Twos
and ^cc++++=and
Threes ^cds++++=Threes
were ^vbd+bed+vrb++=were
lowest ^jjt+pred+++=lowest
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
inferior ^jj+atrb+++=inferior
Cards ^nns++++=Cards
were ^vbd+bed+aux++=were
never ^rb++splt++=never
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
sit ^vb++++=sit
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
row ^nn++++=row
with ^in++++=with
the ^ati++++=the
great ^jj+atrb+++=great
Court ^nn++++=Court
Cards ^nns++++=Cards.
. ^zz++++=EXTRAWORD
Wonderful ^jj++++=Wonderful
indeed ^rb++++=indeed
were ^vbd+bed+vrb++=were
the ^ati++++=the
regulations ^nns+nom+++=regulations
and ^cc++++=and
rules ^nns++++=rules
of ^in++++=of
that ^dt+dem+++=that
island ^npl++++=island
kingdom ^nn+nom+++=kingdom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
particular ^jj+atrb+++=particular
rank ^nn++++=rank
of ^in++++=of
each ^dt++++=each
individual ^jj++++=individual
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
settled ^vpsv++agls+xvbnx+=settled
from ^in++++=from
time ^nn++++=time
immemorial ^jj++++=immemorial.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^cd1++++=one
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
own ^ap++++=own
appointed ^jj+atrb++xvbn+=appointed
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
did ^vbd+dod+vrb++=did
anything ^pn++++=anything
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
An ^at++++=An
unseen ^jj+atrb+++=unseen
hand ^nn++++=hand
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
directing ^vbg+++xvbgx+=directing
them ^pp3o+pp3+++=them
wherever ^nn+nom+++=wherever
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
Rules ^nns++++=Rules.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
Kingdom ^nn+nom+++=Kingdom
of ^in++++=of
Cards ^nns++++=Cards
had ^vb+hv+vrb++=had
any ^dti++++=any
occasion ^nn++++=occasion
to ^to++++=to
think ^vbi+vprv+++=think:
: ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
had ^vb+hv+vrb++=had
any ^dti++++=any
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
come ^vb++++=come
to ^in++++=to
any ^dti++++=any
decision ^nn++++=decision:
: ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
was ^vbd+bedz+aux++=was
ever ^rb++splt++=ever
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
debate ^vb++++=debate
any ^dti++++=any
new ^jj+atrb+++=new
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
The ^ati++++=The
citizens ^nns++++=citizens
all ^abn++++=all
moved ^jj+++xvbn+=moved
along ^in++++=along
in ^in++++=in
a ^at++++=a
listless ^jj+atrb+++=listless
groove ^nn++++=groove
without ^in++++=without
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
fell ^vbd+++xvbnx+=fell,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
no ^at++++=no
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lay ^vbd+++xvbnx+=lay
down ^rb+phrv+++=down
on ^in++++=on
their ^pp$+pp3+++=their
backs ^nns++++=backs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gazed ^vbd+++xvbn+=gazed
upward ^jjb++++=upward
at ^in++++=at
the ^ati++++=the
sky ^nn++++=sky
with ^in++++=with
each ^dt++++=each
prim ^jj+atrb+++=prim
feature ^nn++++=feature
