One ^cd1++++=One
summer ^nn++++=summer
night ^nn++++=night,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
a ^at++++=a
score ^nn++++=score
of ^in++++=of
Puritan ^jj+atrb+++=Puritan
troopers ^nns+nom+++=troopers
under ^in++++=under
the ^ati++++=the
pious ^jj+atrb+++=pious
Sir ^npt++++=Sir
Frederick ^np++++=Frederick
Hamilton ^np++++=Hamilton,
, ^zz++++=EXTRAWORD
broke ^j+++xvbn+=broke
through ^in++++=through
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
Abbey ^nn++++=Abbey
of ^in++++=of
the ^ati++++=the
White ^jj+atrb+++=White
Friars ^np++++=Friars
which ^whp+rel+subj++=which
stood ^vbd+++xvbn+=stood
over ^in++++=over
the ^ati++++=the
Gara ^np+++??+=Gara
Lough ^np+++??+=Lough
at ^in++++=at
Sligo ^np++++=Sligo.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
door ^nn++++=door
fell ^vbd+++xvbn+=fell
with ^in++++=with
a ^at++++=a
crash ^nn++++=crash
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
a ^rb++++=a
little ^rb"++++=little
knot ^nn++++=knot
of ^in++++=of
friars ^np++++=friars,
, ^zz++++=EXTRAWORD
gathered ^j+++xvbn+=gathered
about ^in++++=about
the ^ati++++=the
altar ^nn++++=altar,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
white ^jj+atrb+++=white
habits ^nns++++=habits
glimmering ^vwbg+++xvbg+=glimmering
in ^in++++=in
the ^ati++++=the
steady ^jj++++=steady
light ^jj++++=light
of ^in++++=of
the ^ati++++=the
holy ^jj+atrb+++=holy
candles ^nns++++=candles.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
monks ^nns++++=monks
were ^vbd+bed+aux++=were
kneeling ^nvbg+++xvbg+=kneeling
except ^in++++=except
the ^ati++++=the
abbot ^npt++++=abbot,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stood ^vbd+++xvbn+=stood
upon ^in++++=upon
the ^ati++++=the
altar ^nn++++=altar
steps ^nns++++=steps
with ^in++++=with
a ^at++++=a
great ^nn++++=great
brazen ^vb++++=brazen
crucifix ^nn+++??+=crucifix
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
' ^zz++++='Shoot
shoot ^vb++++=EXTRAWORD
them ^pp3o+pp3+++=them!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Sir ^npt++++=Sir
Frederick ^np++++=Frederick
Hamilton ^np++++=Hamilton,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^rb++++=none
stirred ^vbd+++xvbn+=stirred,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^rb++++=all
were ^vbd+bed+aux++=were
new ^jj+pred+++=new
converts ^vbz++++=converts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
feared ^vbd+vprv++xvbn+=feared
the ^ati++++=the
crucifix ^nn+++??+=crucifix
and ^cc++++=and
the ^ati++++=the
holy ^jj+atrb+++=holy
candles ^nns++++=candles.
. ^zz++++=EXTRAWORD
The ^ati++++=The
white ^jj+atrb+++=white
lights ^nns++++=lights
from ^in++++=from
the ^ati++++=the
altar ^nn++++=altar
threw ^vbd+++xvbn+=threw
the ^ati++++=the
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
troopers ^nns+nom+++=troopers
up ^rp++++=up
on ^in+cmpx+++=on
to ^in++++=to
roof ^nn++++=roof
and ^cc++++=and
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
troopers ^nns+nom+++=troopers
moved ^vbd+++xvbn+=moved
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shadows ^nps++++=shadows
began ^vbd+++xvbn+=began
a ^at++++=a
fantastic ^jj+atrb+++=fantastic
dance ^nn++++=dance
among ^in++++=among
the ^ati++++=the
corbels ^nns+++??+=corbels
and ^cc++++=and
the ^ati++++=the
memorial ^nn++++=memorial
tablets ^nns+nom+++=tablets.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
all ^abn++++=all
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
five ^cd++++=five
troopers ^nns+nom+++=troopers
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
the ^ati++++=the
body ^nn++++=body-guard
- ^zz++++=EXTRAWORD
guard ^vb++++=EXTRAWORD
of ^in++++=of
Sir ^npt++++=Sir
Frederick ^np++++=Frederick
Hamilton ^np++++=Hamilton
lifted ^vbd+++xvbn+=lifted
their ^pp$+pp3+++=their
muskets ^nns++++=muskets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shot ^nn+++xvbn+=shot
down ^rp++++=down
five ^cd++++=five
of ^in++++=of
the ^ati++++=the
friars ^np++++=friars.
. ^zz++++=EXTRAWORD
The ^ati++++=The
noise ^nn++++=noise
and ^cc++++=and
the ^ati++++=the
smoke ^nn++++=smoke
drove ^vbd+++xvbn+=drove
away ^rp+pl+++=away
the ^ati++++=the
mystery ^nn+nom+++=mystery
of ^in++++=of
the ^ati++++=the
pale ^jj+atrb+++=pale
altar ^nn++++=altar
lights ^nns++++=lights,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
troopers ^nns+nom+++=troopers
took ^vbd+++xvbn+=took
courage ^nn+nom+++=courage
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
strike ^vbi++++=strike.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
friars ^np++++=friars
lay ^vbd+++xvbn+=lay
about ^in++++=about
the ^ati++++=the
altar ^nn++++=altar
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
white ^jj+atrb+++=white
habits ^nns++++=habits
stained ^vbd+++xvbn+=stained
with ^in++++=with
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
' ^zz++++='Set
set ^vbd+++xvbn+=EXTRAWORD
fire ^nn++++=fire
to ^in++++=to
the ^ati++++=the
house ^nn++++=house!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Sir ^npt++++=Sir
Frederick ^np++++=Frederick
Hamilton ^np++++=Hamilton,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
his ^pp$+pp3+++=his
word ^nn++++=word
one ^cd1++++=one
went ^vbd+++xvbn+=went
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vpsv++agls+xvbn+=came
in ^in++++=in
again ^rb+tm+++=again
carrying ^vbg+++xvbg+=carrying
a ^at++++=a
heap ^nn++++=heap
of ^in++++=of
dry ^jj+atrb+++=dry
straw ^nn++++=straw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
piled ^vbd+++xvbn+=piled
it ^pp3+it+++=it
against ^in++++=against
the ^ati++++=the
western ^jj+atrb+++=western
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
done ^vprf+++xvbn+=done
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
fell ^j+++xvbn+=fell
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
fear ^nn++++=fear
of ^in++++=of
the ^ati++++=the
crucifix ^nn+++??+=crucifix
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
holy ^jj+atrb+++=holy
candles ^nns++++=candles
was ^vbd+bedz+vrb++=was
still ^rb++++=still
in ^in++++=in
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Seeing ^vbg+vprv+tht0+xvbg+=Seeing
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
five ^cd++++=five
troopers ^nns+nom+++=troopers
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
Sir ^npt++++=Sir
Frederick ^np++++=Frederick
Hamilton ^np++++=Hamilton's
's ^$++++=EXTRAWORD
body ^nn++++=body-guard
- ^zz++++=EXTRAWORD
guard ^vb++++=EXTRAWORD
darted ^vbd+++xvbn+=darted
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taking ^vbg+++xvbg+=taking
each ^dt++++=each
a ^at++++=a
holy ^jj+atrb+++=holy
candle ^nn++++=candle
set ^vbd+++xvbn+=set
the ^ati++++=the
straw ^nn++++=straw
in ^in++++=in
a ^at++++=a
blaze ^nn++++=blaze.
. ^zz++++=EXTRAWORD
The ^ati++++=The
red ^jj+atrb+++=red
tongues ^nns++++=tongues
of ^in++++=of
fire ^nn++++=fire
rushed ^vbd+++xvbn+=rushed
up ^rp++++=up
and ^cc++++=and
flickered ^vpsv++agls+xvbn+=flickered
from ^in++++=from
corbel ^nn+++??+=corbel
to ^in++++=to
corbel ^nn+++??+=corbel
and ^cc++++=and
from ^in++++=from
tablet ^nn++++=tablet
to ^in++++=to
tablet ^nn++++=tablet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crept ^vpsv++agls+xvbn+=crept
along ^in++++=along
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
setting ^nvbg+++xvbg+=setting
in ^in++++=in
a ^at++++=a
blaze ^nn++++=blaze
the ^ati++++=the
seats ^nns++++=seats
and ^cc++++=and
benches ^nns++++=benches.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dance ^nn++++=dance
of ^in++++=of
the ^ati++++=the
shadows ^nps++++=shadows
passed ^vbd+++xvbn+=passed
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
