When ^wrb+who+++=When
Caroline ^np++++=Caroline
Noble ^np++++=Noble's
's ^$++++=EXTRAWORD
friends ^nns++++=friends
learned ^vbd+vprv++xvbn+=learned
that ^tht+vcmp+++=that
Raymond ^np++++=Raymond
d ^zz++++=d'Esquerre
'esquerre ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
to ^to++++=to
spend ^vbi++++=spend
a ^at++++=a
month ^nn++++=month
at ^rb++++=at
her ^pp3o+pp3+++=her
place ^nn++++=place
on ^in++++=on
the ^ati++++=the
Sound ^nn++++=Sound
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
sailed ^vbd+++xvbnx+=sailed
to ^to++++=to
fill ^vbi++++=fill
his ^pp$+pp3+++=his
engagement ^nn+nom+++=engagement
for ^in++++=for
the ^ati++++=the
London ^np++++=London
opera ^nn++++=opera
season ^nn++++=season,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
considered ^vbd+vprv+tht0+xvbnx+=considered
it ^pp3+it+++=it
another ^dt++++=another
striking ^jj+atrb++xvbg+=striking
instance ^nn+nom+++=instance
of ^in++++=of
the ^ati++++=the
perversity ^nn+nom+++=perversity
of ^in++++=of
things ^nns++++=things.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
the ^ati++++=the
month ^nn++++=month
was ^vbd+bedz+vrb++=was
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
most ^ql+emph+++=most
mild ^jj++++=mild
and ^cc+phrs+++=and
florescent ^jj++++=florescent
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
blue ^jj++++=blue-and-white
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
Mays ^np+++??+=Mays
the ^ati++++=the
middle ^jjb+atrb+++=middle
coast ^nn++++=coast
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
in ^in++++=in
years ^nns++++=years,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
added ^vpsv++agls+xvbn+=added
to ^in++++=to
their ^pp$+pp3+++=their
sense ^nn++++=sense
of ^in++++=of
wrong ^nn++++=wrong.
. ^zz++++=EXTRAWORD
D ^zz++++=D'Esquerre,
'esquerre, ^nn+++??+=EXTRAWORD
they ^pp3a+pp3+++=they
learned ^vbd+vprv++xvbnx+=learned,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
ensconced ^vpsv++agls+xvbnx+=ensconced
in ^in++++=in
the ^ati++++=the
lodge ^nn++++=lodge
in ^in++++=in
the ^ati++++=the
apple ^nn++++=apple
orchard ^nn++++=orchard,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
beyond ^in++++=beyond
Caroline ^np++++=Caroline's
's ^$++++=EXTRAWORD
glorious ^jj+atrb+++=glorious
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
report ^nn++++=report
went ^vbd+++xvbn+=went
that ^dt+dem+++=that
at ^rb++++=at
almost ^rb+hdg+++=almost
any ^dti++++=any
hour ^nn++++=hour
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
tenor ^nn++++=tenor's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
and ^cc++++=and
of ^in++++=of
Caroline ^np++++=Caroline's
's ^vbz+bez+aux++0=EXTRAWORD
crashing ^vbg+++xvbg+=crashing
accompaniment ^nn+nom+++=accompaniment
could ^md+pos+++=could
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard
floating ^vbg+++xvbg+=floating
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
among ^in++++=among
the ^ati++++=the
snowy ^jj+atrb+++=snowy
apple ^nn++++=apple
boughs ^nns++++=boughs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Sound ^nn++++=Sound,
, ^zz++++=EXTRAWORD
steel ^nn++++=steel-blue
- ^zz++++=EXTRAWORD
blue ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
dotted ^jj+++xvbn+=dotted
with ^in++++=with
white ^jj+atrb+++=white
sails ^nns++++=sails,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
splendidly ^rb++splt++=splendidly
seen ^vpsv++agls+xvbnx+=seen
from ^in++++=from
the ^ati++++=the
windows ^nns++++=windows
of ^in++++=of
the ^ati++++=the
lodge ^nn++++=lodge.
. ^zz++++=EXTRAWORD
The ^ati++++=The
garden ^nn++++=garden
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left
and ^cc++++=and
the ^ati++++=the
orchard ^nn++++=orchard
to ^in++++=to
the ^ati++++=the
right ^jj++++=right
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
riotous ^jj++++=riotous
with ^in++++=with
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
burst ^vprf+++xvbnx+=burst
into ^in+ppvb+++=into
impassioned ^jj+atrb+++=impassioned
bloom ^nn++++=bloom,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
