Being ^vbg+beg++xvbg+=Being
a ^at++++=a
Twelfth ^od++++=Twelfth
Extract ^vb++++=Extract
from ^in++++=from
the ^ati++++=the
Legacy ^nn++++=Legacy
of ^in++++=of
the ^ati++++=the
late ^jj+atrb+++=late
Francis ^np++++=Francis
Purcell ^np+++??+=Purcell,
, ^zz++++=EXTRAWORD
P.p ^np+++??+=P.P.
. ^zz++++=EXTRAWORD
of ^in++++=of
Drumcoolagh ^np+++??+=Drumcoolagh.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
rode ^vbd+++xvbnx+=rode
at ^in++++=at
a ^at++++=a
slow ^jj+atrb+++=slow
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
soft ^jj+atrb+++=soft
autumn ^nn++++=autumn
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
once ^cs+tm+++=once
noted ^vprf+++xvbn+=noted
and ^cc++++=and
noticeable ^jj+atrb+++=noticeable
town ^nn++++=town
of ^in++++=of
Emly ^np+++??+=Emly,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
a ^at++++=a
squalid ^jj+atrb+++=squalid
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
towards ^in++++=towards
the ^ati++++=the
no ^at++++=no
less ^rbr++++=less
remarkable ^jj+atrb+++=remarkable
town ^nn++++=town
of ^in++++=of
Tipperary ^np+nom++??+=Tipperary,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
into ^in+ppvb+++=into
a ^at++++=a
meditative ^jj+atrb+++=meditative
mood ^nn++++=mood.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eye ^nn++++=eye
wandered ^vbd+++xvbn+=wandered
over ^in++++=over
a ^at++++=a
glorious ^jj+atrb+++=glorious
landscape ^nn++++=landscape;
; ^zz++++=EXTRAWORD
a ^at++++=a
broad ^jj+atrb+++=broad
sea ^nn++++=sea
of ^in++++=of
corn ^nn++++=corn-fields,
- ^zz++++=EXTRAWORD
fields ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
might ^md+pos+++=might
have ^vb+hv+aux++=have
gladdened ^vprf+++xvbnx+=gladdened
even ^rb++++=even
a ^at++++=a
golden ^jj+atrb+++=golden
age ^nn++++=age,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
waving ^vbg+++xvbgx+=waving
before ^in++++=before
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
groups ^nns++++=groups
of ^in++++=of
little ^jj+atrb+++=little
cabins ^nns++++=cabins,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
poplars ^nns+++??+=poplars,
, ^zz++++=EXTRAWORD
osiers ^nn++++=osiers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
light ^jj+atrb+++=light
mountain ^nn++++=mountain
ashes ^nns++++=ashes,
, ^zz++++=EXTRAWORD
clustered ^j+++xvbn+=clustered
shelteringly ^jj++++=shelteringly
around ^rp++++=around
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
scattered ^vpsv++agls+xvbnx+=scattered
over ^in++++=over
the ^ati++++=the
plain ^nn++++=plain;
; ^zz++++=EXTRAWORD
the ^ati++++=the
thin ^jj+atrb+++=thin
blue ^jj+atrb+++=blue
smoke ^nn++++=smoke
arose ^vbd+++xvbn+=arose
floating ^vbg+++xvbg+=floating
through ^in++++=through
their ^pp$+pp3+++=their
boughs ^nns++++=boughs
in ^in++++=in
the ^ati++++=the
still ^rb+atrb+++=still
evening ^nn++++=evening
air ^nn++++=air.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
far ^rb+pl+++=far
away ^rp+pl+++=away
with ^in++++=with
all ^abn++++=all
their ^pp$+pp3+++=their
broad ^jj+atrb+++=broad
lights ^nns++++=lights
and ^cc++++=and
shades ^nns++++=shades,
, ^zz++++=EXTRAWORD
softened ^j+++xvbn+=softened
with ^in++++=with
the ^ati++++=the
haze ^nn++++=haze
of ^in++++=of
approaching ^xvbg+++xvbg+=approaching
twilight ^nn++++=twilight,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
the ^ati++++=the
bold ^jj+atrb+++=bold
wild ^jj+atrb+++=wild
Galties ^np+++??+=Galties.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
gazed ^vbd+++xvbnx+=gazed
on ^in++++=on
this ^dt+dem+++=this
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
richness ^nns+nom+++=richness
was ^vbd+bedz+aux++=was
deepened ^vpsv++by+xvbnx+=deepened
by ^in++++=by
the ^ati++++=the
melancholy ^jj+atrb+++=melancholy
glow ^nn++++=glow
of ^in++++=of
the ^ati++++=the
setting ^jj+atrb++xvbg+=setting
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tears ^nns++++=tears
rose ^vbd+++xvbn+=rose
to ^in++++=to
my ^pp$+pp1+++=my
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='Alas,
alas ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
country ^nn++++=country!
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
mournful ^jj+atrb+++=mournful
beauty ^nn++++=beauty
is ^vbz+bez+vrb++=is
thine ^pp$+pp2+++=thine.
. ^zz++++=EXTRAWORD
Dressed ^j+++xvbn+=Dressed
in ^in++++=in
loveliness ^nns+nom+++=loveliness
and ^cc++++=and
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
mortal ^nn++++=mortal
decay ^nn++++=decay
at ^rb++++=at
thy ^pp$+pp2+++=thy
heart ^nn++++=heart:
: ^zz++++=EXTRAWORD
sorrow ^nn++++=sorrow,
, ^zz++++=EXTRAWORD
sin ^nn++++=sin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shame ^nn++++=shame
have ^vb+hv+aux++=have
mingled ^vprf+++xvbnx+=mingled
thy ^pp$+pp2+++=thy
cup ^nn++++=cup
of ^in++++=of
misery ^nn++++=misery.
. ^zz++++=EXTRAWORD
Strange ^jj+atrb+++=Strange
rulers ^nns++++=rulers
have ^vb+hv+aux++=have
bruised ^vprf+++xvbnx+=bruised
thee ^pp2+pp2+++=thee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laughed ^vbd+++xvbn+=laughed
thee ^pp2+pp2+++=thee
to ^to++++=to
