This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
stories ^nns++++=stories
of ^in++++=of
Alfred ^np++++=Alfred.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
many ^ap++++=many
of ^in++++=of
them ^pp3o+pp3+++=them
still ^rb++++=still
floating ^vbg+++xvbg+=floating
around ^in++++=around
the ^ati++++=the
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
for ^in++++=for
Alfred ^np++++=Alfred
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
time ^nn++++=time
very ^ql+amp+++=very
well ^rb++++=well
known ^vbd+vprv++xvbn+=known.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
bashful ^jj+pred+++=bashful.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
that ^dt+pdem+++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
said ^vpsv++agls+xvbnx+=said
against ^in++++=against
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
little ^ap++++=little
and ^cc++++=and
very ^ql+amp+++=very
bashful ^jj++++=bashful.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
on ^in++++=on
horseback ^nn++++=horseback
his ^pp$+pp3+++=his
legs ^nns++++=legs
hardly ^rb+down+++=hardly
reached ^vbd+++xvbn+=reached
the ^ati++++=the
lower ^jjr+atrb+++=lower
body ^nn++++=body-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
mount ^nn++++=mount,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
his ^pp$+pp3+++=his
extreme ^jj+atrb+++=extreme
agility ^nn+nom+++=agility
enabled ^vbd+++xvbn+=enabled
him ^pp3o+pp3+++=him
to ^to++++=to
get ^vbi++++=get
on ^in++++=on
successfully ^rb++++=successfully.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
on ^in++++=on
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
strangers ^nns+nom+++=strangers
were ^vbd+bed+aux++=were
inclined ^jj++agls+xvbnx+=inclined
to ^to+jcmp+++=to
call ^vbi++++=call
him ^pp3o+pp3+++=him
" ^zz++++="sonny."
sonny ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
company ^nn++++=company
he ^pp3a+pp3+++=he
never ^rb++++=never
advanced ^jj+++xvbn+=advanced
an ^at++++=an
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
things ^nns++++=things
did ^vbd+dod+aux++=did
not ^xnot++not++=not
go ^vb++++=go
according ^in+cmpx+++=according
to ^in"++++=to
his ^pp$+pp3+++=his
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reconstructed ^vbd+++xvbnx+=reconstructed
the ^ati++++=the
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
it ^pp3+it+++=it--only
-- ^--+clp+++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
make ^vb++++=make
the ^ati++++=the
most ^ql+emph+++=most
efficient ^jj++++=efficient
best ^jjt++++=best
of ^in++++=of
the ^ati++++=the
poorest ^jjt+atrb+++=poorest
ideas ^nns++++=ideas
of ^in++++=of
any ^dti++++=any
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
plains ^npls++++=plains.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
attitude ^nn++++=attitude
was ^vbd+bedz+vrb++=was
a ^at++++=a
perpetual ^nn++++=perpetual
sidling ^vwbg+++xvbg+=sidling
apology ^nn++++=apology.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
Alfred ^nn++++=Alfred
killed ^vbd+++xvbn+=killed
his ^pp$+pp3+++=his
men ^nns++++=men
diffidently ^rb+cnj+++=diffidently,
, ^zz++++=EXTRAWORD
without ^in++++=without
enthusiasm ^nn++++=enthusiasm,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
loth ^jj++++=loth
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
responsibility ^nn+nom+++=responsibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
in ^in++++=in
the ^ati++++=the
pioneer ^nn+nom+++=pioneer
days ^nns++++=days
on ^in++++=on
the ^ati++++=the
plains ^npls++++=plains
was ^vbd+bedz+vrb++=was
either ^dtx++++=either
frivolous ^jj+atrb+++=frivolous
affectation ^nn+nom+++=affectation,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else--Alfred.
-- ^--+clp+++=EXTRAWORD
alfred ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
With ^in++++=With
women ^nns++++=women
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
would ^md+prd+++=would
