Once ^rb+tm+++=Once
Morrison ^np++++=Morrison
& ^zz++++=&
Daly ^np+++??+=Daly,
, ^zz++++=EXTRAWORD
of ^in++++=of
Saginaw ^np+++??+=Saginaw,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
lumbering ^jj+++xvbg+=lumbering
at ^rb++++=at
Beeson ^np+++??+=Beeson
Lake ^nn++++=Lake,
, ^zz++++=EXTRAWORD
lent ^j+++xvbn+=lent
some ^dti++++=some
money ^nn++++=money
to ^in++++=to
a ^at++++=a
man ^nn++++=man
named ^vbd+++xvbn+=named
Crothers ^nns+nom++??+=Crothers,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
in ^rb+phrv+++=in
return ^nn++++=return
a ^at++++=a
mortgage ^nn+nom+++=mortgage
on ^in++++=on
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
the ^ati++++=the
Crothers ^nns+nom++??+=Crothers
Tract ^nn++++=Tract
of ^in++++=of
white ^jj+atrb+++=white
pine ^nn++++=pine.
. ^zz++++=EXTRAWORD
In ^in++++=In
due ^jj+atrb+++=due
time ^nn++++=time,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Crothers ^nns+nom++??+=Crothers
did ^vbd+dod+aux++=did
not ^xnot++not++=not
liquidate ^nn+nom+++=liquidate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
firm ^nn++++=firm
became ^vbd+++xvbn+=became
possessed ^jj+++xvbn+=possessed
of ^in++++=of
this ^dt+dem+++=this
tract ^nn++++=tract.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
hardly ^rb+down+++=hardly
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
timber ^nn++++=timber
was ^vbd+bedz+aux++=was
situated ^vpsv++agls+xvbnx+=situated
some ^dti++++=some
fifty ^cd++++=fifty
miles ^nns++++=miles
from ^in++++=from
the ^ati++++=the
railroad ^nn++++=railroad
in ^in++++=in
a ^at++++=a
country ^nn++++=country
that ^tht+rel+subj++=that
threw ^vbd+++xvbn+=threw
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
difficulties ^nns++++=difficulties
across ^in+pl+++=across
the ^ati++++=the
logger ^nn++++=logger's
's ^$++++=EXTRAWORD
path ^nn++++=path,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
hauled ^vbd+++xvbn+=hauled
from ^in++++=from
nine ^cd++++=nine
to ^to++++=to
fifteen ^cd++++=fifteen
miles ^nns++++=miles
to ^in++++=to
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
Morrison ^np++++=Morrison
and ^cc++++=and
Daly ^np+++??+=Daly
groaned ^vbd+++xvbn+=groaned
in ^in++++=in
spirit ^nn++++=spirit.
. ^zz++++=EXTRAWORD
Supplies ^nns++++=Supplies
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
be ^vbi++vrb++=be
toted ^jj+++xvbn+=toted
in ^in++++=in
to ^in++++=to
last ^ap++++=last
the ^ati++++=the
entire ^jjb+atrb+++=entire
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
for ^in++++=for
when ^wrb+who+++=when
the ^ati++++=the
snow ^nn++++=snow
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
communication ^nn+nom+++=communication
over ^in++++=over
fifty ^cd++++=fifty
miles ^nns++++=miles
of ^in++++=of
forest ^nn++++=forest
road ^npl++++=road
would ^md+prd+++=would
be ^vb+be+vrb++=be
as ^ql++++=as
good ^jj++++=good
as ^in++++=as
cut ^nn++++=cut
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
Whom ^whp+wpor+whq++=Whom
could ^md+pos+++=could
they ^pp3a+pp3+++=they
trust ^vb+vprv+++=trust
among ^in++++=among
the ^ati++++=the
lesser ^nn++++=lesser
foremen ^vbd+++xvbn+=foremen
of ^in++++=of
their ^pp$+pp3+++=their
woods ^nns++++=woods
force ^nn++++=force?
? ^zz++++=EXTRAWORD
Whom ^whp+wpor+whq++=Whom
could ^md+pos+++=could
they ^pp3a+pp3+++=they
spare ^vb++++=spare
among ^in++++=among
the ^ati++++=the
greater ^jjr++++=greater?
? ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
juncture ^nn++++=juncture
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
