Richard ^np++++=Richard
Herrick ^np+++??+=Herrick
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
with ^in++++=with
a ^at++++=a
gentle ^jj+atrb+++=gentle
disposition ^nn+nom+++=disposition,
, ^zz++++=EXTRAWORD
much ^ap++++=much
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
sense ^nn++++=sense
of ^in++++=of
humor ^nn++++=humor.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
object ^nn++++=object
in ^in++++=in
life ^nn++++=life
was ^vbd+bedz+aux++=was
to ^to++++=to
marry ^vbi++++=marry
Miss ^npt++++=Miss
Catherweight ^np++++=Catherweight.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
years ^nns++++=years
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
persuade ^vbi++++=persuade
him ^pp3o+pp3+++=him
this ^dt+pdem+++=this
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
convince ^vb++++=convince
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
married ^j+++xvbn+=married
some ^dti++++=some
one ^cd1++++=one
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
woman ^nn++++=woman
he ^pp3a+pp3+++=he
loves ^vbz++++=loves
marries ^vbz++++=marries
another ^dt++++=another
man ^nn++++=man,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rejected ^jj+atrb++xvbn+=rejected
one ^cd1++++=one
is ^vbz+bez+aux++=is
popularly ^rb++splt++=popularly
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
take ^vb++++=take
to ^to+vcmp+++=to
drink ^vbi++++=drink
or ^cc++++=or
to ^in++++=to
foreign ^jj+atrb+++=foreign
travel ^nn++++=travel.
. ^zz++++=EXTRAWORD
Statistics ^nns++++=Statistics
show ^vb+vprv+tht0++=show
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
instantly ^rb+tm+++=instantly
falls ^vbz++++=falls
in ^in++++=in
love ^nn++++=love
with ^in++++=with
the ^ati++++=the
best ^jjt+atrb+++=best
friend ^nn++++=friend
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl
who ^whp+rel+subj++=who
refused ^vbd+++xvbn+=refused
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Herrick ^np+++??+=Herrick
truly ^rb++++=truly
loved ^xvbn+++xvbn+=loved
Miss ^npt++++=Miss
Catherweight ^np++++=Catherweight,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
worship ^nn+nom+++=worship
any ^dti++++=any
other ^ap++++=other
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
a ^at++++=a
lover ^nn++++=lover
of ^in++++=of
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
Nature ^nn++++=Nature,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
assured ^vbd+vpub+tht0+xvbnx+=assured
his ^pp$+pp3+++=his
men ^nns++++=men
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
disappoint ^vb++++=disappoint
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
The ^ati++++=The
more ^rbr++++=more
