In ^in++++=IN
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
high ^jj++++=high
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
steep ^jj+atrb+++=steep
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
open ^jj+atrb+++=open
seacoast ^nn+++??+=seacoast,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
a ^at++++=a
very ^ql+amp+++=very
old ^jj+atrb+++=old
oak ^nn++++=oak-tree.
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
three ^cd++++=three
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
long ^jj+atrb+++=long
time ^nn++++=time
was ^vbd+bedz+vrb++=was
to ^in++++=to
the ^ati++++=the
tree ^nn++++=tree
as ^ql++++=as
the ^ati++++=the
same ^ap++++=same
number ^nn++++=number
of ^in++++=of
days ^nns++++=days
might ^md+pos+++=might
be ^vb+be+vrb++=be
to ^to++++=to
us ^pp1o+pp1+++=us;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
wake ^vb++++=wake
by ^in++++=by
day ^nn++++=day
and ^cc++++=and
sleep ^nn++++=sleep
by ^in++++=by
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
our ^pp$+pp1+++=our
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
different ^jj+pred+++=different
with ^in++++=with
the ^ati++++=the
tree ^nn++++=tree;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
keep ^vbi++++=keep
awake ^jj++++=awake
through ^in++++=through
three ^cd++++=three
seasons ^nns++++=seasons
of ^in++++=of
the ^ati++++=the
year ^nn++++=year,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
does ^vbz+doz+aux++=does
not ^xnot++not++=not
get ^vb++++=get
any ^dti++++=any
sleep ^nn++++=sleep
till ^cs+sub+++=till
winter ^nn++++=winter
comes ^vbz++++=comes.
. ^zz++++=EXTRAWORD
Winter ^nn++++=Winter
is ^vbz+bez+vrb++=is
its ^pp$+it+++=its
time ^nn++++=time
for ^in++++=for
rest ^nn++++=rest;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
night ^nn++++=night
after ^in++++=after
the ^ati++++=the
long ^rb++++=long
day ^nn++++=day
of ^in++++=of
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
autumn ^nn++++=autumn.
. ^zz++++=EXTRAWORD
On ^in++++=On
many ^ap++++=many
a ^at++++=a
warm ^jj+atrb+++=warm
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ephemera ^np+++??+=Ephemera,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flies ^nns++++=flies
that ^tht+rel+subj++=that
exist ^vb++++=exist
for ^in++++=for
only ^rb+down+++=only
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
fluttered ^vprf+++xvbnx+=fluttered
about ^in++++=about
the ^ati++++=the
old ^jj+atrb+++=old
oak ^nn++++=oak,
, ^zz++++=EXTRAWORD
enjoyed ^jj+atrb++xvbn+=enjoyed
life ^nn++++=life
and ^cc++++=and
felt ^vbd+vprv++xvbn+=felt
happy ^jj++++=happy
and ^cc+cls+++=and
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
tiny ^jj+atrb+++=tiny
creatures ^nns++++=creatures
rested ^vbd+++xvbn+=rested
on ^in++++=on
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
