I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Autumn ^nn++++=Autumn.
. ^zz++++=EXTRAWORD
A ^at++++=A
carriage ^nn+nom+++=carriage
and ^cc++++=and
a ^at++++=a
calesche ^nn+++??+=calesche
were ^vbd+bed+aux++=were
proceeding ^vbg+++xvbgx+=proceeding
at ^in++++=at
a ^at++++=a
sharp ^jj+atrb+++=sharp
trot ^nn++++=trot
along ^in++++=along
the ^ati++++=the
high ^jj++++=high-road.
- ^zz++++=EXTRAWORD
road ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
carriage ^nn+nom+++=carriage
sat ^vbd+++xvbn+=sat
two ^cd++++=two
women ^nns++++=women.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
the ^ati++++=the
mistress ^nns+nom+++=mistress,
, ^zz++++=EXTRAWORD
thin ^jj++++=thin
and ^cc++++=and
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
was ^vbd+bedz+vrb++=was
the ^ati++++=the
maid ^nn++++=maid,
, ^zz++++=EXTRAWORD
smug ^jj++++=smug,
, ^zz++++=EXTRAWORD
florid ^jj++++=florid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buxom ^jj++++=buxom.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
short ^jj+atrb+++=short
dry ^jj+atrb+++=dry
tresses ^nns+nom++??+=tresses
peeped ^vbd+++xvbn+=peeped
forth ^rp++++=forth
from ^in++++=from
under ^in++++=under
her ^pp$+pp3+++=her
faded ^vbd+++xvbn+=faded
bonnet ^nn++++=bonnet,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
pretty ^rb++++=pretty
hand ^nn++++=hand
in ^in++++=in
her ^pp$+pp3+++=her
torn ^vbd+++xvbn+=torn
glove ^nn++++=glove
readjusted ^vbd+++xvbn+=readjusted
them ^pp3o+pp3+++=them
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
swelling ^nn+nom+++=swelling
bosom ^nn++++=bosom,
, ^zz++++=EXTRAWORD
covered ^xvbn+++xvbn+=covered
by ^in++++=by
a ^at++++=a
rug ^nn++++=rug,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
the ^ati++++=the
breath ^nn++++=breath
of ^in++++=of
health ^nn++++=health;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
quick ^jj+atrb+++=quick
black ^jj+atrb+++=black
eyes ^nns++++=eyes
glanced ^vbd+++xvbn+=glanced
at ^in++++=at
one ^cd1++++=one
moment ^nn++++=moment
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window
at ^in++++=at
the ^ati++++=the
scurrying ^jj+atrb++xvbg+=scurrying
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
at ^rb++++=at
another ^dt++++=another
stared ^jj+++xvbn+=stared
boldly ^rb++++=boldly
at ^rb++++=at
her ^pp3o+pp3+++=her
mistress ^nns+nom+++=mistress,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
glanced ^vbd+++xvbn+=glanced
uneasily ^rb++++=uneasily
at ^in++++=at
the ^ati++++=the
comers ^nns++++=comers
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
very ^ap+amp+++=very
nose ^nn++++=nose
of ^in++++=of
the ^ati++++=the
waiting ^jj+++xvbg+=waiting-maid
- ^zz++++=EXTRAWORD
maid ^np++++=EXTRAWORD
the ^ati++++=the
bonnet ^nn++++=bonnet
of ^in++++=of
her ^pp3o+pp3+++=her
mistress ^nns+nom+++=mistress,
, ^zz++++=EXTRAWORD
attached ^j+++xvbn+=attached
to ^in++++=to
the ^ati++++=the
netting ^nn++++=netting
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
rocked ^j+++xvbn+=rocked
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro;
; ^zz++++=EXTRAWORD
on ^rp++++=on
her ^pp3o+pp3+++=her
knees ^nns++++=knees
lay ^vbd+++xvbn+=lay
a ^at++++=a
lap ^nn++++=lap-dog,
- ^zz++++=EXTRAWORD
dog ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
legs ^nns++++=legs
were ^vbd+bed+aux++=were
hunched ^vpsv++agls+xvbnx+=hunched
up ^rp++++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hand ^nn++++=hand-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
standing ^vwbg+++xvbg+=standing
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage
and ^cc++++=and
the ^ati++++=the
drumming ^nn++++=drumming
of ^in++++=of
her ^pp$+pp3+++=her
feet ^nns++++=feet
upon ^in++++=upon
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
audible ^jj+pred+++=audible
amidst ^in++++=amidst
the ^ati++++=the
creaking ^nn++++=creaking
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage-springs
- ^zz++++=EXTRAWORD
springs ^vbz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
clattering ^nn++++=clattering
of ^in++++=of
the ^ati++++=the
window ^nn++++=window-glasses.
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
With ^in++++=With
her ^pp$+pp3+++=her
hands ^nns++++=hands
on ^rp++++=on
her ^pp3o+pp3+++=her
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
closed ^jj+atrb++xvbn+=closed
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mistress ^nns+nom+++=mistress
rocked ^vbd+++xvbn+=rocked
softly ^rb++++=softly
on ^in++++=on
the ^ati++++=the
pillows ^nns++++=pillows
piled ^vbd+++xvbn+=piled
up ^rp++++=up
behind ^in+pl+++=behind
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kept ^vpsv++agls+xvbn+=kept
on ^rb+phrv+++=on
coughing ^nn++++=coughing
an ^at++++=an
internal ^jj+atrb+++=internal
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
slightly ^rb+down+++=slightly
wrinkling ^nn+nom+++=wrinkling
her ^pp$+pp3+++=her
brows ^nns++++=brows.
. ^zz++++=EXTRAWORD
On ^rp++++=On
her ^pp3o+pp3+++=her
head ^jjb++++=head
was ^vbd+bedz+vrb++=was
a ^at++++=a
white ^jj+atrb+++=white
night ^nn++++=night-cap,
- ^zz++++=EXTRAWORD
cap ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
blue ^jj+atrb+++=blue
handkerchief ^nn++++=handkerchief
was ^vbd+bedz+aux++=was
fastened ^vpsv++agls+xvbnx+=fastened
round ^rb++++=round
her ^pp$+pp3+++=her
fresh ^jj+atrb+++=fresh,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
The ^ati++++=The
straight ^jj+atrb+++=straight
parting ^nvbg+++xvbg+=parting,
, ^zz++++=EXTRAWORD
continuing ^vbg+++xvbg+=continuing
beneath ^in+pl+++=beneath
the ^ati++++=the
night ^nn++++=night-cap,
- ^zz++++=EXTRAWORD
cap ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
divided ^xvbn+++xvbn+=divided
the ^ati++++=the
reddish ^jj++++=reddish,
, ^zz++++=EXTRAWORD
extraordinarily ^rb++++=extraordinarily
flat ^jj++++=flat,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-preserved
- ^zz++++=EXTRAWORD
preserved ^vbd+++xvbn+=EXTRAWORD
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
dry ^jj++++=dry
and ^cc++++=and
death ^nn++++=death-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
whiteness ^nns+nom+++=whiteness
of ^in++++=of
the ^ati++++=the
skin ^nn++++=skin
of ^in++++=of
this ^dt+dem+++=this
broad ^jj+atrb+++=broad
parting ^nvbg+++xvbg+=parting.
. ^zz++++=EXTRAWORD
The ^ati++++=The
withered ^jj+++xvbn+=withered,
, ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
yellowish ^jj+atrb+++=yellowish
skin ^nn++++=skin
hung ^vbd+++xvbn+=hung
somewhat ^rb+down+++=somewhat
loosely ^rb++++=loosely
on ^in++++=on
the ^ati++++=the
delicate ^jj++++=delicate
and ^cc++++=and
pretty ^rb++++=pretty
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cheeks ^nns++++=cheeks
and ^cc++++=and
jaws ^nns++++=jaws
had ^vb+hv+vrb++=had
a ^at++++=a
pinkish ^jj+atrb+++=pinkish
hue ^nn++++=hue.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
lips ^nns++++=lips
were ^vbd+bed+vrb++=were
dry ^jj+pred+++=dry
and ^cc+phrs+++=and
restless ^jj++++=restless,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
travelling ^vbg+nom++xvbg+=travelling
cloth ^nn++++=cloth
dress ^nn++++=dress
lay ^vbd+++xvbn+=lay
in ^in++++=in
straight ^jj+atrb+++=straight
folds ^nns++++=folds
over ^rp++++=over
her ^pp3o+pp3+++=her
shrunken ^jj+atrb+++=shrunken
bosom ^nn++++=bosom.
. ^zz++++=EXTRAWORD
Notwithstanding ^rb+cnj+++=Notwithstanding
that ^cs+sub+++=that
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
