B.c ^rb++++=B.C.
. ^zz++++=EXTRAWORD
180 ^cd++++=180
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
about ^in++++=about
180 ^cd++++=180
years ^nns++++=years
before ^in++++=before
the ^ati++++=the
Christian ^jj+atrb+++=Christian
era ^nn++++=era.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Jews ^nn++++=Jews
had ^vb+hv+vrb++=had
long ^rb++++=long
since ^cs+sub+++=since
come ^vprf+++xvbn+=come
home ^nr++++=home
from ^in++++=from
Babylon ^np++++=Babylon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
built ^vwbn+++xvbn+=built
up ^rp++++=up
their ^pp$+pp3+++=their
city ^nn++++=city
and ^cc++++=and
Temple ^np++++=Temple
at ^rb++++=at
Jerusalem ^np++++=Jerusalem.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
free ^jj++++=free
as ^ql++++=as
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
country ^nn++++=country
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
some ^dti++++=some
greater ^jjr+atrb+++=greater
power ^nn++++=power,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
a ^at++++=a
foreign ^jj+atrb+++=foreign
governor ^nn++++=governor
over ^rp++++=over
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^md"++pmd"++=had
to ^md+nec+++=to
pay ^vb++++=pay
tribute ^nn++++=tribute
to ^in++++=to
the ^ati++++=the
king ^nn++++=king
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
their ^pp$+pp3+++=their
master ^nn++++=master.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
going ^md"++pmd"++=going
to ^md+prd+++=to
speak ^vb++++=speak
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
king ^nn++++=king
was ^vbd+bedz+vrb++=was
Antiochus ^np+++??+=Antiochus
Epiphanes ^nns+nom++??+=Epiphanes,
, ^zz++++=EXTRAWORD
King ^npt++++=King
of ^in++++=of
Syria ^np++++=Syria.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
descended ^vpsv++agls+xvbnx+=descended
from ^in++++=from
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
generals ^nns+nom+++=generals
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
Alexander ^np+nom+++=Alexander
the ^ati++++=the
Great ^jj++++=Great,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
shared ^vprf+++xvbnx+=shared
the ^ati++++=the
East ^np+pl+++=East
between ^in++++=between
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
reigned ^vbd+++xvbnx+=reigned
over ^in++++=over
all ^abn++++=all
the ^ati++++=the
country ^nn++++=country
from ^in++++=from
the ^ati++++=the
Mediterranean ^np+nom+++=Mediterranean
Sea ^nn++++=Sea
even ^rb++++=even
into ^in++++=into
Persia ^np++++=Persia
and ^cc++++=and
the ^ati++++=the
borders ^nns+nom+++=borders
of ^in++++=of
India ^np++++=India.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
Greek ^nn++++=Greek,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
believed ^vpsv++agls+xvbn+=believed
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
Greek ^nn++++=Greek
and ^cc++++=and
Roman ^jj+atrb+++=Roman
gods ^nns++++=gods,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
some ^dti++++=some
time ^nn++++=time
at ^in++++=at
Rome ^np++++=Rome
in ^in++++=in
his ^pp$+pp3+++=his
youth ^nn++++=youth;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
his ^pp$+pp3+++=his
Eastern ^jj+atrb+++=Eastern
kingdom ^nn+nom+++=kingdom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
learnt ^vprf+++xvbnx+=learnt
all ^abn++++=all
the ^ati++++=the
self ^nn++++=self-indulgent
- ^zz++++=EXTRAWORD
indulgent ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
violent ^jj+atrb+++=violent
habits ^nns++++=habits
to ^to++++=to
which ^whp+who+++=which
people ^nns++++=people
in ^in++++=in
those ^dt+dem+++=those
hot ^jj+atrb+++=hot
countries ^nns++++=countries
are ^vb+ber+aux++=are
especially ^rb++splt++=especially
tempted ^vpsv++agls+xvbnx+=tempted.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
fierce ^jj++++=fierce
and ^cc+phrs+++=and
passionate ^jj++++=passionate,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
often ^rb++splt++=often
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
' ^zz++++='Madman',
madman ^nn++++=EXTRAWORD
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
cruel ^jj++++=cruel
to ^in++++=to
all ^abn++++=all
who ^whp+who+++=who
offended ^xvbn+++xvbn+=offended
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
his ^pp$+pp3+++=his
greatest ^jjt+atrb+++=greatest
desires ^nns++++=desires
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
Jews ^nn++++=Jews
should ^md+nec+++=should
leave ^vb++++=leave
their ^pp$+pp3+++=their
true ^jj+atrb+++=true
faith ^nn++++=faith
in ^in++++=in
one ^cd1++++=one
God ^nn++++=God,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
