She ^pp3a+pp3+++=She
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
away ^rp+pl+++=away
to ^in++++=to
a ^rb++++=a
little ^rb"++++=little
war ^nn++++=war
in ^in++++=in
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
country ^nn++++=country
was ^vbd+bedz+vrb++=was
interested ^jj+pred+++=interested
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
quite ^rb++++=quite
forgive ^vb++++=forgive.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
correspondent ^nn++++=correspondent
of ^in++++=of
a ^at++++=a
newspaper ^nn+nom+++=newspaper,
, ^zz++++=EXTRAWORD
Chesterton ^np+++??+=Chesterton
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
on ^in++++=on
at ^rb++++=at
other ^ap++++=other
wars ^nns++++=wars;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
yellow ^jj+atrb+++=yellow
races ^nns++++=races
met ^vbd+++xvbn+=met,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
infidel ^nn++++=infidel
Turk ^np+++??+=Turk
spanked ^vbd+++xvbn+=spanked
the ^ati++++=the
Christian ^jj++++=Christian
Greek ^jj++++=Greek;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
from ^in++++=from
inside ^jjb++++=inside
a ^at++++=a
British ^jj+atrb+++=British
square ^nn++++=square,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
greatly ^rb+amp+splt++=greatly
alarmed ^vpsv++agls+xvbnx+=alarmed
lest ^cs+sub+++=lest
he ^pp3a+pp3+++=he
should ^md+nec+++=should
be ^vb+be+aux++=be
trampled ^vpsv++agls+xvbnx+=trampled
upon ^in++++=upon
by ^in++++=by
terrified ^vprf+++xvbn+=terrified
camels ^nns+++??+=camels.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
and ^cc++++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
they ^pp3a+pp3+++=they
met ^vbd+++xvbnx+=met,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
that ^dt+pdem+++=that
what ^wdt+who+++=what
chances ^nns+nom+++=chances
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
chosen ^vprf+++xvbnx+=chosen
to ^to++++=to
take ^vbi++++=take
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
her ^pp$+pp3+++=her
life ^nn++++=life
fell ^vbd+++xvbn+=fell
outside ^in+cmpx+++=outside
of ^in"++++=of
her ^pp$+pp3+++=her
jurisdiction ^nn+nom+++=jurisdiction.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
that ^cs+sub+++=that
his ^pp$+pp3+++=his
life ^nn++++=life
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
talk ^nn++++=talk
of ^in++++=of
his ^pp$+pp3+++=his
standing ^nvbg+++xvbg+=standing
up ^rp++++=up
to ^to++++=to
be ^vbi+vbi+aux++=be
shot ^vpsv++agls+xvbnx+=shot
at ^rb++++=at
was ^vbd+bedz+vrb++=was
wicked ^jj+pred+++=wicked.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
worse ^jjr+pred+++=worse
than ^in++++=than
wicked ^jj++++=wicked;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
absurd ^jj+pred+++=absurd.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Maine ^np++++=Maine
sank ^vbd+++xvbn+=sank
in ^in++++=in
Havana ^np+++??+=Havana
harbor ^nn++++=harbor
and ^cc++++=and
the ^ati++++=the
word ^nn++++=word
" ^zz++++="war"
war ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
appearing ^vbg+seem++xvbgx+=appearing
hourly ^rb++++=hourly
in ^in++++=in
hysterical ^jj+atrb+++=hysterical
extras ^nns++++=extras,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Armitage ^np+nom+++=Armitage
explained ^vbd+vpub++xvbn+=explained
her ^pp$+pp3+++=her
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
