Tim ^np++++=TIM
O ^zz++++=O'CONNOR
'connor ^nn+++??+=EXTRAWORD
- ^zz++++=-who
who ^whp+who+++=EXTRAWORD
was ^vbd+bedz+aux++=was
descended ^vpsv++agls+xvbnx+=descended
from ^in++++=from
the ^ati++++=the
O ^zz++++=O'Conors
'conors ^nns++++0=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
N ^zz++++=N
- ^zz++++=-started
started ^vbd+++xvbn+=EXTRAWORD
life ^nn++++=life
as ^in++++=as
a ^at++++=a
poet ^nn++++=poet
and ^cc++++=and
an ^at++++=an
enthusiast ^nn++++=enthusiast.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
designed ^vprf+++xvbnx+=designed
him ^pp3o+pp3+++=him
for ^in++++=for
the ^ati++++=the
priesthood ^nn+nom+++=priesthood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
fifteen ^cd++++=fifteen,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
his ^pp$+pp3+++=his
verses ^nns++++=verses
had ^vb+hv+vrb++=had
an ^at++++=an
ecclesiastical ^jj+atrb+++=ecclesiastical
tinge ^nn++++=tinge,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
somehow ^rb++++=somehow
or ^cc++++=or
other ^ap++++=other,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
into ^in+ppvb+++=into
the ^ati++++=the
newspaper ^nn+nom+++=newspaper
business ^nns+nom+++=business
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
became ^vbd+++xvbn+=became
a ^at++++=a
pessimistic ^jj+atrb+++=pessimistic
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
literary ^jj+atrb+++=literary
style ^nn++++=style
of ^in++++=of
great ^jj+atrb+++=great
beauty ^nn++++=beauty
and ^cc++++=and
an ^at++++=an
income ^nn++++=income
of ^in++++=of
modest ^jj+atrb+++=modest
proportions ^nns+nom+++=proportions.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fell ^vbd+++xvbnx+=fell
in ^rb+phrv+++=in
with ^in+ppvb+++=with
men ^nns++++=men
who ^whp+rel+subj++=who
talked ^vbd+++xvbn+=talked
of ^in++++=of
art ^nn++++=art
for ^in++++=for
art ^nn++++=art's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
- ^zz++++=-though
though ^cs+sub+++=EXTRAWORD
what ^wdt+who+++=what
right ^nn++++=right
they ^pp3a+pp3+++=they
had ^md"++pmd"++=had
to ^md+nec+++=to
speak ^vb++++=speak
of ^in++++=of
art ^nn++++=art
at ^in++++=at
all ^abn++++=all
nobody ^pn++++=nobody
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
- ^zz++++=-and
and ^cc++++=EXTRAWORD
little ^jj++++=little
by ^in++++=by
little ^jj++++=little
his ^pp$+pp3+++=his
view ^nn++++=view
of ^in++++=of
life ^nn++++=life
and ^cc++++=and
love ^nn++++=love
became ^vbd+++xvbn+=became
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
profane ^jj++++=profane.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
met ^vbd+++xvbnx+=met
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
sucked ^vbd+++xvbn+=sucked
his ^pp$+pp3+++=his
heart ^nn++++=heart's
's ^$++++=EXTRAWORD
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
and ^cc++++=and
made ^vprf+++xvbn+=made
no ^at++++=no
protest ^nn++++=protest;
; ^zz++++=EXTRAWORD
nay ^uh++++=nay,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
great ^jj+atrb+++=great
amusement ^nn+nom+++=amusement
of ^in++++=of
the ^ati++++=the
fellows ^nns++++=fellows
who ^whp+rel+subj++=who
talked ^vbd+++xvbn+=talked
of ^in++++=of
art ^nn++++=art
for ^in++++=for
art ^nn++++=art's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
the ^ati++++=the
length ^nn++++=length
of ^in++++=of
marrying ^xvbg+++xvbg+=marrying
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
in ^in++++=in
decency ^nn++++=decency
explain ^vb+vpub+++=explain
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
traditions ^nns+nom+++=traditions
of ^in++++=of
fine ^jj+atrb+++=fine
gentlemen ^nns++++=gentlemen
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
and ^cc++++=and
so ^ql++++=so
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
his ^pp$+pp3+++=his
friends ^nns++++=friends
might ^md+pos+++=might
not ^xnot++not++=not
have ^vb+hv+aux++=have
understood ^vprf+++xvbnx+=understood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
at ^in+ppvb+++=at
the ^ati++++=the
days ^nns++++=days
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
of ^in++++=of
the ^ati++++=the
priesthood ^nn+nom+++=priesthood,
, ^zz++++=EXTRAWORD
blushed ^j+++xvbn+=blushed
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
across ^in+ppvb+++=across
any ^dti++++=any
of ^in++++=of
those ^dt+dem+++=those
tender ^jj++++=tender
and ^cc+phrs+++=and
exquisite ^jj+atrb+++=exquisite
old ^jj+atrb+++=old
verses ^nns++++=verses
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
in ^in++++=in
his ^pp$+pp3+++=his
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
became ^vbd+++xvbn+=became
addicted ^xvbn+++xvbn+=addicted
to ^in++++=to
absinthe ^nn++++=absinthe
and ^cc++++=and
other ^ap++++=other
less ^rbr++++=less
peculiar ^jj+atrb+++=peculiar
drinks ^nns++++=drinks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
gaming ^vbg+++xvbg+=gaming
a ^rb++++=a
little ^rb"++++=little
to ^to++++=to
escape ^vbi++++=escape
a ^at++++=a
madness ^nns+nom+++=madness
of ^in++++=of
ennui ^nn++++=ennui.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
years ^nns++++=years
went ^vwbn+++xvbn+=went
by ^in++++=by
he ^pp3a+pp3+++=he
avoided ^vbd+++xvbnx+=avoided,
, ^zz++++=EXTRAWORD
with ^in++++=with
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
scorn ^nn++++=scorn,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
denominated ^vbd+++xvbnx+=denominated
Philistine ^np+++??+=Philistine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consorted ^vprf+++xvbn+=consorted
only ^rb+down+++=only
with ^in++++=with
the ^ati++++=the
fellows ^nns++++=fellows
who ^whp+rel+subj++=who
