1700 ^cd+date+++=1700
The ^ati++++=The
wild ^jj+atrb+++=wild
history ^nn++++=history
of ^in++++=of
Ireland ^np++++=Ireland
contains ^vbz++++=contains
many ^ap++++=many
a ^at++++=a
frightful ^jj+atrb+++=frightful
tale ^nn++++=tale,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
many ^ap++++=many
an ^at++++=an
action ^nn++++=action
of ^in++++=of
the ^ati++++=the
noblest ^jjt++++=noblest
order ^to++++=order;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
short ^jj+atrb+++=short
sketch ^nn++++=sketch
given ^vwbn+++xvbn+=given
by ^in++++=by
Maria ^&fw++++=Maria
Edgeworth ^np+++??+=Edgeworth
of ^in++++=of
her ^pp$+pp3+++=her
ancestry ^nn++++=ancestry,
, ^zz++++=EXTRAWORD
presents ^vbz++++=presents
such ^abl++++=such
a ^at++++=a
chequerwork ^nn+++??+=chequerwork
of ^in++++=of
the ^ati++++=the
gold ^nn++++=gold
and ^cc++++=and
the ^ati++++=the
lead ^nn++++=lead
that ^tht+rel+obj++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
separate ^nn+nom+++=separate
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
Irish ^jj+atrb+++=Irish
rebellion ^nn++++=rebellion
of ^in++++=of
1641 ^cd+date+++=1641
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
Edgeworth ^np+++??+=Edgeworth
family ^nn++++=family
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
his ^pp$+pp3+++=his
English ^jj+atrb+++=English
wife ^nn++++=wife
and ^cc++++=and
her ^pp$+pp3+++=her
infant ^nn++++=infant
son ^nn++++=son
at ^in++++=at
his ^pp$+pp3+++=his
castle ^nn++++=castle
of ^in++++=of
Cranallagh ^np+++??+=Cranallagh
in ^in++++=in
county ^nn++++=county
Longford ^np+++??+=Longford,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
them ^pp3o+pp3+++=them
safe ^jj++++=safe
there ^rn+pl+++=there
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
joined ^vbd+++xvbnx+=joined
the ^ati++++=the
royal ^jj+atrb+++=royal
forces ^nns++++=forces
under ^in++++=under
the ^ati++++=the
Earl ^np++++=Earl
of ^in++++=of
Ormond ^np+++??+=Ormond.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
absence ^nn+nom+++=absence,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rebels ^nns++++=rebels
attacked ^vbd+++xvbn+=attacked
the ^ati++++=the
castle ^nn++++=castle
at ^rb++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
set ^jj+atrb++xvbn+=set
fire ^nn++++=fire
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dragged ^vbd+++xvbn+=dragged
the ^ati++++=the
lady ^nn++++=lady
out ^rp+pl+++=out
absolutely ^rb+amp+++=absolutely
naked ^jj++++=naked.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hid ^vbd+++xvbnx+=hid
herself ^ppl+pp3+++=herself
under ^in++++=under
a ^at++++=a
furze ^nn+++??+=furze
bush ^nn++++=bush,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
succeeded ^vpsv++agls+xvbn+=succeeded
in ^in++++=in
escaping ^xvbg+++xvbg+=escaping
and ^cc++++=and
reaching ^xvbg+++xvbg+=reaching
Dublin ^np++++=Dublin,
, ^zz++++=EXTRAWORD
whence ^wrb+who+++=whence
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
her ^pp$+pp3+++=her
way ^nn++++=way
to ^in++++=to
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^$++++=EXTRAWORD
house ^nn++++=house
in ^in++++=in
Derbyshire ^np++++=Derbyshire.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
little ^ap++++=little
son ^nn++++=son
was ^vbd+bedz+aux++=was
found ^vpsv++by+xvbnx+=found
by ^in++++=by
the ^ati++++=the
rebels ^nns++++=rebels
lying ^vwbg+++xvbg+=lying
in ^in++++=in
his ^pp$+pp3+++=his
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
actually ^rb+amp+++=actually
seized ^vbd+++xvbn+=seized
the ^ati++++=the
child ^nn++++=child
by ^in++++=by
the ^ati++++=the
leg ^nn++++=leg
and ^cc++++=and
was ^vbd+bedz+vrb++=was
about ^in++++=about
to ^in++++=to
dash ^nn++++=dash
out ^rp+pl+++=out
his ^pp$+pp3+++=his
brains ^nns++++=brains
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
servant ^nn+nom+++=servant
named ^vbd+++xvbn+=named
Bryan ^np++++=Bryan
Ferral ^np+++??+=Ferral,
, ^zz++++=EXTRAWORD
pretending ^vbg+++xvbg+=pretending
to ^to+vcmp+++=to
be ^vbi++vrb++=be
even ^rb++++=even
more ^rbr++++=more
ferocious ^jj++++=ferocious,
, ^zz++++=EXTRAWORD
vowed ^vb+++xvbn+=vowed
that ^tht+vcmp+++=that
a ^at++++=a
sudden ^jj+atrb+++=sudden
death ^nn++++=death
was ^vbd+bedz+vrb++=was
too ^ql++++=too
good ^jj++++=good
for ^in++++=for
the ^ati++++=the
little ^ap++++=little
heretic ^jj++++=heretic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
be ^vb+be+aux++=be
plunged ^vpsv++agls+xvbnx+=plunged
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
throat ^nn++++=throat
in ^in++++=in
a ^at++++=a
bog ^nn++++=bog-hole
- ^zz++++=EXTRAWORD
hole ^nn++++=EXTRAWORD
and ^cc++++=and
left ^vpsv++agls+xvbn+=left
for ^in++++=for
the ^ati++++=the
crows ^nns+++??+=crows
to ^to++++=to
pick ^vbi++++=pick
out ^rp+pl+++=out
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
actually ^rb+amp+++=actually
did ^vbd+dod+vrb++=did
place ^nn++++=place
the ^ati++++=the
poor ^jj+atrb+++=poor
child ^nn++++=child
in ^in++++=in
the ^ati++++=the
bog ^nn++++=bog
, ^zz++++=,
but ^cc+cls+++=but
only ^rb+down+++=only
to ^to++++=to
save ^vbi++++=save
his ^pp$+pp3+++=his
life ^nn++++=life;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
elude ^vb++++=elude
his ^pp$+pp3+++=his
comrades ^nns++++=comrades,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
the ^ati++++=the
boy ^nn++++=boy
into ^in++++=into
a ^at++++=a
pannier ^nn++++=pannier
below ^in+pl+++=below
eggs ^nns++++=eggs
and ^cc++++=and
chickens ^nns++++=chickens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him
straight ^jj++++=straight
though ^cs+sub+++=though
the ^ati++++=the
rebel ^nn++++=rebel
camp ^nn++++=camp
to ^in++++=to
his ^pp$+pp3+++=his
mother ^nn++++=mother
at ^rb++++=at
Dublin ^np++++=Dublin.
. ^zz++++=EXTRAWORD
Strange ^jj++++=Strange
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
rebels ^nns++++=rebels,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
thought ^nn+++xvbn+=thought
being ^xvbg+++xvbg+=being
dashed ^vprf+++xvbn+=dashed
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall
too ^ql++++=too
good ^jj++++=good
a ^at++++=a
fate ^nn++++=fate
for ^in++++=for
the ^ati++++=the
infant ^nn++++=infant,
, ^zz++++=EXTRAWORD
extinguished ^j+++xvbn+=extinguished
the ^ati++++=the
flames ^nns++++=flames
of ^in++++=of
the ^ati++++=the
castle ^nn++++=castle
out ^rp+pl+++=out
of ^in++++=of
reverence ^nn+nom+++=reverence
for ^in++++=for
the ^ati++++=the
picture ^nn++++=picture
of ^in++++=of
his ^pp$+pp3+++=his
grandmother ^nn+nom+++=grandmother,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
Roman ^jj++++=Roman
Catholic ^jj++++=Catholic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
painted ^vpsv++agls+xvbnx+=painted
on ^in++++=on
a ^at++++=a
panel ^nn++++=panel
with ^in++++=with
a ^at++++=a
cross ^nn++++=cross
on ^in++++=on
her ^pp$+pp3+++=her
bosom ^nn++++=bosom
and ^cc++++=and
a ^at++++=a
rosary ^nn++++=rosary
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
John ^np++++=John
Edgeworth ^np+++??+=Edgeworth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
thus ^rb+cnj+++=thus
saved ^vbd+++xvbn+=saved,
, ^zz++++=EXTRAWORD
married ^j+++xvbn+=married
very ^ql+amp+++=very
young ^jj++++=young,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
with ^in++++=with
his ^pp$+pp3+++=his
wife ^nn++++=wife
to ^to++++=to
see ^vbi+vprv+++=see
London ^np++++=London
after ^in++++=after
the ^ati++++=the
Restoration ^nn+nom+++=Restoration.
. ^zz++++=EXTRAWORD
To ^to++++=To
pay ^vbi++++=pay
their ^pp$+pp3+++=their
expenses ^nns++++=expenses
they ^pp3a+pp3+++=they
mortgaged ^vprf+++xvbn+=mortgaged
an ^at++++=an
estate ^nn++++=estate
and ^cc++++=and
put ^vb+++xvbn+=put
the ^ati++++=the
money ^nn++++=money
in ^in++++=in
a ^at++++=a
stocking ^nn++++=stocking,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
kept ^vbd+++xvbnx+=kept
on ^rb+phrv+++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
bed ^nn++++=bed;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
that ^dt+dem+++=that
store ^nn++++=store
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
up ^rp++++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
actually ^rb+amp+++=actually
sold ^vbd+++xvbn+=sold
a ^at++++=a
house ^nn++++=house
in ^in++++=in
Dublin ^np++++=Dublin
to ^to++++=to
buy ^vbi++++=buy
a ^at++++=a
high ^jj++++=high-crowned
- ^zz++++=EXTRAWORD
crowned ^vprf+++xvbn+=EXTRAWORD
hat ^nn++++=hat
and ^cc++++=and
feathers ^nns+nom+++=feathers.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
reckless ^jj++++=reckless
and ^cc+phrs+++=and
improvident ^jj++++=improvident
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
sound ^jj+atrb+++=sound
principle ^nn++++=principle
within ^in++++=within
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
