[ ^zz++++=[The
the ^ati++++=EXTRAWORD
adventure ^nn++++=adventure
here ^rn+pl+++=here
narrated ^jj+++xvbn+=narrated
is ^vbz+bez+vrb++=is
one ^cd1++++=one
that ^cs+sub+++=that
happened ^vprf+++xvbn+=happened
to ^to+vcmp+++=to
Tolstoy ^vb++++=Tolstoy
himself ^ppl+pp3+++=himself
in ^in++++=in
1858 ^cd+date+++=1858.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
than ^in++++=than
twenty ^cd++++=twenty
years ^nns++++=years
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
up ^rb+phrv+++=up
hunting ^nvbg+++xvbg+=hunting,
, ^zz++++=EXTRAWORD
on ^in++++=on
humanitarian ^jj+atrb+++=humanitarian
grounds ^nns++++=grounds.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
out ^rp+pl+++=out
on ^in++++=on
a ^at++++=a
bear ^vb+vprv+++=bear-hunting
- ^zz++++=EXTRAWORD
hunting ^nvbg+++xvbg+=EXTRAWORD
expedition ^nn+nom+++=expedition.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
comrade ^nn++++=comrade
had ^vbd+hvd+aux++=had
shot ^vprf+++xvbnx+=shot
at ^rb++++=at
a ^at++++=a
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
flesh ^nn++++=flesh-wound.
- ^zz++++=EXTRAWORD
wound ^nn+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
traces ^nns++++=traces
of ^in++++=of
blood ^nn++++=blood
on ^in++++=on
the ^ati++++=the
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
bear ^vb+vprv+++=bear
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
all ^abn++++=all
collected ^jj+++xvbn+=collected
in ^in++++=in
a ^at++++=a
group ^nn++++=group
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
to ^to++++=to
decide ^vbi+vprv+++=decide
whether ^cs+who+++=whether
we ^pp1a+pp1+++=we
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
go ^vb++++=go
after ^in++++=after
the ^ati++++=the
bear ^nn++++=bear
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
wait ^nn++++=wait
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
days ^nns++++=days
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
should ^md+nec+++=should
settle ^vb++++=settle
down ^in++++=down
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
asked ^vbd+vsua+tht0+xvbn+=asked
the ^ati++++=the
peasant ^nn+nom+++=peasant
bear ^vb+vprv+++=bear-drivers
- ^zz++++=EXTRAWORD
drivers ^nns+nom+++=EXTRAWORD
whether ^cs+who+++=whether
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
get ^vbi++++=get
round ^rb++++=round
the ^ati++++=the
bear ^vb+vprv+++=bear
that ^dt+dem+++=that
day ^nn++++=day.
. ^zz++++=EXTRAWORD
' ^zz++++='No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
impossible ^jj++++=impossible,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
an ^at++++=an
old ^nn++++=old
bear ^vb+vprv+++=bear-driver.
- ^zz++++=EXTRAWORD
driver ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
let ^vb+++xvbn+=let
the ^ati++++=the
bear ^vb+vprv+++=bear
quiet ^nn++++=quiet
down ^rp++++=down.
. ^zz++++=EXTRAWORD
In ^in++++=In
five ^cd++++=five
days ^nns++++=days'
' ^zz++++=EXTRAWORD
time ^nn++++=time
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
surround ^vbi++++=surround
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
followed ^vbd+vprv++xvbn+=followed
him ^pp3o+pp3+++=him
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
only ^rb+down+splt++=only
frighten ^vb++++=frighten
him ^pp3o+pp3+++=him
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
settle ^vb++++=settle
down ^rp++++=down.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
But ^cc++++=But
a ^at++++=a
young ^nn++++=young
bear ^vb+vprv+++=bear-driver
- ^zz++++=EXTRAWORD
driver ^nn++++=EXTRAWORD
