Not ^xnot++not++=Not
very ^ql+amp+++=very
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
Highlands ^nps++++=Highlands
of ^in++++=of
the ^ati++++=the
Hudson ^np++++=Hudson,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
a ^at++++=a
considerable ^jj+atrb+++=considerable
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
stood ^vprf+++xvbn+=stood,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
a ^at++++=a
farmhouse ^nn++++=farmhouse
that ^tht+rel+subj++=that
evidently ^rb++++=evidently
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
built ^vpsv++agls+xvbnx+=built
as ^ql++++=as
much ^ap++++=much
for ^in++++=for
strength ^nn++++=strength
and ^cc++++=and
defence ^nn+nom+++=defence
as ^in++++=as
for ^in"++++=for
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dwelling ^nvbg+++xvbg+=dwelling
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
story ^nn++++=story
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
in ^in++++=in
height ^nn++++=height,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
constructed ^vpsv++agls+xvbnx+=constructed
of ^in++++=of
hewn ^vbd+++xvbn+=hewn
logs ^nns++++=logs,
, ^zz++++=EXTRAWORD
fitted ^xvbn+++xvbn+=fitted
closely ^rb++++=closely
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
impervious ^jj++++=impervious
to ^in++++=to
the ^ati++++=the
weather ^nn++++=weather
by ^in++++=by
oldfashioned ^jj+atrb++xvbn+=oldfashioned
mortar ^nn++++=mortar,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
defy ^vbi++++=defy
the ^ati++++=the
action ^nn++++=action
