From ^in++++=From
The ^ati++++=The
House ^nn++++=House
of ^in++++=of
Cobwebs ^nns++++=Cobwebs
and ^cc++++=and
Other ^ap++++=Other
Stories ^nns++++=Stories
( ^zz++++=(1906).
1906 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Chapter ^nn++++=CHAPTER
I ^pp1a+pp1+++=I
On ^in++++=On
a ^at++++=a
summer ^nn++++=summer
afternoon ^nn++++=afternoon
two ^cd++++=two
surly ^jj+atrb+++=surly
men ^nns++++=men
sat ^vbd+++xvbn+=sat
together ^nn+nom+++=together
in ^in++++=in
a ^at++++=a
London ^np++++=London
lodging ^nn++++=lodging.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++=them
occupied ^vbd+++xvbn+=occupied
an ^at++++=an
easy ^jj++++=easy-chair,
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
smoked ^j+++xvbn+=smoked
a ^at++++=a
cigarette ^nn+nom+++=cigarette,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
read ^vb+vprv++xvbn+=read
the ^ati++++=the
newspaper ^nn+nom+++=newspaper;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
was ^vbd+bedz+aux++=was
seated ^vpsv++agls+xvbnx+=seated
at ^rb++++=at
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
mass ^nn++++=mass
of ^in++++=of
papers ^nns++++=papers
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
on ^in++++=on
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
laboured ^vbd+++xvbnx+=laboured
as ^cs+sub+++=as
though ^cs+sub+++=though
correcting ^vbg+++xvbg+=correcting
exercises ^nns++++=exercises.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
much ^ap++++=much
of ^in++++=of
an ^at++++=an
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
about ^rp++++=about
thirty ^cd++++=thirty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whereas ^cs+sub+++=whereas
the ^ati++++=the
idler ^jjr++++=idler
was ^vbd+bedz+aux++=was
well ^rb++++=well
dressed ^vbd+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
companion ^nn++++=companion
had ^vb+hv+vrb++=had
a ^at++++=a
seedy ^jj+atrb+++=seedy
appearance ^nn+nom+++=appearance
and ^cc++++=and
looked ^vbd+++xvbn+=looked
altogether ^nn+nom+++=altogether
like ^in++++=like
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
neglected ^vprf+++xvbn+=neglected
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
For ^in++++=For
half ^nn++++=half
an ^at++++=an
hour ^nn++++=hour
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
not ^xnot++not++=not
spoken ^jj+++xvbn+=spoken.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
a ^at++++=a
sudden ^jj++++=sudden
the ^ati++++=the
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
chair ^nn++++=chair
jumped ^vbd+++xvbn+=jumped
up ^rp++++=up.
