No ^at++++=No
human ^nn++++=human
being ^vwbg+beg++xvbg+=being
ever ^rb++++=ever
tells ^vbz++++=tells
the ^ati++++=the
whole ^jj+atrb+++=whole
truth ^nn++++=truth
about ^in++++=about
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
born ^vpsv++agls+xvbnx+=born
liars ^nns++++=liars
in ^cs+sub+++=in
that ^cs"++++=that
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
no ^at++++=no
different ^nn++++=different.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
starting ^vbg+++xvbgx+=starting
out ^rp+pl+++=out
now ^rn+tm+++=now
to ^to++++=to
tell ^vbi++++=tell
the ^ati++++=the
bitter ^nn++++=bitter,
, ^zz++++=EXTRAWORD
agonizing ^jj+atrb+++=agonizing
truth ^nn++++=truth
about ^in++++=about
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
through ^in++++=through
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
probably ^rb++++=probably
be ^vb+be+aux++=be
lying ^vbg+++xvbgx+=lying
at ^in++++=at
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
a ^at++++=a
mile ^nn++++=mile
a ^at++++=a
minute ^nn++++=minute
and ^cc++++=and
cracking ^nvbg+++xvbg+=cracking
myself ^ppl+pp1+++=myself
up ^rp++++=up
something ^pn++++=something
awful ^jj++++=awful!
! ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
can ^md+pos+++=can
tell ^vb++++=tell
only ^ap+down+++=only
so ^pn++++=so
much ^ap++++=much
truth ^nn++++=truth;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
begins ^vbz++++=begins
to ^to++++=to
wabble ^vbi+++??+=wabble.
. ^zz++++=EXTRAWORD
The ^ati++++=The
truth ^nn++++=truth
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
