From ^in++++=FROM
The ^ati++++=THE
Oval ^jj++++=OVAL-SHAPED
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
flower ^nn++++=flower-bed
- ^zz++++=EXTRAWORD
bed ^nn++++=EXTRAWORD
there ^rn+pl+++=there
rose ^nn+++xvbn+=rose
perhaps ^rb++++=perhaps
a ^at++++=a
hundred ^cd++++=hundred
stalks ^nns+++??+=stalks
spreading ^vwbg+++xvbg+=spreading
into ^in++++=into
heart ^nn++++=heart-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+++xvbn+=EXTRAWORD
or ^cc++++=or
tongue ^nn++++=tongue-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
leaves ^nns++++=leaves
half ^rb++++=half
way ^rb"++++=way
up ^rp++++=up
and ^cc++++=and
unfurling ^nn+nom+++=unfurling
at ^in++++=at
the ^ati++++=the
tip ^nn++++=tip
red ^jj++++=red
or ^cc++++=or
blue ^nn++++=blue
or ^cc++++=or
yellow ^jj+atrb+++=yellow
petals ^nns++++=petals
marked ^vbd+++xvbn+=marked
with ^in++++=with
spots ^nns++++=spots
of ^in++++=of
colour ^nn++++=colour
raised ^vbd+++xvbn+=raised
upon ^in++++=upon
the ^ati++++=the
surface ^nn++++=surface;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
red ^jj++++=red,
, ^zz++++=EXTRAWORD
blue ^jj+atrb+++=blue
or ^cc+phrs+++=or
yellow ^jj+atrb+++=yellow
gloom ^nn++++=gloom
of ^in++++=of
the ^ati++++=the
throat ^nn++++=throat
emerged ^vbd+++xvbn+=emerged
a ^at++++=a
straight ^jj+atrb+++=straight
bar ^nn++++=bar,
, ^zz++++=EXTRAWORD
rough ^jj++++=rough
with ^in++++=with
gold ^nn++++=gold
dust ^nn++++=dust
and ^cc++++=and
slightly ^rb+down+++=slightly
clubbed ^vbd+++xvbn+=clubbed
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
The ^ati++++=The
petals ^nns++++=petals
were ^vbd+bed+vrb++=were
voluminous ^jj+pred+++=voluminous
enough ^qlp++++=enough
to ^to++++=to
be ^vbi+vbi+aux++=be
stirred ^vpsv++by+xvbnx+=stirred
by ^in++++=by
the ^ati++++=the
summer ^nn++++=summer
breeze ^nn++++=breeze,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
moved ^vbd+++xvbnx+=moved,
, ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj++++=red,
, ^zz++++=EXTRAWORD
blue ^jj+atrb+++=blue
and ^cc+phrs+++=and
yellow ^jj+atrb+++=yellow
lights ^nns++++=lights
passed ^vbd+++xvbn+=passed
one ^pn++++=one
over ^in++++=over
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
staining ^nn++++=staining
an ^at++++=an
inch ^nn++++=inch
of ^in++++=of
the ^ati++++=the
brown ^jj+atrb+++=brown
earth ^nn++++=earth
beneath ^in+pl+++=beneath
with ^in++++=with
a ^at++++=a
spot ^nn++++=spot
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
