At ^rb++++=At
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
end ^nn++++=end
of ^in++++=of
an ^at++++=an
international ^jj+atrb+++=international
river ^nn++++=river
bridge ^npl++++=bridge,
, ^zz++++=EXTRAWORD
four ^cd++++=four
armed ^jj+++xvbn+=armed
rangers ^nns+nom+++=rangers
sweltered ^vbd+++xvbn+=sweltered
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
' ^zz++++='dobe
dobe ^nn+++??+=EXTRAWORD
hut ^nn++++=hut,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
a ^at++++=a
fairly ^rb++++=fairly
faithful ^jj+atrb+++=faithful
espionage ^nn+nom+++=espionage
upon ^in++++=upon
the ^ati++++=the
lagging ^jj+atrb++xvbg+=lagging
trail ^nn++++=trail
of ^in++++=of
passengers ^nns+nom+++=passengers
from ^in++++=from
the ^ati++++=the
Mexican ^jj+atrb+++=Mexican
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Bud ^nn++++=Bud
Dawson ^np++++=Dawson,
, ^zz++++=EXTRAWORD
proprietor ^nn++++=proprietor
of ^in++++=of
the ^ati++++=the
Top ^jjb+atrb+++=Top
Notch ^nn++++=Notch
Saloon ^nn++++=Saloon,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
evening ^nn++++=evening
previous ^jj++++=previous,
, ^zz++++=EXTRAWORD
violently ^rb++++=violently
ejected ^vprf+++xvbn+=ejected
from ^in++++=from
his ^pp$+pp3+++=his
premises ^nns++++=premises
one ^cd1++++=one
Leandro ^np+++??+=Leandro
Garcia ^np++++=Garcia,
, ^zz++++=EXTRAWORD
for ^in++++=for
alleged ^jj+atrb++xvbn+=alleged
violation ^nn+nom+++=violation
of ^in++++=of
the ^ati++++=the
Top ^jjb+atrb+++=Top
Notch ^nn++++=Notch
code ^nn++++=code
of ^in++++=of
behaviour ^nn++++=behaviour.
. ^zz++++=EXTRAWORD
Garcia ^np++++=Garcia
had ^vbd+hvd+aux++=had
mentioned ^vprf+++xvbnx+=mentioned
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
hours ^nns++++=hours
as ^in++++=as
a ^at++++=a
limit ^nn++++=limit,
, ^zz++++=EXTRAWORD
by ^in++++=by
which ^whp+rel+pied++=which
time ^nn++++=time
he ^pp3a+pp3+++=he
would ^md+prd+++=would
call ^vb++++=call
and ^cc+phrs+++=and
collect ^vb++++=collect
a ^at++++=a
painful ^jj+atrb+++=painful
indemnity ^nn+nom+++=indemnity
for ^in++++=for
personal ^jj+atrb+++=personal
satisfaction ^nn+nom+++=satisfaction.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
Mexican ^jj++++=Mexican,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
a ^at++++=a
tremendous ^jj+atrb+++=tremendous
braggart ^nn+++??+=braggart,
, ^zz++++=EXTRAWORD
