Nobody ^pn++++=NOBODY
but ^cc++++=but
the ^ati++++=the
janitor ^nn++++=janitor
was ^vbd+bedz+aux++=was
stirring ^vbg+++xvbgx+=stirring
about ^in++++=about
the ^ati++++=the
offices ^nns++++=offices
of ^in++++=of
the ^ati++++=the
Remsen ^np+++??+=Remsen
Paper ^nn++++=Paper
Company ^nn++++=Company,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb+atrb+++=still
Percy ^np++++=Percy
Bixby ^np+++??+=Bixby
sat ^vbd+++xvbn+=sat
at ^in++++=at
his ^pp$+pp3+++=his
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
crouched ^j+++xvbn+=crouched
on ^in++++=on
his ^pp$+pp3+++=his
high ^jj+atrb+++=high
stool ^nn++++=stool
and ^cc++++=and
staring ^vbg+++xvbg+=staring
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
tops ^nns++++=tops
of ^in++++=of
the ^ati++++=the
tall ^jj+atrb+++=tall
buildings ^nns++++=buildings
flushed ^vbd+++xvbn+=flushed
with ^in++++=with
the ^ati++++=the
winter ^nn++++=winter
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
hundreds ^cds++++=hundreds
of ^in++++=of
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
so ^ql++++=so
many ^ap++++=many
rectangles ^nns++++=rectangles
of ^in++++=of
white ^jj++++=white
electric ^jj++++=electric
light ^jj++++=light,
, ^zz++++=EXTRAWORD
flashing ^vbg+++xvbg+=flashing
against ^in++++=against
the ^ati++++=the
broad ^jj+atrb+++=broad
waves ^nns++++=waves
of ^in++++=of
violet ^jj++++=violet
that ^dt+dem+++=that
ebbed ^jj+++xvbn+=ebbed
across ^in+pl+++=across
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
ledgers ^nns+nom+++=ledgers
were ^vbd+bed+vrb++=were
all ^abn++++=all
in ^in++++=in
their ^pp$+pp3+++=their
places ^nns++++=places,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
desk ^nn++++=desk
was ^vbd+bedz+vrb++=was
in ^in++++=in
order ^nn++++=order,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
office ^nn++++=office
coat ^nn++++=coat
on ^in++++=on
its ^pp$+it+++=its
peg ^nn++++=peg,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
Percy ^np++++=Percy's
's ^$++++=EXTRAWORD
smooth ^jj+atrb+++=smooth,
, ^zz++++=EXTRAWORD
thin ^jj+atrb+++=thin
face ^nn++++=face
wore ^vbd+++xvbn+=wore
the ^ati++++=the
look ^nn++++=look
of ^in++++=of
anxiety ^nn++++=anxiety
and ^cc++++=and
strain ^nn++++=strain
which ^whp+rel+subj++=which
usually ^rb+down+++=usually
meant ^vprf+++xvbn+=meant
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
behind ^in+pl+++=behind
in ^in++++=in
his ^pp$+pp3+++=his
work ^nn++++=work.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
persuade ^vbi++++=persuade
himself ^ppl+pp3+++=himself
to ^to++++=to
accept ^vbi+vprv+++=accept
a ^at++++=a
loan ^nn++++=loan
from ^in++++=from
the ^ati++++=the
company ^nn++++=company
without ^in++++=without
the ^ati++++=the
company ^nn++++=company's
's ^$++++=EXTRAWORD
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
already ^rb++splt++=already
accepted ^vprf++tht0+xvbnx+=accepted
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
books ^nns++++=books
were ^vbd+bed+aux++=were
fixed ^vpsv++agls+xvbnx+=fixed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
money ^nn++++=money,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
black ^jj++++=black-leather
- ^zz++++=EXTRAWORD
leather ^nn++++=EXTRAWORD
bill ^nn++++=bill-book,
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
already ^rb++++=already
inside ^jjb+pred+++=inside
his ^pp$+pp3+++=his
waistcoat ^nn++++=waistcoat
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
still ^rb+atrb+++=still
time ^nn++++=time
to ^in++++=to
change ^nn++++=change
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
to ^to++++=to
rectify ^vbi++++=rectify
the ^ati++++=the
false ^jj+atrb+++=false
figures ^nns++++=figures
in ^in++++=in
his ^pp$+pp3+++=his
ledger ^np++++=ledger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
tell ^vbi++++=tell
Stella ^np++++=Stella
Brown ^jj++++=Brown
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
could ^md+pos+++=could
n't ^xnot++not++0=n't
possibly ^rb++++=possibly
get ^vb++++=get
married ^vbd+++xvbn+=married
next ^ap++++=next
month ^nn++++=month.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
he ^pp3a+pp3+++=he
always ^rb++++=always
halted ^vbd+++xvbn+=halted
in ^in++++=in
his ^pp$+pp3+++=his
reasoning ^nvbg+++xvbg+=reasoning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Remsen ^np+++??+=Remsen
Paper ^nn++++=Paper
Company ^nn++++=Company
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
wealthy ^jj+atrb+++=wealthy
concern ^nn++++=concern,
, ^zz++++=EXTRAWORD
with ^in++++=with
easy ^jj++++=easy,
, ^zz++++=EXTRAWORD
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^vwbn+++xvbn+=EXTRAWORD
working ^jj+atrb++xvbg+=working
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
a ^at++++=a
long ^jj++++=long-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
credit ^nn++++=credit
business ^nns+nom+++=business
with ^in++++=with
safe ^jj+atrb+++=safe
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
never ^rb++++=never
thought ^nn+++xvbn+=thought
of ^in++++=of
paying ^xvbg+++xvbg+=paying
up ^rp++++=up
very ^ql+amp+++=very
close ^vb++++=close
on ^in++++=on
their ^pp$+pp3+++=their
large ^jj+atrb+++=large
indebtedness ^nns+nom+++=indebtedness.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
payments ^nns+nom+++=payments
on ^in++++=on
these ^dt+dem+++=these
large ^jj+atrb+++=large
accounts ^nns++++=accounts
Percy ^np++++=Percy
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
a ^at++++=a
hundred ^cd++++=hundred
dollars ^nns++++=dollars
here ^rn+pl+++=here
and ^cc++++=and
two ^cd++++=two
hundred ^cd++++=hundred
there ^rn+pl+++=there
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
up ^rp++++=up
the ^ati++++=the
thousand ^cd++++=thousand
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed.
. ^zz++++=EXTRAWORD
So ^ql++++=So
long ^rb++++=long
as ^ql++++=as
he ^pp3a+pp3+++=he
stayed ^vbd+++xvbnx+=stayed
by ^in++++=by
the ^ati++++=the
books ^nns++++=books
himself ^ppl+pp3+++=himself
and ^cc++++=and
attended ^vpsv++agls+xvbn+=attended
to ^in++++=to
the ^ati++++=the
mail ^nn++++=mail-orders
- ^zz++++=EXTRAWORD
orders ^nns++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
n't ^xnot++not++0=n't
possibly ^rb++++=possibly
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
move ^vb++++=move
these ^dt+dem+++=these
little ^jj+atrb+++=little
shortages ^nns+nom+++=shortages
about ^in++++=about
from ^in++++=from
account ^nn++++=account
to ^in++++=to
account ^nn++++=account
indefinitely ^rb++++=indefinitely.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
have ^vb+hv+vrb++=have
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed
to ^to+vcmp+++=to
pay ^vbi++++=pay
back ^rb+phrv+++=back
the ^ati++++=the
deficit ^nn++++=deficit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
time ^nn++++=time
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql++++=so
far ^rb+pl+++=far
along ^in++++=along
in ^in++++=in
one ^cd1++++=one
course ^nn++++=course
of ^in++++=of
action ^nn++++=action,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mind ^nn++++=mind
still ^rb++++=still
clung ^vbd+++xvbn+=clung
resolutely ^rb++++=resolutely
to ^in++++=to
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
believe ^vb+vprv+tht0++=believe
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
the ^ati++++=the
least ^rbt++++=least
of ^in++++=of
a ^at++++=a
sharper ^nn++++=sharper
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
scrupulously ^rb++++=scrupulously
honest ^jj++++=honest
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
trifling ^jj+atrb+++=trifling
matters ^nns+nom+++=matters
was ^vbd+bedz+vrb++=was
a ^at++++=a
pleasure ^nn++++=pleasure
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
young ^jj+atrb+++=young
man ^nn++++=man
that ^tht+rel+obj++=that
Socialists ^nns+nom+++=Socialists
hate ^vb++++=hate
more ^rbr++++=more
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
hate ^vb++++=hate
capitalists ^nns+nom+++=capitalists.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
loved ^vbd+++xvbnx+=loved
his ^pp$+pp3+++=his
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
his ^pp$+pp3+++=his
books ^nns++++=books,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
no ^at++++=no
handwriting ^nn++++=handwriting
in ^in++++=in
them ^pp3o+pp3+++=them
but ^cc++++=but
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
thought ^nn+++xvbn+=thought
of ^in++++=of
resenting ^xvbg+++xvbg+=resenting
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
away ^rp+pl+++=away
in ^in++++=in
those ^dt+dem+++=those
books ^nns++++=books
the ^ati++++=the
good ^jj+atrb+++=good
red ^jj+atrb+++=red
years ^nns++++=years
between ^in++++=between
twenty ^cd++++=twenty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
and ^cc++++=and
twenty ^cd++++=twenty-seven.
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
have ^vb+hv+aux++=have
hated ^vprf+++xvbnx+=hated
to ^to+vcmp+++=to
let ^vbi++++=let
any ^dti++++=any
one ^cd1++++=one
else ^rb+cnj+++=else
put ^vbd+++xvbn+=put
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
pen ^nn++++=pen-scratch
- ^zz++++=EXTRAWORD
scratch ^nn++++=EXTRAWORD
in ^in++++=in
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked
all ^abn++++=all
the ^ati++++=the
boys ^nns++++=boys
about ^in++++=about
the ^ati++++=the
office ^nn++++=office;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
worn ^j+++xvbn+=worn
smooth ^jj++++=smooth
by ^in++++=by
the ^ati++++=the
sleeves ^nns++++=sleeves
of ^in++++=of
his ^pp$+pp3+++=his
alpaca ^nn+++??+=alpaca
coat ^nn++++=coat;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
rulers ^nns++++=rulers
and ^cc++++=and
inks ^nns++++=inks
and ^cc++++=and
pens ^nns++++=pens
and ^cc++++=and
calendars ^nns++++=calendars.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
pride ^nn++++=pride
in ^in++++=in
working ^xvbg+++xvbg+=working
economics ^nn++++=economics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
always ^rb++++=always
got ^vbd+++xvbn+=got
so ^ql++++=so
far ^rb+pl+++=far
ahead ^rb+pl+++=ahead
when ^wrb+who+++=when
supplies ^nns++++=supplies
were ^vbd+bed+aux++=were
distributed ^vpsv++agls+xvbnx+=distributed
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
drawers ^nns+nom+++=drawers
full ^jj++++=full
of ^in++++=of
pencils ^nns++++=pencils
and ^cc++++=and
pens ^nns++++=pens
and ^cc++++=and
rubber ^nn++++=rubber
bands ^nns++++=bands
against ^in++++=against
a ^at++++=a
rainy ^jj+atrb+++=rainy
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Percy ^np++++=Percy
