1564 ^cd++++=1564.
. ^zz++++=EXTRAWORD
Prince ^npt++++=Prince
Andrej ^np+++??+=Andrej
Kourbsky ^np+++??+=Kourbsky
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
chief ^jjb+atrb+++=chief
boyards ^nns+++??+=boyards
or ^cc++++=or
nobles ^nns++++=nobles
at ^in++++=at
the ^ati++++=the
Court ^nn++++=Court
of ^in++++=of
Ivan ^np++++=Ivan,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
Grand ^jj+atrb+++=Grand
Prince ^npt++++=Prince
of ^in++++=of
Muscovy ^np+++??+=Muscovy
who ^whp+rel+subj++=who
assumed ^vbd+vprv++xvbn+=assumed
the ^ati++++=the
Eastern ^jj+atrb+++=Eastern
title ^nn++++=title
of ^in++++=of
Tzar ^np+++??+=Tzar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
relieved ^xvbn+++xvbn+=relieved
Russia ^np++++=Russia
from ^in++++=from
the ^ati++++=the
terrible ^jj+atrb+++=terrible
invasions ^nns++++=invasions
of ^in++++=of
the ^ati++++=the
Tatars ^np+++??+=Tatars.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
wild ^jj+atrb+++=wild
race ^nn++++=race
for ^in++++=for
nearly ^rb+down+++=nearly
four ^cd++++=four
hundred ^cd++++=hundred
years ^nns++++=years
had ^vbd+hvd+aux++=had
roamed ^vprf+++xvbn+=roamed
over ^in++++=over
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
destroying ^vbg+++xvbg+=destroying
and ^cc+phrs+++=and
plundering ^vbg+++xvbg+=plundering
all ^abn++++=all
they ^pp3a+pp3+++=they
met ^vbd+++xvbnx+=met
with ^in+ppvb+++=with,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blighting ^jj+++xvbg+=blighting
all ^abn++++=all
the ^ati++++=the
attempts ^nns++++=attempts
at ^rb++++=at
civilization ^nn+nom+++=civilization
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
in ^in++++=in
the ^ati++++=the
eleventh ^od++++=eleventh
century ^nn++++=century.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
when ^wrb+who+++=when
the ^ati++++=the
Russians ^nn++++=Russians
learnt ^vbd+vprv++xvbn+=learnt
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
firearms ^nns++++=firearms
that ^tht+rel+obj++=that
these ^dt+dem+++=these
savages ^nns+nom+++=savages
were ^vbd+bed+vrb++=were
in ^in++++=in
any ^dti++++=any
degree ^nn++++=degree
repressed ^jj++++=repressed.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
year ^nn++++=year
1551 ^cd++++=1551
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Kazan ^np+++??+=Kazan,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
River ^nn++++=River
Kazanka ^np+++??+=Kazanka,
, ^zz++++=EXTRAWORD
a ^at++++=a
tributary ^nn++++=tributary
of ^in++++=of
the ^ati++++=the
Volga ^np+++??+=Volga,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^rb++++=last
city ^nn++++=city
that ^tht+rel+subj++=that
remained ^vprf+++xvbn+=remained
in ^in++++=in
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
the ^ati++++=the
Tatars ^np+++??+=Tatars.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
rich ^jj+atrb+++=rich
and ^cc+phrs+++=and
powerful ^jj+atrb+++=powerful
place ^nn++++=place,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj++++=great
centre ^jjb++++=centre
of ^in++++=of
trade ^nn++++=trade
between ^in++++=between
Europe ^np++++=Europe
and ^cc++++=and
the ^ati++++=the
