Being ^vbg+beg++xvbg+=Being
a ^at++++=a
Fourth ^od++++=Fourth
Extract ^nn++++=Extract
from ^in++++=from
the ^ati++++=the
Legacy ^nn++++=Legacy
of ^in++++=of
the ^ati++++=the
Late ^jj+atrb+++=Late
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Purcell ^np+++??+=Purcell,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
of ^in++++=of
Drumcoolagh ^np+++??+=Drumcoolagh
" ^zz++++="All
all ^abn++++=EXTRAWORD
this ^dt+dem+++=this
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
with ^in++++=with
some ^dti++++=some
confusion ^nn++++=confusion
and ^cc++++=and
Dismay ^nn++++=Dismay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
usual ^jj+atrb+++=usual
consequence ^nn+nom+++=consequence
of ^in++++=of
dreams ^nps++++=dreams
Of ^in++++=Of
the ^ati++++=the
unpleasant ^jj+atrb+++=unpleasant
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
with ^in++++=with
none ^pn++++=none
at ^rb++++=at
hand ^nn++++=hand
To ^to++++=To
expound ^vbi++++=expound
their ^pp$+pp3+++=their
vain ^jj+atrb+++=vain
and ^cc+phrs+++=and
visionary ^jj+atrb+++=visionary
gleams ^nns++++=gleams.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
known ^vprf+++xvbnx+=known
some ^dti++++=some
odd ^jj+atrb+++=odd
ones ^cd1s++++=ones
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
really ^rb+emph+++=really
planned ^vbd+++xvbn+=planned
Prophetically ^rb+cnj+++=Prophetically,
, ^zz++++=EXTRAWORD
as ^in++++=as
that ^dt+pdem+++=that
which ^whp+rel+obj++=which
one ^cd1++++=one
deems ^vbz++++=deems
' ^zz++++='A
a ^at++++=EXTRAWORD
strange ^jj+atrb+++=strange
coincidence ^nn+nom+++=coincidence,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^to++++=to
use ^vbi++++=use
a ^at++++=a
phrase ^nn++++=phrase
By ^in++++=By
which ^whp+rel+pied++=which
such ^abl++++=such
things ^nns++++=things
are ^vb+ber+aux++=are
settled ^vpsv++agls+xvbnx+=settled
now ^rn+tm+++=now-a-days."
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Byron ^np++++=BYRON.
. ^zz++++=EXTRAWORD
Dreams ^nns++++=Dreams--What
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
what ^wdt+who+++=what
country ^nn++++=country
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
felt ^vbd+vprv++xvbn+=felt
and ^cc+phrs+++=and
acknowledged ^vbd+vpub++xvbn+=acknowledged
the ^ati++++=the
mystery ^nn+nom+++=mystery
of ^in++++=of
their ^pp$+pp3+++=their
origin ^nn++++=origin
and ^cc++++=and
end ^nn++++=end?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
not ^xnot++not++=not
a ^rb++++=a
little ^rb"++++=little
upon ^in++++=upon
the ^ati++++=the
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv+tht0+xvbg+=seeing
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
one ^cd1++++=one
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
often ^rb++splt++=often
forced ^vpsv++agls+xvbn+=forced
upon ^in++++=upon
my ^pp$+pp1+++=my
attention ^nn+nom+++=attention,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
strangely ^rb++++=strangely
enough ^dt++++=enough;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
never ^rb++splt++=never
arrived ^vprf+++xvbnx+=arrived
at ^rb++++=at
any ^dti++++=any
thing ^nn++++=thing
which ^whp+rel+obj++=which
at ^rb++++=at
all ^abn++++=all
appeared ^jj+++xvbn+=appeared
a ^at++++=a
satisfactory ^jj+atrb+++=satisfactory
conclusion ^nn++++=conclusion.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+aux++=does
appear ^vb+seem+++=appear
that ^tht+vcmp+++=that
a ^at++++=a
mental ^jj+atrb+++=mental
phenomenon ^nn++++=phenomenon
so ^rb+emph+++=so
extraordinary ^jj++++=extraordinary
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
wholly ^rb++++=wholly
without ^in++++=without
its ^pp$+it+++=its
use ^nn++++=use.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
olden ^jj+atrb+++=olden
times ^nns++++=times
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
the ^ati++++=the
organ ^nn++++=organ
of ^in++++=of
communication ^nn+nom+++=communication
between ^in++++=between
the ^ati++++=the
Deity ^nn++++=Deity
and ^cc++++=and
his ^pp$+pp3+++=his
creatures ^nns++++=creatures;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen,
, ^zz++++=EXTRAWORD
a ^at++++=a
dream ^nn++++=dream
produces ^vbz++++=produces
upon ^in++++=upon
a ^at++++=a
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
to ^in++++=to
all ^abn++++=all
appearance ^nn+nom+++=appearance
hopelessly ^rb++++=hopelessly
reprobate ^nn+nom+++=reprobate
and ^cc++++=and
depraved ^jj++++=depraved,
, ^zz++++=EXTRAWORD
an ^at++++=an
effect ^nn++++=effect
so ^rb+emph+++=so
powerful ^jj++++=powerful
and ^cc++++=and
so ^ql+emph+++=so
lasting ^jj+++xvbg+=lasting
as ^in++++=as
to ^in"++++=to
break ^vb++++=break
down ^rp++++=down
the ^ati++++=the
