Peg ^nn++++=Peg
O ^zz++++=O'Neill
'neill ^nn+++??+=EXTRAWORD
Pays ^vbz++++=Pays
the ^ati++++=the
Captain ^np++++=Captain's
's ^$++++=EXTRAWORD
Debts ^nns++++=Debts
A ^at++++=A
very ^ql+amp+++=very
odd ^jj+atrb+++=odd
thing ^nn++++=thing
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
my ^pp$+pp1+++=my
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Watson ^np++++=Watson,
, ^zz++++=EXTRAWORD
of ^in++++=of
Haddlestone ^np+++??+=Haddlestone;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
enable ^vbi++++=enable
you ^pp2+pp2+++=you
to ^to++++=to
understand ^vbi+vprv+++=understand
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
begin ^vb++++=begin
at ^in++++=at
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
year ^nn++++=year
1822 ^cd+date+++=1822,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
James ^np++++=James
Walshawe ^np+++??+=Walshawe,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
commonly ^rb++++=commonly
known ^vbn+vprv++xvbn+=known
as ^ql++++=as
Captain ^npt++++=Captain
Walshawe ^np+++??+=Walshawe,
, ^zz++++=EXTRAWORD
died ^j+++xvbn+=died
at ^rb++++=at
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
eighty ^cd++++=eighty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Captain ^nn++++=Captain
in ^in++++=in
his ^pp$+pp3+++=his
early ^jj+atrb+++=early
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
health ^nn++++=health
and ^cc++++=and
strength ^nn++++=strength
permitted ^vbd+++xvbn+=permitted,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
scamp ^nn+++??+=scamp
of ^in++++=of
the ^ati++++=the
active ^jj+atrb+++=active,
, ^zz++++=EXTRAWORD
intriguing ^jj+atrb+++=intriguing
sort ^nn++++=sort;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spent ^vbd+++xvbn+=spent
his ^pp$+pp3+++=his
days ^nns++++=days
and ^cc++++=and
nights ^nns++++=nights
in ^in++++=in
sowing ^nn++++=sowing
his ^pp$+pp3+++=his
wild ^jj+atrb+++=wild
oats ^nns++++=oats,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
an ^at++++=an
inexhaustible ^jj+atrb+++=inexhaustible
stock ^nn++++=stock.
. ^zz++++=EXTRAWORD
The ^ati++++=The
harvest ^nn++++=harvest
of ^in++++=of
this ^dt+dem+++=this
tillage ^nn+nom+++=tillage
was ^vbd+bedz+vrb++=was
plentifully ^jj++++=plentifully
interspersed ^jj+++xvbn+=interspersed
with ^in++++=with
thorns ^nns++++=thorns,
, ^zz++++=EXTRAWORD
nettles ^nns++++=nettles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thistles ^nns++++=thistles,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
stung ^vprf+++xvbn+=stung
the ^ati++++=the
husbandman ^jj++++=husbandman
unpleasantly ^jj++++=unpleasantly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
enrich ^vb++++=enrich
him ^pp3o+pp3+++=him.
