A ^at++++=A
Pine ^nn++++=PINE
forest ^nn++++=forest
is ^vbz+bez+vrb++=is
nature ^nn++++=nature's
's ^$++++=EXTRAWORD
expression ^nn++++=expression
of ^in++++=of
solemnity ^nn+nom+++=solemnity
and ^cc++++=and
solitude ^nn++++=solitude.
. ^zz++++=EXTRAWORD
Sunlight ^nn++++=Sunlight,
, ^zz++++=EXTRAWORD
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
cascades ^nns+++??+=cascades,
, ^zz++++=EXTRAWORD
people ^nns++++=people,
, ^zz++++=EXTRAWORD
music ^nn++++=music,
, ^zz++++=EXTRAWORD
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
dancing ^nvbg+++xvbg+=dancing
could ^md+pos+++=could
not ^xnot++not++=not
make ^vb++++=make
it ^pp3+it+++=it
gay ^jj++++=gay.
. ^zz++++=EXTRAWORD
With ^in++++=With
its ^pp$+it+++=its
unceasing ^jj+atrb+++=unceasing
reverberations ^nns+nom+++=reverberations
and ^cc++++=and
its ^pp$+it+++=its
eternal ^jj+atrb+++=eternal
shadows ^nps++++=shadows,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
as ^ql++++=as
awful ^jj++++=awful
and ^cc++++=and
as ^ql++++=as
holy ^np++++=holy
as ^ql++++=as
a ^at++++=a
cathedral ^nn+nom+++=cathedral.
. ^zz++++=EXTRAWORD
Thirty ^cd++++=Thirty
good ^jj+atrb+++=good
fellows ^nns++++=fellows
working ^vwbg+++xvbg+=working
together ^nn+nom+++=together
by ^in++++=by
day ^nn++++=day
and ^cc++++=and
drinking ^nvbg+++xvbg+=drinking
together ^nn+nom+++=together
by ^in++++=by
night ^nn++++=night
can ^md+pos+++=can
keep ^vb++++=keep
up ^rb+phrv+++=up
but ^cc++++=but
a ^at++++=a
moody ^jj+atrb+++=moody
imitation ^nn+nom+++=imitation
of ^in++++=of
jollity ^nn+nom+++=jollity.
. ^zz++++=EXTRAWORD
Spend ^vb++++=Spend
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
of ^in++++=of
your ^pp$+pp2+++=your
forty ^cd++++=forty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Luther ^np+++??+=Luther
Dallas ^np++++=Dallas
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
perennial ^jj+atrb+++=perennial
gloom ^nn++++=gloom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
soul ^nn++++=soul
- ^zz++++=-that
that ^dt+pdem+++=EXTRAWORD
which ^whp+rel+subj++=which
enjoys ^vbz++++=enjoys,
, ^zz++++=EXTRAWORD
aspires ^nns+++??+=aspires,
, ^zz++++=EXTRAWORD
competes ^nns+++??+=competes
- ^zz++++=-will
will ^md+prd+++=EXTRAWORD
be ^vb+be+aux++=be
drugged ^vpsv++agls+xvbnx+=drugged
as ^ql++++=as
deep ^jj++++=deep
as ^cs+sub+++=as
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
quaffed ^vprf+++xvbnx+=quaffed
the ^ati++++=the
cup ^nn++++=cup
of ^in++++=of
oblivion ^nn++++=oblivion.
. ^zz++++=EXTRAWORD
Luther ^np+++??+=Luther
Dallas ^np++++=Dallas
was ^vbd+bedz+aux++=was
counted ^vpsv++agls+xvbnx+=counted
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
experienced ^jj+atrb++xvbn+=experienced
axe ^nn++++=axe-men
- ^zz++++=EXTRAWORD
men ^nns++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
northern ^jj+atrb+++=northern
camps ^nns++++=camps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
fell ^vbd+++xvbn+=fell
a ^at++++=a
tree ^nn++++=tree
