We ^pp1a+pp1+++=We
all ^rb++++=all
have ^vb+hv+vrb++=have
our ^pp$+pp1+++=our
ambitions ^nns+nom+++=ambitions.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine
is ^vbz+bez+aux++=is
to ^to++++=to
sit ^vbi++++=sit
in ^in++++=in
a ^at++++=a
rocking ^jj+++xvbg+=rocking-chair
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
sidewalk ^nn++++=sidewalk
at ^in++++=at
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
Clark ^np++++=Clark
and ^cc++++=and
Randolph ^np++++=Randolph
Streets ^nns++++=Streets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watch ^vb++++=watch
the ^ati++++=the
crowds ^nns++++=crowds
go ^vb++++=go
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
South ^nr+pl+++=South
Clark ^np++++=Clark
Street ^nn++++=Street
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
interesting ^jj+atrb+++=interesting
and ^cc+phrs+++=and
cosmopolitan ^jj+atrb+++=cosmopolitan
thoroughfares ^nns++++=thoroughfares
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
( ^zz++++=(New
new ^jj+atrb+++=EXTRAWORD
Yorkers ^nns+nom++??+=Yorkers
please ^uh++++=please
sniff ^nn+++??+=sniff).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
from ^in++++=from
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
France ^np++++=France,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
Illinois ^np+++??+=Illinois,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
should ^md+nec+++=should
chance ^nn++++=chance
to ^to+ncmp+++=to
be ^vbi++vrb++=be
in ^cs+sub+++=in
that ^cs"++++=that
neighborhood ^nn+nom+++=neighborhood,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
stop ^vb++++=stop
at ^rb++++=at
Tony ^np++++=Tony's
's ^$++++=EXTRAWORD
news ^nn++++=news
stand ^vb++++=stand
to ^to+vcmp+++=to
buy ^vbi++++=buy
your ^pp$+pp2+++=your
home ^nr++++=home-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
mistake ^vb++++=mistake
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
this ^dt+dem+++=this
story ^nn++++=story.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
shivering ^jj+++xvbg+=shivering-newsboy-waif
- ^zz++++=EXTRAWORD
newsboy ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
waif ^nn+++??+=EXTRAWORD
about ^in++++=about
Tony ^np++++=Tony.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
a ^at++++=a
fog ^nn++++=fog-horn,
- ^zz++++=EXTRAWORD
horn ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
purple ^jj++++=purple-striped
- ^zz++++=EXTRAWORD
striped ^jj+atrb+++=EXTRAWORD
shirt ^nn++++=shirt
of ^in++++=of
a ^at++++=a
sport ^nn++++=sport,
, ^zz++++=EXTRAWORD
the ^ati++++=the
diamond ^nn++++=diamond
scarf ^nn++++=scarf-pin
- ^zz++++=EXTRAWORD
pin ^np++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
racetrack ^nn+++??+=racetrack
tout ^&fw++++=tout,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
savoir ^nn+++??+=savoir
faire ^nn+++??+=faire
of ^in++++=of
the ^ati++++=the
gutter ^nn++++=gutter-bred.
- ^zz++++=EXTRAWORD
bred ^vwbn+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'd
'd ^md+prd+vrb++0=EXTRAWORD
never ^rb++++=never
pick ^nn++++=pick
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
newsboy ^nn+++??+=newsboy
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
chapped ^jj+atrb++xvbn+=chapped
hands ^nns++++=hands
and ^cc++++=and
the ^ati++++=the
eternal ^jj++++=eternal
cold ^jj++++=cold-sore
- ^zz++++=EXTRAWORD
sore ^jj++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
upper ^nn++++=upper
left ^vbd+++xvbn+=left
corner ^npl++++=corner
of ^in++++=of
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
fascinating ^jj+atrb+++=fascinating
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
Tony ^np++++=Tony's
's ^$++++=EXTRAWORD
stand ^vb++++=stand.
. ^zz++++=EXTRAWORD
A ^at++++=A
high ^jj+atrb+++=high
wooden ^jj+atrb+++=wooden
structure ^nn++++=structure
rising ^vwbg+++xvbg+=rising
tier ^nn++++=tier
on ^in++++=on
tier ^nn++++=tier,
, ^zz++++=EXTRAWORD
containing ^vbg+++xvbg+=containing
papers ^nns++++=papers
from ^in++++=from
every ^at++++=every
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
defy ^vb++++=defy
you ^pp2+pp2+++=you
to ^in++++=to
name ^nn++++=name
a ^at++++=a
paper ^nn++++=paper
that ^tht+rel+obj++=that
Tony ^np++++=Tony
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
handle ^vb++++=handle,
, ^zz++++=EXTRAWORD
from ^in++++=from
Timbuctoo ^np+++??+=Timbuctoo
to ^in++++=to
Tarrytown ^np+++??+=Tarrytown,
, ^zz++++=EXTRAWORD
from ^in++++=from
South ^nr+pl+++=South
Bend ^nn++++=Bend
to ^in++++=to
South ^np+pl+++=South
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
A ^at++++=A
paper ^nn++++=paper
marked ^vbd+++xvbn+=marked
Christiania ^np+++??+=Christiania,
, ^zz++++=EXTRAWORD
Norway ^np++++=Norway,
, ^zz++++=EXTRAWORD
nestles ^nns+++??+=nestles
next ^in+cmpx+++=next
to ^in"++++=to
a ^at++++=a
sheet ^nn++++=sheet
from ^in++++=from
Kalamazoo ^np+++??+=Kalamazoo,
, ^zz++++=EXTRAWORD
Michigan ^np+nom+++=Michigan.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
get ^vb++++=get
the ^ati++++=the
War ^nn++++=War
Cry ^nn++++=Cry,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Le ^&fw++++=Le
Figaro ^np+++??+=Figaro.
. ^zz++++=EXTRAWORD
With ^in++++=With
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
Tony ^np++++=Tony
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
the ^ati++++=the
Berlin ^np++++=Berlin
Tageblatt ^np+++??+=Tageblatt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
the ^ati++++=the
Times ^nns++++=Times
from ^in++++=from
Neenah ^np+++??+=Neenah,
, ^zz++++=EXTRAWORD
Wisconsin ^np+++??+=Wisconsin.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
your ^pp$+pp2+++=your
choice ^nn++++=choice
between ^in++++=between
the ^ati++++=the
