At ^rb++++=At
times ^nns++++=times
Sashka ^np+++??+=Sashka
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
give ^vbi++++=give
up ^rb+phrv+++=up
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
living ^jj+++xvbg+=living:
: ^zz++++=EXTRAWORD
to ^to++++=to
cease ^vbi++++=cease
to ^to++++=to
wash ^vbi++++=wash
every ^at++++=every
morning ^nn++++=morning
in ^in++++=in
cold ^jj+atrb+++=cold
water ^nn++++=water,
, ^zz++++=EXTRAWORD
on ^in++++=on
which ^whp+rel+pied++=which
thin ^jj+atrb+++=thin
sheets ^nns++++=sheets
of ^in++++=of
ice ^nn++++=ice
floated ^vbd+++xvbn+=floated
about ^in+strn+++=about;
; ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
no ^at++++=no
more ^rbr++++=more
to ^in++++=to
the ^ati++++=the
grammar ^nn++++=grammar
school ^nn++++=school,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
to ^in++++=to
have ^vbi++pmd"++=have
to ^md+nec+++=to
listen ^vb++++=listen
to ^in++++=to
every ^at++++=every
one ^cd1++++=one
scolding ^jj+++xvbg+=scolding
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
no ^at++++=no
more ^rbr++++=more
to ^in++++=to
experience ^nn+nom+++=experience
the ^ati++++=the
pain ^nn++++=pain
in ^in++++=in
the ^ati++++=the
small ^nn++++=small
of ^in++++=of
his ^pp$+pp3+++=his
back ^jjb++++=back
and ^cc++++=and
indeed ^qlp++++=indeed
over ^rp++++=over
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
body ^nn++++=body
when ^wrb+who+++=when
his ^pp$+pp3+++=his
mother ^npt++++=mother
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
kneel ^vb++++=kneel
in ^in++++=in
the ^ati++++=the
corner ^npl++++=corner
all ^abn++++=all
the ^ati++++=the
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
thirteen ^cd++++=thirteen
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
all ^rb++++=all
the ^ati++++=the
means ^nn++++=means
by ^in++++=by
which ^whp+rel+pied++=which
people ^nns++++=people
abandon ^vb++++=abandon
life ^nn++++=life
at ^in++++=at
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
the ^ati++++=the
grammar ^nn++++=grammar
school ^nn++++=school
and ^cc++++=and
to ^to++++=to
kneel ^vbi++++=kneel
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
as ^cs+sub+++=as
if ^cs+cnd+++=if
life ^nn++++=life
would ^md+prd+++=would
never ^rb++++=never
end ^nn++++=end.
. ^zz++++=EXTRAWORD
A ^at++++=A
year ^nn++++=year
would ^md+prd+++=would
go ^vb++++=go
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
going ^vbg+++xvbgx+=going
to ^in++++=to
school ^nn++++=school,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
kneel ^vbi++++=kneel
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
since ^cs+sub+++=since
Sashka ^np+++??+=Sashka
possessed ^vbd+++xvbn+=possessed
an ^at++++=an
indomitable ^jj+atrb+++=indomitable
and ^cc+phrs+++=and
bold ^jj+atrb+++=bold
spirit ^nn++++=spirit,
