Colonel ^npt++++=Colonel
Smith ^np++++=Smith
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
first ^od++++=first
whose ^whp+who+++=whose
captivity ^nn+nom+++=captivity
was ^vbd+bedz+aux++=was
passed ^vpsv++agls+xvbnx+=passed
in ^in++++=in
the ^ati++++=the
Ohio ^np+++??+=Ohio
country ^nn++++=country,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
record ^nn++++=record
of ^in++++=of
any ^dti++++=any
earlier ^jjr+atrb+++=earlier
captivity ^nn+nom+++=captivity,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
hundreds ^cds++++=hundreds
of ^in++++=of
captives ^nns++++=captives
were ^vbd+bed+aux++=were
given ^vpsv++agls+xvbnx+=given
up ^in+cmpx+++=up
to ^in++++=to
Bouquet ^nn++++=Bouquet
by ^in++++=by
the ^ati++++=the
Indians ^nn++++=Indians.
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
treaties ^nns+++??+=treaties
and ^cc++++=and
promises ^nns++++=promises
on ^in++++=on
both ^abx++++=both
sides ^nns++++=sides,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fighting ^xvbg+++xvbg+=fighting
went ^vbd+++xvbn+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wilderness ^nns+nom+++=wilderness
was ^vbd+bedz+vrb++=was
soon ^rb+tm+++=soon
again ^rb+tm+++=again
the ^ati++++=the
prison ^nn++++=prison
of ^in++++=of
the ^ati++++=the
white ^jj+atrb+++=white
people ^nns++++=people
whom ^whp+rel+obj++=whom
the ^ati++++=the
savages ^nns+nom+++=savages
had ^vbd+hvd+aux++=had
torn ^vprf+++xvbnx+=torn
from ^in++++=from
their ^pp$+pp3+++=their
homes ^nrs++++=homes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ohio ^np+++??+=Ohio
tribes ^nns++++=tribes
harassed ^vbd+++xvbn+=harassed
the ^ati++++=the
outlying ^jj+atrb+++=outlying
settlements ^nns+nom+++=settlements
of ^in++++=of
Pennsylvania ^np+++??+=Pennsylvania
and ^cc++++=and
Virginia ^np++++=Virginia,
, ^zz++++=EXTRAWORD
whose ^whp+rel+subj++=whose
borders ^nns+nom+++=borders
widened ^vprf+++xvbn+=widened
westward ^rb++++=westward
with ^in++++=with
every ^at++++=every
year ^nn++++=year;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
above ^rb++++=above
all ^abn++++=all
incensed ^jj+++xvbn+=incensed
against ^in++++=against
the ^ati++++=the
pioneers ^nns+nom+++=pioneers
of ^in++++=of
Kentucky ^np+++??+=Kentucky.
. ^zz++++=EXTRAWORD
Ohio ^np+++??+=Ohio
was ^vbd+bedz+vrb++=was
their ^pp$+pp3+++=their
home ^nr++++=home;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
camps ^nns++++=camps
and ^cc++++=and
towns ^nns++++=towns;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
they ^pp3a+pp3+++=they
held ^vbd+vprv+tht0+xvbnx+=held
their ^pp$+pp3+++=their
councils ^nns++++=councils
and ^cc++++=and
festivals ^nns+nom+++=festivals;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
they ^pp3a+pp3+++=they
buried ^vbd+++xvbnx+=buried
their ^pp$+pp3+++=their
dead ^jj++++=dead
and ^cc+phrs+++=and
guarded ^jj+++xvbn+=guarded
their ^pp$+pp3+++=their
graves ^nns++++=graves.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Kentucky ^np+++??+=Kentucky
was ^vbd+bedz+vrb++=was
the ^ati++++=the
pleasance ^nn+nom+++=pleasance
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
nations ^nns+nom+++=nations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hunting ^jj+atrb++xvbg+=hunting
ground ^nn++++=ground
kept ^vbd+++xvbn+=kept
free ^jj++++=free
by ^in++++=by
common ^jj+atrb+++=common
consent ^nn++++=consent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^vpsv++agls+xvbn+=left
to ^in++++=to
the ^ati++++=the
herds ^nns++++=herds
of ^in++++=of
deer ^nn++++=deer,
, ^zz++++=EXTRAWORD
elk ^nn++++=elk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buffalo ^nn+++??+=buffalo,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
ranged ^vbd+++xvbn+=ranged
the ^ati++++=the
woods ^nns++++=woods
and ^cc++++=and
savannas ^nns+++??+=savannas,
, ^zz++++=EXTRAWORD
