It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
considered ^vpsv++by+xvbnx+=considered
by ^in++++=by
certain ^jj+atrb+++=certain
people ^nns++++=people
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
dramatic ^jj+atrb+++=dramatic
moment ^nn++++=moment
in ^in++++=in
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
musical ^jj+atrb+++=musical
enterprise ^nn++++=enterprise
in ^in++++=in
the ^ati++++=the
Five ^cd++++=Five
Towns ^nns++++=Towns
when ^wrb+who+++=when
Mrs ^npt++++=Mrs
Swann ^np++++=Swann
opened ^vbd+++xvbn+=opened
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door
of ^in++++=of
her ^pp3o+pp3+++=her
house ^npl++++=house
at ^rb++++=at
Bleakridge ^np+++??+=Bleakridge,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
darkness ^nns+nom+++=darkness
of ^in++++=of
a ^at++++=a
November ^nr+nom+++=November
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
forth ^np++++=forth
her ^pp3o+pp3+++=her
son ^nn++++=son
Gilbert ^np++++=Gilbert.
. ^zz++++=EXTRAWORD
Gilbert ^np++++=Gilbert's
's ^$++++=EXTRAWORD
age ^nn++++=age
was ^vbd+bedz+vrb++=was
nineteen ^cd++++=nineteen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
wearing ^vbg+++xvbgx+=wearing
evening ^nn++++=evening
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
a ^at++++=a
form ^nn++++=form
of ^in++++=of
raiment ^nn+nom+++=raiment
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
not ^xnot++not++=not
hitherto ^rb++++=hitherto
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
elegant ^jj+atrb+++=elegant
suit ^nn++++=suit
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
winter ^nn++++=winter
overcoat ^nn++++=overcoat,
, ^zz++++=EXTRAWORD
making ^jj+++xvbg+=making
him ^pp3o+pp3+++=him
bulky ^jj++++=bulky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
round ^in++++=round
what ^wdt+who+++=what
may ^md+pos+++=may
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
rim ^nn++++=rim
of ^in++++=of
the ^ati++++=the
overcoat ^nn++++=overcoat
was ^vbd+bedz+vrb++=was
a ^at++++=a
white ^jj+atrb+++=white
woollen ^jj+atrb+++=woollen
scarf ^nn++++=scarf,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sleeves ^nns++++=sleeves
of ^in++++=of
the ^ati++++=the
overcoat ^nn++++=overcoat
were ^vbd+bed+aux++=were
finished ^vpsv++agls+xvbnx+=finished
off ^in+pl+++=off
with ^in++++=with
white ^jj+atrb+++=white
woollen ^jj+atrb+++=woollen
gloves ^nns++++=gloves.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
one ^cd1++++=one
arm ^nn++++=arm
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
a ^at++++=a
vast ^jj++++=vast
inanimate ^jj++++=inanimate
form ^vb++++=form
whose ^whp+who+++=whose
extremity ^nn+nom+++=extremity
just ^rb+emph+++=just
escaped ^vbd+++xvbn+=escaped
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
form ^nn++++=form
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
violoncello ^nn+++??+=violoncello,
, ^zz++++=EXTRAWORD
fragile ^jj++++=fragile
as ^in++++=as
a ^at++++=a
pretty ^jj+atrb+++=pretty
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
ungainly ^jj++++=ungainly
