Her ^pp$+pp3+++=Her
husband ^nn++++=husband
was ^vbd+bedz+aux++=was
dying ^vbg+++xvbgx+=dying,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
alone ^rb++++=alone
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
could ^md+pos+++=could
exceed ^vb++++=exceed
the ^ati++++=the
desolation ^nn+nom+++=desolation
of ^in++++=of
her ^pp$+pp3+++=her
surroundings ^nns++++=surroundings.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
and ^cc++++=and
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
from ^in++++=from
her ^pp$+pp3+++=her
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
thirdfloor ^nn++++=thirdfloor-back
- ^zz++++=EXTRAWORD
back ^jjb++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
New ^jj+atrb+++=New
York ^np++++=York
boarding ^nn++++=boarding-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
boarders ^nns+nom+++=boarders
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
country ^nn++++=country;
; ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
servants ^nns+nom+++=servants
except ^in++++=except
the ^ati++++=the
cook ^nn++++=cook
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
dismissed ^vpsv++agls+xvbnx+=dismissed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
not ^xnot++not++=not
working ^jj+++xvbg+=working,
, ^zz++++=EXTRAWORD
slept ^j+++xvbn+=slept
profoundly ^rb++++=profoundly
on ^in++++=on
the ^ati++++=the
fifth ^nn++++=fifth
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
landlady ^nn++++=landlady
also ^rb++++=also
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
town ^nn++++=town
on ^in++++=on
a ^at++++=a
brief ^jj+atrb+++=brief
holiday ^nn++++=holiday.
. ^zz++++=EXTRAWORD
The ^ati++++=The
window ^nn++++=window
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open
to ^to++++=to
admit ^vbi+vpub+++=admit
the ^ati++++=the
thick ^jj+atrb+++=thick
unstirring ^jj+atrb++xvbg+=unstirring
air ^nn++++=air;
; ^zz++++=EXTRAWORD
no ^at++++=no
sound ^jj+atrb+++=sound
rose ^nn+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
row ^nn++++=row
of ^in++++=of
long ^rb++++=long
narrow ^jj+atrb+++=narrow
yards ^nns++++=yards,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
from ^in++++=from
the ^ati++++=the
tall ^jj+atrb+++=tall
deep ^jj+atrb+++=deep
houses ^nns++++=houses
annexed ^vbd+++xvbn+=annexed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter
deadened ^jj+++xvbn+=deadened
the ^ati++++=the
rattle ^nn++++=rattle
of ^in++++=of
the ^ati++++=the
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
At ^rb++++=At
intervals ^nns+nom+++=intervals
the ^ati++++=the
distant ^jj++++=distant
elevated ^jj+++xvbn+=elevated
lumbered ^jj+++xvbn+=lumbered
protestingly ^rb++++=protestingly
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
grunts ^nns++++=grunts
and ^cc++++=and
screams ^nns++++=screams
muffled ^jj++++=muffled
by ^in++++=by
the ^ati++++=the
hot ^nn++++=hot
suspended ^vwbn+++xvbn+=suspended
ocean ^npl++++=ocean.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
there ^ex+pex+++=there
plunged ^vbd+++xvbn+=plunged
in ^in++++=in
the ^ati++++=the
profoundest ^jjt+atrb+++=profoundest
grief ^nn++++=grief
that ^tht+rel+subj++=that
can ^md+pos+++=can
come ^vb++++=come
to ^in++++=to
