( ^zz++++=(1855)In
1855)in ^cd++++=EXTRAWORD
the ^ati++++=the
year ^nn++++=year
1799 ^cd+date+++=1799,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Amasa ^np+++??+=Amasa
Delano ^np+++??+=Delano,
, ^zz++++=EXTRAWORD
of ^in++++=of
Duxbury ^np+++??+=Duxbury,
, ^zz++++=EXTRAWORD
in ^in++++=in
Massachusetts,commanding ^np+++??+=Massachusetts,commanding
a ^at++++=a
large ^jj+atrb+++=large
sealer ^jjr+atrb+++=sealer
and ^cc+phrs+++=and
general ^jj+atrb+++=general
trader ^nn++++=trader,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
at ^in++++=at
anchor ^nn++++=anchor
with ^in++++=with
avaluable ^jj+atrb+++=avaluable
cargo ^nn++++=cargo,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
harbor ^nn++++=harbor
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Maria ^np++++=Maria--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
small ^jj++++=small,
, ^zz++++=EXTRAWORD
desert ^nn++++=desert,
, ^zz++++=EXTRAWORD
uninhabitedisland ^nn+++??+=uninhabitedisland
toward ^in++++=toward
the ^ati++++=the
southern ^jj+atrb+++=southern
extremity ^nn+nom+++=extremity
of ^in++++=of
the ^ati++++=the
long ^jj+atrb+++=long
coast ^nn++++=coast
of ^in++++=of
Chili ^nn++++=Chili.
. ^zz++++=EXTRAWORD
Therehe ^np+++??+=Therehe
had ^vbd+hvd+aux++=had
touched ^vprf+++xvbnx+=touched
for ^in++++=for
water ^nn++++=water.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
second ^od++++=second
day ^nn++++=day,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
long ^rb++++=long
after ^in++++=after
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
lying ^vbg+++xvbg+=lying
in ^in++++=in
his ^pp$+pp3+++=his
berth ^nn+++??+=berth,
, ^zz++++=EXTRAWORD
hismate ^nn+nom+++=hismate
came ^vbd+++xvbn+=came
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
informing ^vbg+++xvbg+=informing
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
a ^at++++=a
strange ^jj+atrb+++=strange
sail ^nn++++=sail
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
into ^in+ppvb+++=into
thebay ^nn+++??+=thebay.
. ^zz++++=EXTRAWORD
Ships ^nns++++=Ships
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then
not ^xnot++not++=not
so ^rb++++=so
plenty ^vb++++=plenty
in ^in++++=in
those ^dt+dem+++=those
waters ^nns++++=waters
as ^ql++++=as
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose,dressed ^vbd+++xvbnx+=rose,dressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on
deck ^nn++++=deck.
. ^zz++++=EXTRAWORD
The ^ati++++=The
morning ^nn++++=morning
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
peculiar ^jj++++=peculiar
to ^in++++=to
that ^dt+dem+++=that
coast ^nn++++=coast.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
was ^vbd+bedz+vrb++=was
mute ^jj+atrb+++=mute
andcalm ^nn+++??+=andcalm;
; ^zz++++=EXTRAWORD
everything ^pn++++=everything
gray ^np++++=gray.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
undulated ^vwbn+++xvbn+=undulated
into ^in++++=into
long ^rb++++=long
roods ^nns+++??+=roods
ofswells ^nns+++??+=ofswells,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
fixed ^jj+++xvbn+=fixed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
sleeked ^vpsv++agls+xvbnx+=sleeked
at ^rb++++=at
the ^ati++++=the
surface ^nn++++=surface
like ^in++++=like
waved ^vbd+++xvbn+=waved
leadthat ^nn+++??+=leadthat
has ^vbz+hvz+aux++=has
cooled ^vprf+++xvbnx+=cooled
and ^cc+phrs+++=and
set ^vpsv++agls+xvbn+=set
in ^in++++=in
the ^ati++++=the
smelter ^jjr+atrb+++=smelter's
's ^vbz+bez+vrb++0=EXTRAWORD
mould ^nn++++=mould.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
seemed ^vbd+seem++xvbn+=seemed
a ^at++++=a
graysurtout ^nn+++??+=graysurtout.
. ^zz++++=EXTRAWORD
Flights ^nns++++=Flights
of ^in++++=of
troubled ^jj+++xvbn+=troubled
gray ^np++++=gray
fowl ^nn+++??+=fowl,
, ^zz++++=EXTRAWORD
kith ^nns++++=kith
and ^cc++++=and
kin ^nns++++=kin
with ^in++++=with
flights ^nns++++=flights
oftroubled ^vbd+++xvbn+=oftroubled
gray ^np++++=gray
vapors ^nns++++=vapors
among ^in++++=among
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
mixed ^vpsv++agls+xvbnx+=mixed,
, ^zz++++=EXTRAWORD
skimmed ^j+++xvbn+=skimmed
low ^jj++++=low
andfitfully ^jj++++=andfitfully
over ^in++++=over
the ^ati++++=the
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
as ^ql++++=as
swallows ^nns+++??+=swallows
over ^rp++++=over
meadows ^npl++++=meadows
before ^cs+sub+++=before
storms.shadows ^vbz+++??+=storms.Shadows
present ^vb++++=present,
, ^zz++++=EXTRAWORD
foreshadowing ^nn++++=foreshadowing
deeper ^jjr+atrb+++=deeper
shadows ^nns++++=shadows
to ^to++++=to
come ^vbi++++=come.
. ^zz++++=EXTRAWORD
To ^in++++=To
Captain ^npt++++=Captain
Delano ^np++++=Delano's
's ^$++++=EXTRAWORD
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
viewed ^xvbn+++xvbn+=viewed
through ^in++++=through
the ^ati++++=the
glass,showed ^jj+++xvbn+=glass,showed
no ^at++++=no
colors ^nns++++=colors;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
to ^to++++=to
do ^vbi++++=do
so ^rb++++=so
upon ^in++++=upon
entering ^xvbg+++xvbg+=entering
a ^at++++=a
haven ^nn++++=haven,
, ^zz++++=EXTRAWORD
howeveruninhabited ^j+++xvbn+=howeveruninhabited
in ^in++++=in
its ^pp$+it+++=its
shores ^nns++++=shores,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
but ^cc++++=but
a ^at++++=a
single ^jj++++=single
other ^ap++++=other
ship ^nn++++=ship
might ^md+pos+++=might
be ^vb+be+vrb++=be
lying,was ^nns+++??+=lying,was
the ^ati++++=the
custom ^nn++++=custom
among ^in++++=among
peaceful ^jj+atrb+++=peaceful
seamen ^nns++++=seamen
of ^in++++=of
all ^abn++++=all
nations ^nns+nom+++=nations.
. ^zz++++=EXTRAWORD
Considering ^vbg+++xvbg+=Considering
thelawlessness ^nns+nom+++=thelawlessness
and ^cc++++=and
loneliness ^nns+nom+++=loneliness
of ^in++++=of
the ^ati++++=the
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
at ^rb++++=at
thatday ^nn+++??+=thatday,
, ^zz++++=EXTRAWORD
associated ^j+++xvbn+=associated
with ^in++++=with
those ^dt+dem+++=those
seas ^nns++++=seas,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Delano ^np++++=Delano's
's ^$++++=EXTRAWORD
surprise ^nn++++=surprise
might ^md+pos+++=might
havedeepened ^vbd+++xvbn+=havedeepened
into ^in++++=into
some ^dti++++=some
uneasiness ^nns+nom+++=uneasiness
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
person ^nn++++=person
of ^in++++=of
a ^at++++=a
singularlyundistrustful ^jj++++=singularlyundistrustful
good ^jj++++=good-nature,
- ^zz++++=EXTRAWORD
nature ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
liable ^jj++++=liable,
, ^zz++++=EXTRAWORD
except ^in++++=except
on ^in++++=on
extraordinary ^jj+atrb+++=extraordinary
andrepeated ^jj+atrb++xvbn+=andrepeated
incentives ^nns++++=incentives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hardly ^rb+down+++=hardly
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
to ^to++++=to
indulge ^vbi++++=indulge
in ^in++++=in
personal ^jj+atrb+++=personal
alarms ^nns++++=alarms,
, ^zz++++=EXTRAWORD
anyway ^rb+dspt+++=anyway
involving ^vbg+++xvbg+=involving
the ^ati++++=the
imputation ^nn+nom+++=imputation
of ^in++++=of
malign ^nn+++??+=malign
evil ^nn++++=evil
in ^in++++=in
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether,
, ^zz++++=EXTRAWORD
in ^in++++=in
view ^nn++++=view
ofwhat ^nn+++??+=ofwhat
humanity ^nn+nom+++=humanity
is ^vbz+bez+vrb++=is
capable ^jj+pred+++=capable,
, ^zz++++=EXTRAWORD
such ^abl++++=such
a ^at++++=a
trait ^nn++++=trait
implies ^vbz+vprv+++=implies,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
a ^at++++=a
benevolentheart ^nn+++??+=benevolentheart,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
ordinary ^jj+atrb+++=ordinary
quickness ^nns+nom+++=quickness
and ^cc++++=and
accuracy ^nn+nom+++=accuracy
of ^in++++=of
intellectualperception ^nn+nom+++=intellectualperception,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
left ^vpsv++agls+xvbnx+=left
to ^in++++=to
the ^ati++++=the
wise ^jj++++=wise
to ^to+jcmp+++=to
determine ^vbi++++=determine.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
whatever ^nn+nom+++=whatever
misgivings ^nns++++=misgivings
might ^md+pos+++=might
have ^vb+hv+aux++=have
obtruded ^vprf+++xvbnx+=obtruded
on ^in++++=on
first ^rb++++=first
seeing ^vbg+vprv++xvbg+=seeing
thestranger ^jjr++++=thestranger,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
almost ^rb+cnj+++=almost,
, ^zz++++=EXTRAWORD
in ^in++++=in
any ^dti++++=any
seaman ^nn++++=seaman's
's ^$++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
dissipated ^vpsv++agls+xvbnx+=dissipated
byobserving ^jj+++xvbg+=byobserving
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
in ^in++++=in
navigating ^xvbg+++xvbg+=navigating
into ^in++++=into
the ^ati++++=the
harbor ^nn++++=harbor,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
drawing ^vbg+++xvbgx+=drawing
toonear ^nn+++??+=toonear
the ^ati++++=the
land ^nn++++=land;
; ^zz++++=EXTRAWORD
a ^at++++=a
sunken ^jj+atrb+++=sunken
reef ^nn++++=reef
making ^vwbg+++xvbg+=making
out ^rp+pl+++=out
off ^rp+pl+++=off
her ^pp3o+pp3+++=her
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
seemed ^jj+atrb++xvbn+=seemed
toprove ^nn+++??+=toprove
her ^pp3o+pp3+++=her
a ^at++++=a
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
to ^in++++=to
the ^ati++++=the
sealer ^jjr++++=sealer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
island;consequently ^jj++++=island;consequently,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=could
be ^vb+be+vrb++=be
no ^at++++=no
wonted ^jj+++xvbn+=wonted
freebooter ^jjr++++=freebooter
on ^in++++=on
that ^dt+dem+++=that
ocean ^npl++++=ocean.
. ^zz++++=EXTRAWORD
With ^in++++=With
nosmall ^nn+++??+=nosmall
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Delano ^np+++??+=Delano
continued ^vbd+++xvbn+=continued
to ^to++++=to
