Chapter ^nn++++=Chapter
I ^pp1a+pp1+++=I
Ermengarde ^np+++??+=Ermengarde
Stubbs ^np+++??+=Stubbs
was ^vbd+bedz+vrb++=was
the ^ati++++=the
beauteous ^jj+atrb+++=beauteous
blonde ^jj+atrb+++=blonde
daughter ^nn+nom+++=daughter
of ^in++++=of
Hiram ^np+++??+=Hiram
Stubbs ^np+++??+=Stubbs,
, ^zz++++=EXTRAWORD
a ^at++++=a
poor ^jj+atrb+++=poor
but ^cc+phrs+++=but
honest ^jj+atrb+++=honest
farmer ^nn++++=farmer-bootlegger
- ^zz++++=EXTRAWORD
bootlegger ^jjr++++=EXTRAWORD
of ^in++++=of
Hogton ^np+++??+=Hogton,
, ^zz++++=EXTRAWORD
Vt ^np+++??+=Vt.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
name ^nn++++=name
was ^vbd+bedz+vrb++=was
originally ^rb+tm+++=originally
Ethyl ^np+++??+=Ethyl
Ermengarde ^np+++??+=Ermengarde,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp3o+pp3+++=her
father ^npt++++=father
persuaded ^vwbn+vsua++xvbn+=persuaded
her ^pp$+pp3+++=her
to ^to++++=to
drop ^vbi++++=drop
the ^ati++++=the
praenomen ^nn++++=praenomen
after ^in++++=after
the ^ati++++=the
passage ^nn+nom+++=passage
of ^in++++=of
the ^ati++++=the
18 ^cd++++=18
th ^zz++++=th
Amendment ^nn+nom+++=Amendment,
, ^zz++++=EXTRAWORD
averring ^vbg+++xvbg+=averring
that ^dt+dem+++=that
it ^pp3+it+++=it
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
thirsty ^jj++++=thirsty
by ^in++++=by
reminding ^xvbg+++xvbg+=reminding
him ^pp3o+pp3+++=him
of ^in++++=of
ethyl ^nn+++??+=ethyl
alcohol ^nn++++=alcohol,
, ^zz++++=EXTRAWORD
C ^zz++++=C
2 ^zz++++=2
H ^zz++++=H
5 ^zz++++=5
Oh ^uh++++=OH.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
own ^ap++++=own
products ^nns++++=products
contained ^vbd+++xvbn+=contained
mostly ^rb++++=mostly
methyl ^jj+++??+=methyl
or ^cc++++=or
