On ^in++++=On
a ^at++++=a
certain ^jj+atrb+++=certain
day ^nn++++=day
I ^pp1a+pp1+++=I
received ^vbd+++xvbnx+=received
a ^at++++=a
letter ^nn++++=letter
from ^in++++=from
a ^at++++=a
private ^jj+atrb+++=private
soldier ^nn++++=soldier,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Gratmar ^np+++??+=Gratmar,
, ^zz++++=EXTRAWORD
attached ^j+++xvbn+=attached
to ^in++++=to
the ^ati++++=the
garrison ^nn++++=garrison
of ^in++++=of
San ^np++++=San
Francisco ^np++++=Francisco.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
him ^pp3o+pp3+++=him
but ^cc++++=but
slightly ^rb+cnj+++=slightly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
acquaintance ^nn+nom+++=acquaintance
having ^xvbg+++xvbg+=having
come ^vprf+++xvbn+=come
about ^in++++=about
through ^in++++=through
his ^pp$+pp3+++=his
interest ^nn++++=interest
in ^in++++=in
some ^dti++++=some
stories ^nns++++=stories
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
published ^vprf+++xvbnx+=published,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
way ^nn++++=way
of ^in++++=of
calling ^xvbg+++xvbg+=calling
" ^zz++++="psychological
psychological ^jj+atrb+++=EXTRAWORD
studies ^nns++++=studies."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
dreamy ^jj++++=dreamy,
, ^zz++++=EXTRAWORD
romantic ^jj++++=romantic,
, ^zz++++=EXTRAWORD
fine ^jj++++=fine-grained
- ^zz++++=EXTRAWORD
grained ^jj+atrb+++=EXTRAWORD
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
proud ^jj++++=proud
as ^in++++=as
a ^at++++=a
tiger ^nn++++=tiger-lily
- ^zz++++=EXTRAWORD
lily ^np++++=EXTRAWORD
and ^cc++++=and
sensitive ^jj++++=sensitive
as ^in++++=as
a ^at++++=a
blue ^jj++++=blue-bell.
- ^zz++++=EXTRAWORD
bell ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
mad ^jj++++=mad
caprice ^jj+++??+=caprice
led ^jj+++xvbn+=led
him ^pp3o+pp3+++=him
to ^to++++=to
join ^vbi++++=join
the ^ati++++=the
army ^nn++++=army
I ^pp1a+pp1+++=I
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
there ^ex+pex+++=there
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
wretchedly ^rb++++=wretchedly
out ^rp+pl+++=out
of ^in++++=of
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
foresaw ^vbd+++xvbnx+=foresaw
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
rude ^jj+atrb+++=rude
and ^cc+phrs+++=and
repellant ^jj+atrb+++=repellant
environment ^nn+nom+++=environment
would ^md+prd+++=would
make ^vb++++=make
of ^in++++=of
him ^pp3o+pp3+++=him
in ^in++++=in
time ^nn++++=time
a ^at++++=a
deserter ^nn+nom+++=deserter,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
suicide ^nn++++=suicide,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
murderer ^nn+nom+++=murderer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
letter ^nn++++=letter
at ^rb++++=at
first ^rb"++++=first
seemed ^vbd+seem++xvbn+=seemed
a ^at++++=a
wild ^jj++++=wild
outpouring ^jj+++xvbg+=outpouring
of ^in++++=of
despair ^nn++++=despair,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
informed ^vbd+vpub++xvbn+=informed
me ^pp1o+pp1+++=me
that ^dt+dem+++=that
before ^cs+sub+++=before
it ^pp3+it+++=it
should ^md+nec+++=should
reach ^vb++++=reach
me ^pp1o+pp1+++=me
its ^pp$+it+++=its
author ^nn++++=author
would ^md+prd+++=would
