( ^zz++++=(January
january ^nr+nom+++=EXTRAWORD
1915 ^cd+date+++=1915)
) ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
first ^od++++=first
waves ^nns++++=waves
of ^in++++=of
feverish ^jj+atrb+++=feverish
cold ^nn++++=cold
stole ^vbd+++xvbn+=stole
over ^in++++=over
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
she ^pp3a+pp3+++=she
very ^ql+amp+++=very
wisely ^rb++++=wisely
telephoned ^vbd+vpub++xvbn+=telephoned
for ^in++++=for
the ^ati++++=the
doctor ^nn++++=doctor
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
diagnosed ^vbd+++xvbnx+=diagnosed
the ^ati++++=the
attack ^vb++++=attack
as ^ql++++=as
mild ^jj+atrb+++=mild
influenza ^nn++++=influenza,
, ^zz++++=EXTRAWORD
prescribed ^j+++xvbn+=prescribed
the ^ati++++=the
appropriate ^jj+atrb+++=appropriate
remedies ^nns++++=remedies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^jj+++xvbn+=left
her ^pp3o+pp3+++=her
to ^in++++=to
the ^ati++++=the
care ^nn++++=care
of ^in++++=of
her ^pp$+pp3+++=her
one ^cd1++++=one
servant ^nn+nom+++=servant
in ^in++++=in
her ^pp$+pp3+++=her
comfortable ^jj+atrb+++=comfortable
Berlin ^np++++=Berlin
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
thick ^jj+atrb+++=thick
coverlet ^nn+nom+++=coverlet,
, ^zz++++=EXTRAWORD
curled ^j+++xvbn+=curled
up ^rb+phrv+++=up
with ^in+ppvb+++=with
what ^wdt+who+++=what
patience ^nn+nom+++=patience
she ^pp3a+pp3+++=she
could ^md+pos+++=could
until ^cs+sub+++=until
the ^ati++++=the
aspirin ^nn++++=aspirin
should ^md+nec+++=should
begin ^vb++++=begin
to ^to++++=to
act ^vbi+vpub+++=act,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anna ^np++++=Anna
should ^md+nec+++=should
come ^vb++++=come
back ^jjb++++=back
from ^in++++=from
the ^ati++++=the
