[ ^zz++++=[This
this ^dt+dem+++=EXTRAWORD
tale ^nn++++=tale
is ^vbz+bez+vrb++=is
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Freeman ^np++++=Freeman
understands ^vbz++++=understands
the ^ati++++=the
children ^nns++++=children
of ^in++++=of
New ^jj+atrb+++=New
England ^np++++=England
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
she ^pp3a+pp3+++=she
knows ^vbz+vprv+tht0++=knows
their ^pp$+pp3+++=their
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
doll ^nn++++=doll
in ^in++++=in
the ^ati++++=the
story ^nn++++=story,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
boys ^nns++++=boys
will ^md+prd+++=will
not ^xnot++not++=not
mind ^vb+++??+=mind
this ^dt+dem+++=this
as ^ql++++=as
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
also ^rb++++=also
two ^cd++++=two
turkey ^nn++++=turkey-gobblers
- ^zz++++=EXTRAWORD
gobblers ^nns+nom+++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
pewter ^jjr+atrb+++=pewter
dish ^nn++++=dish
full ^jj++++=full
of ^in++++=of
Revolutionary ^jj+atrb+++=Revolutionary
bullets ^nns+nom+++=bullets.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
Submit ^vb+vpub+tht0++=SUBMIT
Thompson ^np++++=THOMPSON
sat ^vbd+++xvbn+=sat
on ^in++++=on
the ^ati++++=the
stone ^nn++++=stone
wall ^nn++++=wall;
; ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
Adams ^np++++=Adams,
, ^zz++++=EXTRAWORD
an ^at++++=an
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
prim ^jj+atrb+++=prim
little ^jj+atrb+++=little
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
ankle ^nn++++=ankle-deep
- ^zz++++=EXTRAWORD
deep ^jj++++=EXTRAWORD
in ^in++++=in
dry ^jj+atrb+++=dry
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
beside ^in+pl+++=beside
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
Thankful ^jj++++=Thankful.
. ^zz++++=EXTRAWORD
Thankful ^jj++++=Thankful
was ^vbd+bedz+vrb++=was
about ^in++++=about
ten ^cd++++=ten
inches ^nns++++=inches
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
of ^in++++=of
the ^ati++++=the
finest ^jjt+atrb+++=finest
linen ^nn++++=linen,
, ^zz++++=EXTRAWORD
with ^in++++=with
little ^jj+atrb+++=little
rosy ^jj+atrb+++=rosy
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fine ^jj++++=fine
little ^ap++++=little
wig ^nn++++=wig
of ^in++++=of
flax ^nn+++??+=flax.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
a ^at++++=a
blue ^jj+atrb+++=blue
wool ^nn++++=wool
frock ^nn++++=frock
and ^cc++++=and
a ^at++++=a
red ^jj+atrb+++=red
cloak ^nn++++=cloak.
. ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
held ^vbd+vprv+tht0+xvbn+=held
her ^pp$+pp3+++=her
close ^jj++++=close.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
even ^rb++++=even
drew ^vbd+++xvbn+=drew
a ^at++++=a
fold ^nn++++=fold
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
blue ^jj+atrb+++=blue
homespun ^nn+++??+=homespun
blanket ^nn++++=blanket
around ^rp++++=around
her ^pp3o+pp3+++=her
to ^in++++=to
shield ^nn++++=shield
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
November ^nr+nom+++=November
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low
and ^cc++++=and
gray ^np++++=gray;
; ^zz++++=EXTRAWORD
the ^ati++++=the
wind ^nn++++=wind
blew ^vbd+++xvbn+=blew
from ^in++++=from
the ^ati++++=the
northeast ^nn+++??+=northeast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
the ^ati++++=the
breath ^nn++++=breath
of ^in++++=of
snow ^nn++++=snow
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
drew ^vbd+++xvbn+=drew
her ^pp$+pp3+++=her
quilted ^jj+atrb+++=quilted
petticoats ^nns++++=petticoats
close ^jj++++=close
down ^rp++++=down
over ^rp++++=over
her ^pp3o+pp3+++=her
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
huddled ^vwbn+++xvbn+=huddled
herself ^ppl+pp3+++=herself
into ^in++++=into
a ^at++++=a
small ^jj+atrb+++=small
space ^nn++++=space,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
face ^nn++++=face
gleamed ^vbd+++xvbn+=gleamed
keen ^jj++++=keen
and ^cc+phrs+++=and
resolute ^jj++++=resolute
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
depths ^nns++++=depths
of ^in++++=of
a ^at++++=a
great ^jj+atrb+++=great
red ^jj+atrb+++=red
hood ^nn++++=hood
that ^tht+rel+++=that
belonged ^jj+++xvbn+=belonged
to ^in++++=to
her ^pp3o+pp3+++=her
mother ^npt++++=mother.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
fixed ^vpsv++agls+xvbnx+=fixed
upon ^in++++=upon
a ^at++++=a
turkey ^nn++++=turkey-gobbler
- ^zz++++=EXTRAWORD
gobbler ^jjr++++=EXTRAWORD
ruffling ^jj+++xvbg+=ruffling
and ^cc+phrs+++=and
bobbing ^jj+++xvbg+=bobbing
around ^in++++=around
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
Adams ^np++++=Adams
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
gambrel ^nn+++??+=gambrel-roofed
- ^zz++++=EXTRAWORD
roofed ^xvbn+++xvbn+=EXTRAWORD
Thompson ^np++++=Thompson
and ^cc++++=and
Adams ^np++++=Adams
houses ^nns++++=houses
were ^vbd+bed+aux++=were
built ^vpsv++agls+xvbnx+=built
as ^ql++++=as
close ^vb++++=close
together ^nn+nom+++=together
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
little ^jj+atrb+++=little
village ^nn+nom+++=village
of ^in++++=of
Bridgewater ^np+nom++??+=Bridgewater
were ^vbd+bed+vrb++=were
a ^at++++=a
city ^nn++++=city.
. ^zz++++=EXTRAWORD
Acres ^nns++++=Acres
of ^in++++=of
land ^nn++++=land
stretched ^vwbn+++xvbn+=stretched
behind ^rp+pl+++=behind
them ^pp3o+pp3+++=them
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
other ^ap++++=other
sides ^nns++++=sides,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
stood ^vbd+++xvbnx+=stood
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
close ^in+cmpx+++=close
to ^in"++++=to
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
narrow ^jj+atrb+++=narrow
space ^nn++++=space
between ^in++++=between
them ^pp3o+pp3+++=them
was ^vbd+bedz+aux++=was
divided ^vpsv++by+xvbnx+=divided
by ^in++++=by
a ^at++++=a
stone ^nn++++=stone
wall ^nn++++=wall
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
Submit ^np++++=Submit's
's ^$++++=EXTRAWORD
and ^cc++++=and
Sarah ^np++++=Sarah's
's ^$++++=EXTRAWORD
trysting ^jj+++xvbg+=trysting-place.
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
