A ^at++++=A
" ^zz++++="stiff"
stiff ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
tramp ^nn++++=tramp.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
my ^pp$+pp1+++=my
fortune ^nn++++=fortune
to ^to++++=to
travel ^vbi++++=travel
a ^ap++++=a
few ^ap"++++=few
weeks ^nns++++=weeks
with ^in++++=with
a ^at++++=a
" ^zz++++="push"
push ^vb++++=EXTRAWORD
" ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
numbered ^vbd+++xvbn+=numbered
two ^cd++++=two
thousand ^cd++++=thousand.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
as ^in++++=as
" ^zz++++="Kelly's
kelly ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
Army ^nn++++=Army."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
wild ^jj+atrb+++=wild
and ^cc+phrs+++=and
woolly ^jj+atrb+++=woolly
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear
from ^in++++=from
California ^np++++=California,
, ^zz++++=EXTRAWORD
General ^jj+atrb+++=General
Kelly ^np+++??+=Kelly
and ^cc++++=and
his ^pp$+pp3+++=his
heroes ^nns++++=heroes
had ^vbd+hvd+aux++=had
captured ^vprf+++xvbnx+=captured
trains ^nns++++=trains;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
fell ^vbd+++xvbnx+=fell
down ^rp++++=down
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
Missouri ^np+++??+=Missouri
and ^cc++++=and
went ^vbd+++xvbn+=went
up ^in+cmpx+++=up
against ^in"++++=against
the ^ati++++=the
effete ^nn+++??+=effete
East ^np+pl+++=East.
. ^zz++++=EXTRAWORD
The ^ati++++=The
East ^np+pl+++=East
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
intention ^nn+nom+++=intention
of ^in++++=of
giving ^xvbg+++xvbg+=giving
free ^jj+atrb+++=free
transportation ^nn+nom+++=transportation
to ^to++++=to
two ^cd++++=two
thousand ^cd++++=thousand
hoboes ^nns+++??+=hoboes.
. ^zz++++=EXTRAWORD
Kelly ^np++++=Kelly's
's ^$++++=EXTRAWORD
Army ^nn++++=Army
lay ^vbd+++xvbn+=lay
helplessly ^rb++++=helplessly
for ^in++++=for
some ^dti++++=some
time ^nn++++=time
at ^in++++=at
Council ^nn++++=Council
Bluffs ^np+++??+=Bluffs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
I ^pp1a+pp1+++=I
joined ^vbd+++xvbnx+=joined
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
desperate ^jj++++=desperate
by ^in++++=by
delay ^nn++++=delay,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
marched ^vbd+++xvbn+=marched
out ^rp+pl+++=out
to ^to++++=to
capture ^vbi++++=capture
a ^at++++=a
train ^nn++++=train.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
an ^at++++=an
imposing ^jj+atrb++xvbg+=imposing
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
General ^jj+atrb+++=General
Kelly ^np+++??+=Kelly
sat ^vbd+++xvbn+=sat
a ^at++++=a
magnificent ^jj++++=magnificent
black ^jj++++=black
charger ^jjr++++=charger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
waving ^xvbg+++xvbg+=waving
banners ^nns+nom+++=banners,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
martial ^jj+atrb+++=martial
music ^nn++++=music
of ^in++++=of
fife ^np++++=fife
and ^cc++++=and
drum ^nn++++=drum
corps ^nn++++=corps,
, ^zz++++=EXTRAWORD
company ^nn++++=company
by ^in++++=by
company ^nn++++=company,
, ^zz++++=EXTRAWORD
in ^in++++=in
two ^cd++++=two
divisions ^nns++++=divisions,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
two ^cd++++=two
thousand ^cd++++=thousand
stiffs ^vbz+++??+=stiffs
countermarched ^vbd+++xvbn+=countermarched
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
and ^cc++++=and
hit ^nn+++xvbn+=hit
the ^ati++++=the
wagon ^nn++++=wagon-road
- ^zz++++=EXTRAWORD
