I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
Chino ^np++++=CHINO'S
's ^$++++=EXTRAWORD
Wife ^nn++++=WIFE
On ^in++++=On
the ^ati++++=the
back ^jjb+atrb+++=back
porch ^nn++++=porch
of ^in++++=of
the ^ati++++=the
" ^zz++++="office,"
office ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
Lockwood ^np+++??+=Lockwood--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
stained ^j+++xvbn+=stained
with ^in++++=with
the ^ati++++=the
mud ^nn++++=mud
of ^in++++=of
the ^ati++++=the
mines ^nns++++=mines
and ^cc++++=and
with ^in++++=with
candle ^nn++++=candle-drippings,
- ^zz++++=EXTRAWORD
drippings ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
rail ^nn++++=rail--sat
-- ^--+clp+++=EXTRAWORD
sat ^j+++xvbn+=EXTRAWORD
smoking ^jj+++xvbg+=smoking
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
and ^cc++++=and
looking ^vbg+++xvbg+=looking
off ^in+pl+++=off
down ^rp++++=down
the ^ati++++=the
canon ^nn++++=canon.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
early ^jj+pred+++=early
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
Lockwood ^np+++??+=Lockwood,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
laughter ^nn+nom+++=laughter
and ^cc++++=and
horseplay ^nn+++??+=horseplay
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
night ^nn++++=night
shift ^nn++++=shift
as ^ql++++=as
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
down ^in++++=down
the ^ati++++=the
canon ^nn++++=canon
from ^in++++=from
the ^ati++++=the
bunk ^nn++++=bunk-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
tunnel ^nn++++=tunnel-mouth,
- ^zz++++=EXTRAWORD
mouth ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
knew ^vb+++xvbn+=knew
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
after ^in++++=after
seven ^cd++++=seven.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
go ^vbi++++=go
indoors ^rn+pl+++=indoors
and ^cc++++=and
begin ^vb++++=begin
work ^nn++++=work
on ^in++++=on
the ^ati++++=the
columns ^nns++++=columns
of ^in++++=of
figures ^nns++++=figures
of ^in++++=of
his ^pp$+pp3+++=his
pay ^vb++++=pay-roll
- ^zz++++=EXTRAWORD
roll ^nn++++=EXTRAWORD
for ^in++++=for
another ^dt++++=another
hour ^nn++++=hour
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knocked ^vbd+++xvbnx+=knocked
the ^ati++++=the
ashes ^nns++++=ashes
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
pipe ^nn++++=pipe,
, ^zz++++=EXTRAWORD
refilled ^j+++xvbn+=refilled
and ^cc+phrs+++=and
lighted ^jj+++xvbn+=lighted
it ^pp3+it+++=it--stoppering
-- ^--+clp+++=EXTRAWORD
stoppering ^jj+++xvbg+=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
match-box ^nn+++??+=match-box--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
shot ^nn+++xvbn+=shot
a ^at++++=a
wavering ^jj+atrb+++=wavering
blue ^nn++++=blue
wreath ^nn++++=wreath
out ^rp+pl+++=out
over ^in++++=over
the ^ati++++=the
porch ^nn++++=porch
railing ^nn+nom+++=railing.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
resettled ^vbd+++xvbnx+=resettled
himself ^ppl+pp3+++=himself
in ^in++++=in
his ^pp$+pp3+++=his
tilted ^jj+atrb++xvbn+=tilted
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
hooked ^j+++xvbn+=hooked
his ^pp$+pp3+++=his
thumbs ^nns++++=thumbs
into ^in++++=into
his ^pp$+pp3+++=his
belt ^nn++++=belt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fetched ^vbd+++xvbn+=fetched
a ^at++++=a
long ^jj+atrb+++=long
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
last ^rb++++=last
few ^ap++++=few
moments ^nns+nom+++=moments
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
considering ^vbg+++xvbgx+=considering,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
comfortable ^jj+atrb+++=comfortable
spirit ^nn++++=spirit
of ^in++++=of
relaxed ^jj+atrb++xvbn+=relaxed
attention ^nn+nom+++=attention
that ^tht+rel+subj++=that
comes ^vbz++++=comes
with ^in++++=with
the ^ati++++=the
after ^in++++=after-dinner
- ^zz++++=EXTRAWORD
dinner ^nn++++=EXTRAWORD
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
two ^cd++++=two
subjects ^nns++++=subjects:
: ^zz++++=EXTRAWORD
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beauty ^nn++++=beauty
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening;
; ^zz++++=EXTRAWORD
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
temperament ^nn+nom+++=temperament,
, ^zz++++=EXTRAWORD
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
appearance ^nn+nom+++=appearance
of ^in++++=of
Felice ^np+++??+=Felice
Zavalla ^np+++??+=Zavalla.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
could ^md+pos+++=could
be ^vb+be+vrb++=be
no ^at++++=no
two ^cd++++=two
opinions ^nns++++=opinions
about ^in++++=about
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
charming ^vbg+++xvbgx+=charming.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Hand ^nn++++=Hand-over-fist
- ^zz++++=EXTRAWORD
over ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
fist ^nn++++=EXTRAWORD
Gravel ^nn++++=Gravel
Mine ^nn++++=Mine,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
higher ^jjr++++=higher
Sierras ^np+++??+=Sierras,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
sufficiently ^rb++++=sufficiently
above ^jjb+pred+++=above
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
mere ^jjb+atrb+++=mere
foot ^nn++++=foot-hills
- ^zz++++=EXTRAWORD
hills ^nns++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
sphere ^nn++++=sphere
of ^in++++=of
influence ^nn+nom+++=influence
of ^in++++=of
the ^ati++++=the
greater ^jjr++++=greater
mountains ^npl++++=mountains.
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
remote ^jj+pred+++=remote,
, ^zz++++=EXTRAWORD
difficult ^jj++++=difficult
of ^in++++=of
access ^nn++++=access.
. ^zz++++=EXTRAWORD
Iowa ^np+++??+=Iowa
Hill ^np++++=Hill,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
post ^nn++++=post-office,
- ^zz++++=EXTRAWORD
office ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj++++=good
eight ^cd++++=eight
miles ^nns++++=miles
distant ^jj++++=distant,
, ^zz++++=EXTRAWORD
by ^in++++=by
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
