The ^ati++++=THE
advent ^nn++++=advent
of ^in++++=of
strangers ^nns+nom+++=strangers,
, ^zz++++=EXTRAWORD
of ^in++++=of
whatever ^nn+nom+++=whatever
sort ^nn++++=sort,
, ^zz++++=EXTRAWORD
into ^in++++=into
our ^pp$+pp1+++=our
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
grave ^jj+atrb+++=grave
dubiety ^nn++++=dubiety
and ^cc++++=and
suspicion ^nn++++=suspicion;
; ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
generally ^rb+down+++=generally
a ^at++++=a
signal ^nn++++=signal
for ^in++++=for
retreat ^nn++++=retreat
into ^in++++=into
caves ^nns++++=caves
and ^cc++++=and
fastnesses ^nns+nom++??+=fastnesses
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
into ^in++++=into
unthreaded ^jj+atrb++xvbn+=unthreaded
copses ^nns+++??+=copses
or ^cc++++=or
remote ^jj+atrb+++=remote
outlying ^jj+atrb+++=outlying
cowsheds ^nns+++??+=cowsheds,
, ^zz++++=EXTRAWORD
whence ^wrb+who+++=whence
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
to ^to++++=to
be ^vbi+vbi+aux++=be
extricated ^vpsv++by+xvbnx+=extricated
by ^in++++=by
wily ^jj+atrb+++=wily
nursemaids ^nns+++??+=nursemaids,
, ^zz++++=EXTRAWORD
rendered ^j+++xvbn+=rendered
familiar ^jj++++=familiar
by ^in++++=by
experience ^nn+nom+++=experience
with ^in++++=with
our ^pp$+pp1+++=our
secret ^nn++++=secret
runs ^vbz++++=runs
and ^cc++++=and
refuges ^nns+++??+=refuges.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
surprising ^jj+++xvbg+=surprising,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
heroes ^nns++++=heroes
of ^in++++=of
classic ^jj+atrb+++=classic
legend ^nn++++=legend,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
first ^rb++++=first
we ^pp1a+pp1+++=we
made ^vbd+++xvbn+=made
their ^pp$+pp3+++=their
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
failed ^vb+++xvbn+=failed
to ^to+vcmp+++=to
win ^vbi++++=win
our ^pp$+pp1+++=our
entire ^jjb+atrb+++=entire
sympathy ^nn++++=sympathy
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
" ^zz++++="Confidence,"
confidence ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
somebody ^pn++++=somebody,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
plant ^nn++++=plant
of ^in++++=of
slow ^jj+atrb+++=slow
growth ^nn++++=growth;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
these ^dt+dem+++=these
stately ^jj++++=stately,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
demi ^nn+++??+=demi-gods,
- ^zz++++=EXTRAWORD
gods ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
names ^nns++++=names
hard ^jj++++=hard
to ^to+jcmp+++=to
master ^vb++++=master
and ^cc++++=and
strange ^jj+atrb+++=strange
accoutrements ^nns+nom+++=accoutrements,
, ^zz++++=EXTRAWORD
had ^md"++pmd"++=had
to ^md+nec+++=to
win ^vb++++=win
a ^at++++=a
citadel ^nn++++=citadel
already ^rb++++=already
strongly ^rb+amp+++=strongly
garrisoned ^vbd+++xvbn+=garrisoned
with ^in++++=with
a ^at++++=a
more ^rbr++++=more
familiar ^jj+atrb+++=familiar
soldiery ^nn+nom+++=soldiery.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
