When ^wrb+who+++=WHEN
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
saw ^vbd+vprv+tht0+xvbn+=saw
him ^pp3o+pp3+++=him
standing ^vbg+++xvbg+=standing
there ^ex+pex+++=there
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
more ^rbr++splt++=more
pleased ^vpsv++agls+xvbnx+=pleased
than ^in++++=than
ever ^rb++++=ever
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
followed ^vbd+vprv+tht0+xvbnx+=followed
her ^pp$+pp3+++=her
into ^in++++=into
the ^ati++++=the
studio ^nn++++=studio,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
very ^ql+amp+++=very
very ^ql+amp+++=very
happy ^jj++++=happy
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
busy ^jj++++=busy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
going ^md"++pmd"++=going
to ^md+prd+++=to
have ^vbi++vrb++=have
tea ^nn++++=tea."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
not ^xnot++not++=not
expecting ^vbg+vprv++xvbg+=expecting
anybody ^pn++++=anybody?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nobody
nobody ^pn++++=EXTRAWORD
at ^rb++++=at
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj++++=good."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laid ^vbd+++xvbnx+=laid
aside ^rp++++=aside
his ^pp$+pp3+++=his
coat ^nn++++=coat
and ^cc++++=and
hat ^nn++++=hat
gently ^rb+cnj+++=gently,
, ^zz++++=EXTRAWORD
lingeringly ^jj++++=lingeringly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
time ^nn++++=time
and ^cc++++=and
to ^to++++=to
spare ^vbi++++=spare
for ^in++++=for
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
taking ^vbg+++xvbgx+=taking
leave ^vb++++=leave
of ^in++++=of
them ^pp3o+pp3+++=them
for ^rb++++=for
ever ^rb"++++=ever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vpsv++agls+xvbn+=came
