Love ^nn++++=LOVE
Letter ^nn++++=LETTER
February ^nr+nom+++=February
22 ^cd++++=22,
, ^zz++++=EXTRAWORD
202_ ^cd++++=202_.
. ^zz++++=EXTRAWORD
Dear ^jj+atrb+++=Dear
Robbie ^np++++=Robbie,
, ^zz++++=EXTRAWORD
Got ^j+++xvbn+=Got
your ^pp$+pp2+++=your
email ^nn+++??+=email,
, ^zz++++=EXTRAWORD
kid ^nn++++=kid.
. ^zz++++=EXTRAWORD
Sorry ^uh++++=Sorry
for ^in++++=for
handwriting ^nn++++=handwriting
in ^in++++=in
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
sure ^jj+atrb+++=sure
emailing ^nn+nom+++=emailing
is ^vbz+bez+vrb++=is
the ^ati++++=the
best ^jjt+atrb+++=best
move ^nn++++=move,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
the ^ati++++=the
topic ^nn++++=topic,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^rb+emph"+++=course
( ^zz++++=(you
you ^pp2+pp2+++=EXTRAWORD
being ^vbg+beg++xvbg+=being
nearly ^rb+down+++=nearly
six ^cd++++=six
foot ^nn++++=foot
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
mother ^nn++++=mother
says ^vbz+vpub+++=says),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
up ^in+cmpx+++=up
to ^in"++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know:
: ^zz++++=EXTRAWORD
strange ^jj+atrb+++=strange
times ^nns++++=times.
. ^zz++++=EXTRAWORD
Beautiful ^jj+atrb+++=Beautiful
day ^nn++++=day
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Family ^nn++++=Family
of ^in++++=of
deer ^nn++++=deer
just ^rb+emph+++=just
now ^rn+tm+++=now
raced ^vbd+++xvbn+=raced
past ^jjb++++=past
and ^cc++++=and
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother
and ^cc++++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
deck ^nn++++=deck,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
the ^ati++++=the
bright ^jj+atrb+++=bright
blue ^nn++++=blue
mugs ^nns++++=mugs
you ^pp2+pp2+++=you
kindly ^rb++++=kindly
sent ^vwbn+++xvbn+=sent
at ^rb++++=at
Christmas ^np++++=Christmas,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
simultaneous ^jj+atrb+++=simultaneous
hip ^nn++++=hip
swivels ^nns+++??+=swivels
as ^ql++++=as
they ^pp3a+pp3+++=they
sprang ^vbd+++xvbnx+=sprang
off ^rp+pl+++=off
toward ^in++++=toward
Seascape ^np+++??+=Seascape
and ^cc++++=and,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
expect ^vb+vprv+++=expect,
, ^zz++++=EXTRAWORD
an ^at++++=an
easy ^jj+atrb+++=easy
meal ^nn++++=meal
on ^in++++=on
the ^ati++++=the
golf ^nn++++=golf
course ^rb++++=course
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Forgive ^vb++++=Forgive
my ^pp$+pp1+++=my
use ^nn++++=use
of ^in++++=of
initials ^nns+nom+++=initials
in ^in++++=in
what ^wdt+who+++=what
follows ^vbz+vprv+++=follows.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
cause ^vbi++++=cause
further ^jjb+atrb+++=further
difficulties ^nns++++=difficulties
for ^in++++=for
G ^zz++++=G.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
M ^zz++++=M.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
J ^zz++++=J.
. ^zz++++=EXTRAWORD
( ^zz++++=(good
good ^jj+atrb+++=EXTRAWORD
folks ^nns++++=folks
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
very ^ql+amp+++=very
much ^ap++++=much
enjoyed ^jj+++xvbn+=enjoyed
meeting ^jj+++xvbg+=meeting
them ^pp3o+pp3+++=them
when ^wrb+who+++=when
you ^pp2+pp2+++=you
stopped ^vpsv++by+xvbn+=stopped
by ^in++++=by
over ^in++++=over
Easter ^np++++=Easter)
) ^zz++++=EXTRAWORD
should ^md+nec+++=should
this ^dt+dem+++=this
get ^nn++++=get
sidetracked ^jj+++xvbn+=sidetracked
and ^cc+phrs+++=and
read ^jj+++xvbn+=read
by ^in++++=by
someone ^pn++++=someone
other ^ap++++=other
than ^in++++=than
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
right ^jj+pred+++=right
regarding ^in++++=regarding
G ^zz++++=G.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
ship ^nn++++=ship
has ^vbz+hvz+aux++=has
sailed ^vprf+++xvbnx+=sailed.
. ^zz++++=EXTRAWORD
Best ^jjt++++=Best
to ^to+jcmp+++=to
let ^vbi++++=let
that ^cs+sub+++=that
go ^vb++++=go.
. ^zz++++=EXTRAWORD
M ^zz++++=M.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
per ^nnu++++=per
your ^pp$+pp2+++=your
explanation ^nn+nom+++=explanation,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
lack ^vb++++=lack
proper ^jj+atrb+++=proper
paperwork ^nn+++??+=paperwork
but ^cc++++=but
did ^vbd+dod+aux++=did
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
G ^zz++++=G.
. ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
lacking ^vbg+++xvbgx+=lacking
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
did ^vbd+dod+vrb++=did
nothing ^pn++++=nothing
about ^in++++=about
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
not ^xnot++not++=not
suggesting ^jj+++xvbg+=suggesting,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
should ^md+nec+++=should
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
ourselves ^ppls+pp1+++=ourselves
into ^in++++=into
" ^zz++++="their"
their ^pp$+pp3+++=EXTRAWORD
" ^zz++++=EXTRAWORD
heads ^nns++++=heads
( ^zz++++=(the
