One ^cd1++++=One
Christmas ^np++++=Christmas
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
like ^in++++=like
another ^dt++++=another,
, ^zz++++=EXTRAWORD
in ^in++++=in
those ^dt+dem+++=those
years ^nns++++=years
around ^in++++=around
the ^ati++++=the
sea ^nn++++=sea-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
corner ^nn++++=corner
now ^rn+tm+++=now
and ^cc+phrs+++=and
out ^rp+pl+++=out
of ^in++++=of
all ^abn++++=all
sound ^jj++++=sound
except ^in++++=except
the ^ati++++=the
distant ^jj++++=distant
speaking ^jj+++xvbg+=speaking
of ^in++++=of
the ^ati++++=the
voices ^nns++++=voices
I ^pp1a+pp1+++=I
sometimes ^rb++++=sometimes
hear ^vb+vprv+++=hear
a ^at++++=a
moment ^nn++++=moment
before ^in++++=before
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
never ^rb++splt++=never
remember ^nn+nom+++=remember
whether ^cs+who+++=whether
it ^pp3+it+++=it
snowed ^vbd+++xvbn+=snowed
for ^in++++=for
six ^cd++++=six
days ^nns++++=days
and ^cc++++=and
six ^cd++++=six
nights ^nns++++=nights
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
twelve ^cd++++=twelve
or ^cc+cls+++=or
whether ^cs+who+++=whether
it ^pp3+it+++=it
snowed ^vbd+++xvbn+=snowed
for ^in++++=for
twelve ^cd++++=twelve
days ^nns++++=days
and ^cc++++=and
twelve ^cd++++=twelve
nights ^nns++++=nights
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
six ^cd++++=six.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
Christmases ^np+++??+=Christmases
roll ^nn++++=roll
down ^rp++++=down
toward ^in++++=toward
the ^ati++++=the
two ^cd++++=two-tongued
- ^zz++++=EXTRAWORD
tongued ^vbd+++xvbn+=EXTRAWORD
sea ^npl++++=sea,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
cold ^nn++++=cold
and ^cc++++=and
headlong ^jjb+atrb+++=headlong
moon ^nn++++=moon
bundling ^nn+nom+++=bundling
down ^in++++=down
the ^ati++++=the
sky ^nn++++=sky
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
street ^nn++++=street;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
stop ^vb++++=stop
at ^rb++++=at
the ^ati++++=the
rim ^nn++++=rim
of ^in++++=of
the ^ati++++=the
ice ^nn++++=ice-edged
- ^zz++++=EXTRAWORD
edged ^vbd+++xvbn+=EXTRAWORD
fish ^nns++++=fish-freezing
- ^zz++++=EXTRAWORD
freezing ^nn++++=EXTRAWORD
waves ^nns++++=waves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
plunge ^vb++++=plunge
my ^pp$+pp1+++=my
hands ^nns++++=hands
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow
and ^cc++++=and
bring ^vb++++=bring
out ^rb+phrv+++=out
whatever ^nn+nom+++=whatever
I ^pp1a+pp1+++=I
can ^md+pos+++=can
find ^vb+vprv+++=find.
. ^zz++++=EXTRAWORD
In ^in++++=In
goes ^vbz++++=goes
my ^pp$+pp1+++=my
hand ^nn++++=hand
into ^in++++=into
that ^dt+dem+++=that
wool ^nn++++=wool-white
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
bell ^nn++++=bell-tongued
- ^zz++++=EXTRAWORD
tongued ^jj+atrb++xvbn+=EXTRAWORD
ball ^nn++++=ball
of ^in++++=of
holidays ^nns++++=holidays
resting ^vwbg+++xvbg+=resting
at ^rb++++=at
the ^ati++++=the
rim ^nn++++=rim
of ^in++++=of
the ^ati++++=the
carol ^nn++++=carol-singing
- ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=EXTRAWORD
sea ^npl++++=sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
out ^rp+pl+++=out
come ^vprf+++xvbn+=come
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Prothero ^np++++=Prothero
and ^cc++++=and
the ^ati++++=the
firemen ^nns++++=firemen.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
afternoon ^nn++++=afternoon
of ^in++++=of
the ^ati++++=the
Christmas ^np++++=Christmas
Eve ^nn++++=Eve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Prothero ^np++++=Prothero's
's ^$++++=EXTRAWORD
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
cats ^nns++++=cats,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
son ^nn++++=son
Jim ^np++++=Jim.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
snowing ^vbg+++xvbgx+=snowing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
snowing ^vbg+++xvbgx+=snowing
at ^in++++=at
Christmas ^np++++=Christmas.
. ^zz++++=EXTRAWORD
December ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
white ^jj+pred+++=white
as ^ql++++=as
Lapland ^np+++??+=Lapland,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
reindeers ^nns+nom+++=reindeers.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
cats ^nns++++=cats.
. ^zz++++=EXTRAWORD
Patient ^nn++++=Patient,
, ^zz++++=EXTRAWORD
cold ^jj++++=cold
and ^cc+phrs+++=and
callous ^jj++++=callous,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
hands ^nns++++=hands
wrapped ^vbd+++xvbn+=wrapped
in ^in++++=in
socks ^nns++++=socks,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
waited ^vbd+++xvbn+=waited
to ^to+vcmp+++=to
snowball ^vb+++??+=snowball
the ^ati++++=the
cats ^nns++++=cats.
. ^zz++++=EXTRAWORD
Sleek ^jj++++=Sleek
and ^cc++++=and
long ^rb++++=long
as ^ql++++=as
jaguars ^vbz+++??+=jaguars
and ^cc++++=and
horrible ^jj++++=horrible-whiskered,
