Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
killed ^vbd+++xvbnx+=killed
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
In ^rb++++=In
vain ^rb"++++=vain
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
try ^vb++++=try
to ^to+vcmp+++=to
obtain ^vbi++++=obtain
for ^in++++=for
me ^pp1o+pp1+++=me
a ^at++++=a
medical ^jj+atrb+++=medical
certificate ^nn+nom+++=certificate
of ^in++++=of
temporary ^jj+atrb+++=temporary
aberration ^nn+nom+++=aberration.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
take ^vb++++=take
advantage ^nn+nom+++=advantage
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
killed ^vbd+++xvbnx+=killed
him ^pp3o+pp3+++=him
soberly ^rb+cnj+++=soberly,
, ^zz++++=EXTRAWORD
conscientiously ^rb+cnj+++=conscientiously,
, ^zz++++=EXTRAWORD
coldly ^rb+cnj+++=coldly,
, ^zz++++=EXTRAWORD
without ^in++++=without
the ^ati++++=the
least ^rbt++++=least
regret ^nn++++=regret,
, ^zz++++=EXTRAWORD
fear ^vb++++=fear
or ^cc++++=or
hesitation ^nn+nom+++=hesitation.
. ^zz++++=EXTRAWORD
Were ^vbd+bed+vrb++=Were
it ^pp3+it+++=it
in ^in++++=in
your ^pp$+pp2+++=your
power ^nn++++=power
to ^to+ncmp+++=to
resurrect ^vbi++++=resurrect
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
repeat ^vb++++=repeat
my ^pp$+pp1+++=my
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
followed ^vbd+vprv++xvbnx+=followed
me ^pp1o+pp1+++=me
always ^rb++++=always
and ^cc+phrs+++=and
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
a ^at++++=a
thousand ^cd++++=thousand
human ^jj+atrb+++=human
shapes ^nns++++=shapes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
shrink ^vb++++=shrink
shameless ^jj+atrb+++=shameless
creature ^nn++++=creature
to ^in++++=to
dress ^nn++++=dress
in ^in++++=in
women ^nns++++=women's
's ^$++++=EXTRAWORD
clothes ^nns++++=clothes
upon ^in++++=upon
occasion ^nn++++=occasion.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
the ^ati++++=the
guise ^nn++++=guise
of ^in++++=of
my ^pp$+pp1+++=my
relative ^nn++++=relative,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj+atrb+++=dear
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
colleague ^nn++++=colleague,
, ^zz++++=EXTRAWORD
good ^jj+atrb+++=good
acquaintance ^nn+nom+++=acquaintance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
dress ^vb++++=dress
to ^to++++=to
look ^vbi++++=look
any ^dti++++=any
age ^nn++++=age
except ^cs+sub+++=except
that ^cs"++++=that
of ^in++++=of
a ^at++++=a
child ^nn++++=child
( ^zz++++=(as
as ^in++++=EXTRAWORD
a ^at++++=a
child ^nn++++=child
he ^pp3a+pp3+++=he
only ^ap+down+++=only
failed ^jj+++xvbn+=failed
and ^cc+phrs+++=and
looked ^jj+++xvbn+=looked
ridiculous ^jj++++=ridiculous).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
filled ^vprf+++xvbnx+=filled
up ^rp++++=up
my ^pp$+pp1+++=my
life ^nn++++=life
with ^in++++=with
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poisoned ^jj++++=poisoned
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
most ^ql+emph+++=most
dreadful ^jj++++=dreadful
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
always ^rb++splt++=always
foreseen ^vprf+++xvbnx+=foreseen
in ^in++++=in
advance ^nn+nom+++=advance
all ^abn++++=all
his ^pp$+pp3+++=his
words ^nns++++=words,
, ^zz++++=EXTRAWORD
gestures ^nns++++=gestures
and ^cc++++=and
actions ^nns+nom+++=actions.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
would ^md+prd+++=would
drawl ^vb++++=drawl,
, ^zz++++=EXTRAWORD
crushing ^jj+++xvbg+=crushing
my ^pp$+pp1+++=my
hand ^nn++++=hand
in ^in++++=in
his ^pp$+pp3+++=his:
: ^zz++++=EXTRAWORD
" ^zz++++="Aha!
aha ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Whom ^whp+wpor+whq++=Whom
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see?
? ^zz++++=EXTRAWORD
Dear ^jj++++=Dear
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
be ^vb+be+aux++=be
getting ^vbg+++xvbgx+=getting
on ^in++++=on
in ^in++++=in
years ^nns++++=years
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
health ^nn++++=health?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
answer ^vb++++=answer
as ^in++++=as
for ^in"++++=for
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
asked ^vprf+++xvbn+=asked
him ^pp3o+pp3+++=him
anything ^pn++++=anything:
: ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
So ^ql++++=So
so ^cs+sub+++=so.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
to ^to++++=to
boast ^vbi+vpub+++=boast
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
read ^vbd+vprv++xvbn+=read
in ^in++++=in
to-day ^nr++++=to-day's
's ^$++++=EXTRAWORD
paper... ^nn+++??+=paper...?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
by ^in++++=by
any ^dti++++=any
chance ^nn++++=chance
noticed ^vbd+vprv++xvbn+=noticed
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
flushed ^jj+atrb++xvbn+=flushed
cheek ^nn++++=cheek,
, ^zz++++=EXTRAWORD
flushed ^xvbn+++xvbn+=flushed
by ^in++++=by
the ^ati++++=the
vexation ^nn+nom+++=vexation
of ^in++++=of
having ^nn+nn+aux++=having
met ^vbd+++xvbn+=met
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
croak ^vb+++??+=croak:
: ^zz++++=EXTRAWORD
" ^zz++++="Eh,
eh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
neighbour ^nn++++=neighbour,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
red ^jj++++=red
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
come ^vb++++=come
to ^in++++=to
me ^pp1o+pp1+++=me
just ^rb+emph+++=just
at ^in++++=at
those ^dt+dem+++=those
moments ^nns+nom+++=moments
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
neck ^nn++++=neck
in ^in++++=in
work ^nn++++=work,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
sit ^vb++++=sit
down ^rb+phrv+++=down
and ^cc++++=and
say ^vb+vpub+++=say:
: ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
interrupted ^vprf+++xvbnx+=interrupted
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
two ^cd++++=two
hours ^nns++++=hours
he ^pp3a+pp3+++=he
would ^md+prd+++=would
bore ^vbd+++xvbn+=bore
me ^pp1o+pp1+++=me
to ^in++++=to
death ^nn++++=death,
, ^zz++++=EXTRAWORD
prattling ^nn+nom+++=prattling
of ^in++++=of
himself ^ppl+pp3+++=himself
and ^cc++++=and
his ^pp$+pp3+++=his
children ^nns++++=children.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
see ^vb+vprv+tht0++=see
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
tearing ^vbg+++xvbgx+=tearing
my ^pp$+pp1+++=my
hair ^nn++++=hair
and ^cc++++=and
biting ^vbg+++xvbg+=biting
my ^pp$+pp1+++=my
lips ^nns++++=lips
till ^in++++=till
the ^ati++++=the
blood ^nn++++=blood
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
