" ^zz++++="All
all ^abn++++=EXTRAWORD
day ^nn++++=day
within ^in++++=within
the ^ati++++=the
dreamy ^jj+atrb+++=dreamy
house ^nn++++=house
The ^ati++++=The
doors ^nns++++=doors
upon ^in++++=upon
their ^pp$+pp3+++=their
hinges ^nns++++=hinges
creak ^vb++++=creak'd,
'd, ^nn+++??+=EXTRAWORD
The ^ati++++=The
blue ^nn++++=blue
fly ^vb++++=fly
sung ^vbd+++xvbn+=sung
in ^in++++=in
the ^ati++++=the
pane ^nn+++??+=pane;
; ^zz++++=EXTRAWORD
the ^ati++++=the
mouse ^nn++++=mouse
Behind ^rp+pl+++=Behind
the ^ati++++=the
mouldering ^jj+atrb+++=mouldering
wainscot ^nn+++??+=wainscot
shrieked ^vbd+++xvbn+=shrieked,
, ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
from ^in++++=from
the ^ati++++=the
crevice ^&fw++++=crevice
peer ^nn++++=peer'd
'd ^md+prd+vrb++0=EXTRAWORD
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
faces ^nns++++=faces
glimmer ^nn++++=glimmer'd
'd ^md+prd+vrb++0=EXTRAWORD
through ^in++++0=thro'
the ^ati++++=the
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
footsteps ^nns++++=footsteps
trod ^vbd+++xvbn+=trod
the ^ati++++=the
upper ^jjb+atrb+++=upper
floors ^nns++++=floors,
, ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
voices ^nns++++=voices
called ^vbd+++xvbn+=called
her ^pp$+pp3+++=her
from ^in++++=from
without." ^nn+++??+=without."--MARIANA.
-- ^--+clp+++=EXTRAWORD
mariana ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eyes ^nns++++=eyes
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
occupied ^vpsv++agls+xvbnx+=occupied
with ^in++++=with
the ^ati++++=the
grey ^jj+atrb+++=grey
chimneys ^nns++++=chimneys
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
chestnuts ^nns++++=chestnuts,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
very ^ap+amp+++=very
moment ^nn++++=moment
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
slipped ^vbd+++xvbnx+=slipped
on ^in++++=on
the ^ati++++=the
northern ^jj+atrb+++=northern
face ^nn++++=face
of ^in++++=of
Skirrid ^np+++??+=Skirrid
and ^cc++++=and
twisted ^vbd+++xvbn+=twisted
my ^pp$+pp1+++=my
ankle ^nn++++=ankle.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
indeed ^qlp++++=indeed
explains ^vbz+vpub+++=explains
the ^ati++++=the
accident ^nn++++=accident;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
accident ^nn++++=accident
explains ^vbz+vpub+++=explains
why ^wrb+who+whcl++=why
my ^pp$+pp1+++=my
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
with ^in++++=with
the ^ati++++=the
grey ^jj+atrb+++=grey
chimneys ^nns++++=chimneys
suddenly ^rb++++=suddenly
became ^vbd+++xvbn+=became
a ^at++++=a
personal ^jj+atrb+++=personal
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
miles ^nns++++=miles
separated ^vbd+++xvbn+=separated
me ^pp1o+pp1+++=me
from ^in++++=from
my ^pp$+pp1+++=my
inn ^nn++++=inn
in ^in++++=in
Aber ^np+++??+=Aber
town ^nn++++=town.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
white ^jj+atrb+++=white
smoke ^nn++++=smoke
of ^in++++=of
a ^at++++=a
goods ^nns++++=goods
train ^nn++++=train
went ^vbd+++xvbn+=went
crawling ^jj+++xvbg+=crawling
across ^in+pl+++=across
the ^ati++++=the
green ^nn++++=green
and ^cc++++=and
cultivated ^vbd+++xvbn+=cultivated
plain ^nn++++=plain
at ^rb++++=at
my ^pp$+pp1+++=my
feet ^nns++++=feet;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
carried ^vbd+++xvbnx+=carried
no ^at++++=no
map ^vb++++=map,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
somewhere ^rb++++=somewhere
under ^in++++=under
the ^ati++++=the
slope ^nn++++=slope
to ^in++++=to
my ^pp$+pp1+++=my
left ^nn+++xvbn+=left
must ^md+nec+++=must
hide ^vb++++=hide
the ^ati++++=the
country ^nn++++=country
