End ^nn++++=End
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus,
, ^zz++++=EXTRAWORD
seated ^j+++xvbn+=seated
upon ^in++++=upon
a ^at++++=a
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
gazes ^nns+++??+=gazes
for ^in++++=for
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
upon ^in++++=upon
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
athwart ^nn+++??+=athwart
which ^whp+rel+obj++=which
wing ^nn++++=wing
two ^cd++++=two
eagles ^nns++++=eagles,
, ^zz++++=EXTRAWORD
crossing ^vbg+++xvbg+=crossing
each ^dt++++=each
other ^ap++++=other
in ^in++++=in
their ^pp$+pp3+++=their
path ^nn++++=path.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
meditates ^nns+nom+++=meditates,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
falls ^vbz++++=falls
into ^in+ppvb+++=into
a ^at++++=a
doze ^nn++++=doze.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
wanes ^nns+++??+=wanes.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
time ^nn++++=time;
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
threshold ^nn++++=threshold
of ^in++++=of
eternity ^nn+nom+++=eternity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earth ^nn++++=earth
is ^vbz+bez+aux++=is
deserted ^vpsv++agls+xvbnx+=deserted;
; ^zz++++=EXTRAWORD
no ^at++++=no
other ^ap++++=other
man ^nn++++=man
breathes ^nns+++??+=breathes
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
the ^ati++++=the
last ^ap++++=last;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
die ^vb++++=die.
. ^zz++++=EXTRAWORD
Die ^vb++++=Die!
! ^zz++++=EXTRAWORD
Precious ^jj+atrb+++=Precious
thought ^nn+++xvbn+=thought!
! ^zz++++=EXTRAWORD
For ^in++++=For
centuries ^nns++++=centuries
of ^in++++=of
centuries ^nns++++=centuries
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
wearied ^vprf+++xvbn+=wearied,
, ^zz++++=EXTRAWORD
mortified ^xvbn+++xvbn+=mortified,
, ^zz++++=EXTRAWORD
wandering ^vbg+++xvbg+=wandering
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
the ^ati++++=the
centuries ^nns++++=centuries
are ^vb+ber+aux++=are
coming ^vbg+++xvbgx+=coming
to ^in++++=to
an ^at++++=an
end ^nn++++=end,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
die ^vb++++=die
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Ancient ^jj+atrb+++=Ancient
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
farewell ^nn++++=farewell!
! ^zz++++=EXTRAWORD
Azure ^np+++??+=Azure
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
clouds ^nns++++=clouds
ever ^rb++++=ever
reborn ^jj+++xvbn+=reborn,
, ^zz++++=EXTRAWORD
roses ^nns++++=roses
of ^in++++=of
a ^at++++=a
day ^nn++++=day
and ^cc++++=and
of ^in++++=of
every ^at++++=every
day ^nn++++=day,
, ^zz++++=EXTRAWORD
perennial ^jj+atrb+++=perennial
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
hostile ^jj+atrb+++=hostile
earth ^nn++++=earth
that ^tht+rel+subj++=that
never ^rb++++=never
would ^md+prd+++=would
devour ^vb++++=devour
my ^pp$+pp1+++=my
bones ^nns++++=bones,
, ^zz++++=EXTRAWORD
farewell ^nn++++=farewell!
! ^zz++++=EXTRAWORD
The ^ati++++=The
eternal ^jj++++=eternal
wanderer ^jjr++++=wanderer
will ^md+prd+++=will
wander ^vb++++=wander
no ^at++++=no
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
God ^np++++=God
may ^md+pos+++=may
pardon ^vb++++=pardon
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
He ^pp3a+pp3+++=He
wishes ^nns++++=wishes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
death ^nn++++=death
will ^md+prd+++=will
console ^vb+++??+=console
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
mountain ^npl++++=mountain
is ^vbz+bez+vrb++=is
as ^ql++++=as
unyielding ^jj++++=unyielding
as ^ql++++=as
my ^pp$+pp1+++=my
grief ^nn++++=grief;
; ^zz++++=EXTRAWORD
those ^dt+dem+++=those
eagles ^nns++++=eagles
that ^tht+rel+subj++=that
fly ^vb++++=fly
yonder ^jjb++++=yonder
must ^md+nec+++=must
be ^vb+be+vrb++=be
as ^ql++++=as
famished ^jj++++=famished
as ^ql++++=as
my ^pp$+pp1+++=my
despair ^nn++++=despair.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
divine ^jj+atrb+++=divine
eagles ^nns++++=eagles?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
a ^at++++=a
surety ^nn+++??+=surety
the ^ati++++=the
race ^nn++++=race
of ^in++++=of
man ^nn++++=man
is ^vbz+bez+aux++=is
perished ^vpsv++agls+xvbnx+=perished;
; ^zz++++=EXTRAWORD
the ^ati++++=the
earth ^nn++++=earth
is ^vbz+bez+vrb++=is
bare ^jj+pred+++=bare
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
a ^at++++=a
voice.. ^nn+++??+=voice....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
of ^in++++=of
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being?
? ^zz++++=EXTRAWORD
Implacable ^jj+atrb+++=Implacable
heavens ^nns++++=heavens,
, ^zz++++=EXTRAWORD
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
not ^xnot++not++=not
then ^rn+tm+++=then
the ^ati++++=the
last ^ap++++=last?
