At ^rb++++=At
the ^ati++++=the
seaside ^nn++++=seaside
resort ^nn++++=resort
of ^in++++=of
Bluehaven ^np+++??+=Bluehaven,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
Atlantic ^np++++=Atlantic
came ^vbd+++xvbn+=came
ashore ^rb+pl+++=ashore
with ^in++++=with
the ^ati++++=the
noise ^nn++++=noise
of ^in++++=of
a ^at++++=a
vast ^jj+atrb+++=vast
congregation ^nn+nom+++=congregation
saying ^vwbg+++xvbg+=saying
amen ^uh++++=amen,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Amos ^np++++=Amos
Stimson ^np+++??+=Stimson
owned ^vbd+++xvbn+=owned
the ^ati++++=the
Imperial ^nn++++=Imperial
Galloping ^vwbg+++xvbg+=Galloping
Pavilion ^npl++++=Pavilion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
title ^nn++++=title
was ^vbd+bedz+aux++=was
painted ^vpsv++agls+xvbnx+=painted
in ^in++++=in
gold ^nn++++=gold
above ^in+pl+++=above
a ^at++++=a
red ^jj++++=red-and-white
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
striped ^jj+atrb+++=striped
canopy ^nn++++=canopy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
under ^in++++=under
it ^pp3+it+++=it
thirty ^cd++++=thirty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
wooden ^jj+atrb+++=wooden
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
four ^cd++++=four
chariots ^nns+++??+=chariots,
, ^zz++++=EXTRAWORD
two ^cd++++=two
dragons ^nns++++=dragons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
animal ^nn++++=animal
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
life ^nn++++=life
as ^in++++=as
a ^at++++=a
tiger ^nn++++=tiger
but ^cc++++=but
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
repaired ^vpsv++agls+xvbnx+=repaired
into ^in++++=into
a ^at++++=a
species ^nn++++=species
unknown ^jj++++=unknown
to ^in++++=to
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
revolved ^j+++xvbn+=revolved
daily ^jj++++=daily
in ^in++++=in
a ^at++++=a
campaign ^nn++++=campaign
without ^in++++=without
victory ^nn++++=victory.
. ^zz++++=EXTRAWORD
From ^in++++=From
ten ^cd++++=ten
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
until ^cs+sub+++=until
midnight ^nn++++=midnight
they ^pp3a+pp3+++=they
charged ^vbd+vpub++xvbnx+=charged,
, ^zz++++=EXTRAWORD
fled ^j+++xvbn+=fled,
, ^zz++++=EXTRAWORD
pursued ^j+++xvbn+=pursued,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
glass ^nn++++=glass
eyes ^nns++++=eyes
burning ^vwbg+++xvbg+=burning
with ^in++++=with
the ^ati++++=the
fixed ^jj+atrb++xvbn+=fixed
enthusiasm ^nn++++=enthusiasm
of ^in++++=of
soldiers ^nns+nom+++=soldiers
