**a ^nn+++??+=**A
Letter ^nn++++=LETTER
Concerning ^in++++=CONCERNING
The ^ati++++=THE
Antiquities ^nns+nom++??+=ANTIQUITIES
Of ^in++++=OF
Communipaw** ^np+++??+=COMMUNIPAW**
_to ^nn+++??+=_To
the ^ati++++=the
Editor ^nn++++=Editor
of ^in++++=of
the ^ati++++=the
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
Historical ^jj+atrb+++=Historical
Register._ ^np+++??+=Register._
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
Having ^vbg+++xvbg+=Having
observed ^jj+++xvbn+=observed,
, ^zz++++=EXTRAWORD
with ^in++++=with
equal ^jj+atrb+++=equal
surprise ^nn++++=surprise
and ^cc++++=and
mortification ^nn+nom+++=mortification,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
certain ^jj+atrb+++=certain
writers ^nns+nom+++=writers
of ^in++++=of
our ^pp$+pp1+++=our
infant ^nn++++=infant
antiquities ^nns+nom+++=antiquities
have ^vb+hv+aux++=have
bestowed ^vprf+++xvbnx+=bestowed
whole ^jj+atrb+++=whole
pages ^nns++++=pages
upon ^in++++=upon
battles ^nns++++=battles
in ^in++++=in
which ^whp+rel+pied++=which
no ^at++++=no
one ^cd1++++=one
was ^vbd+bedz+aux++=was
killed ^vpsv++agls+xvbnx+=killed,
, ^zz++++=EXTRAWORD
treaties ^nns+++??+=treaties
which ^whp+rel+obj++=which
no ^at++++=no
one ^cd1++++=one
observed ^jj+++xvbn+=observed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
public ^jj+atrb+++=public
edifices ^nns+++??+=edifices
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
pulled ^vpsv++agls+xvbnx+=pulled
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
dismiss ^vb++++=dismiss
in ^in++++=in
half ^nn++++=half
a ^at++++=a
sentence ^nn+nom+++=sentence
the ^ati++++=the
venerable ^jj+atrb+++=venerable
settlement ^nn+nom+++=settlement
of ^in++++=of
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
deemed ^vprf+++xvbnx+=deemed
it ^pp3+it+++=it
a ^at++++=a
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
owing ^in++++=owing
alike ^nn++++=alike
to ^in++++=to
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
patriotism ^nn+nom+++=patriotism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
maternal ^jj+atrb+++=maternal
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
to ^to++++=to
transmit ^vbi++++=transmit
the ^ati++++=the
following ^jj+++xvbg+=following
legendary ^jj+atrb+++=legendary
and ^cc+phrs+++=and
statistical ^jj+atrb+++=statistical
particulars ^nns++++=particulars.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
write ^vb++++=write,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
as ^in++++=as
a ^at++++=a
dealer ^nn++++=dealer
in ^in++++=in
idle ^jj+atrb+++=idle
tales ^nns++++=tales,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
one ^cd1++++=one
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
examined ^vprf+++xvbnx+=examined
tombstones ^nns+++??+=tombstones,
, ^zz++++=EXTRAWORD
interrogated ^jj+atrb++xvbn+=interrogated
weathercocks ^nns+++??+=weathercocks,
, ^zz++++=EXTRAWORD
compared ^jj+atrb++xvbn+=compared
family ^nn++++=family
tea ^nn++++=tea-spoons,
- ^zz++++=EXTRAWORD
spoons ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smoked ^vpsv++agls+xvbn+=smoked
with ^in++++=with
the ^ati++++=the
oldest ^jjt+atrb+++=oldest
inhabitants ^nns+nom+++=inhabitants.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
written ^jj+atrb++xvbn+=written
testimony ^nn++++=testimony
has ^vbz+hvz+aux++=has
failed ^vprf+++xvbnx+=failed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
consulted ^vprf+++xvbnx+=consulted
tradition ^nn+nom+++=tradition;
; ^zz++++=EXTRAWORD
where ^wrb+who+++=where
tradition ^nn+nom+++=tradition
has ^vbz+hvz+aux++=has
hesitated ^vprf+++xvbnx+=hesitated,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
supplied ^vprf+++xvbnx+=supplied
the ^ati++++=the
deficiency ^nn++++=deficiency
by ^in++++=by
reasonable ^jj+atrb+++=reasonable
conjecture ^nn++++=conjecture;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
conjecture ^nn++++=conjecture
itself ^ppl++++=itself
has ^vbz+hvz+aux++=has
refused ^vprf+++xvbnx+=refused
to ^to+vcmp+++=to
proceed ^vbi++++=proceed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
accepted ^vprf+++xvbnx+=accepted
the ^ati++++=the
account ^nn++++=account
of ^in++++=of
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
Hillegonda ^np+++??+=Hillegonda,
, ^zz++++=EXTRAWORD
a ^at++++=a
vrouw ^nn+++??+=vrouw
of ^in++++=of
such ^abl++++=such
rigid ^jj+atrb+++=rigid
veracity ^nn+nom+++=veracity
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
alter ^vbi++++=alter
a ^at++++=a
story ^nn++++=story
after ^in++++=after
the ^ati++++=the
third ^nn++++=third
recital ^nn++++=recital.
. ^zz++++=EXTRAWORD
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
learned ^jj+atrb++xvbn+=learned
reader ^nn++++=reader
is ^vbz+bez+vrb++=is
doubtless ^rb++++=doubtless
aware ^jj+pred+++=aware,
, ^zz++++=EXTRAWORD
lies ^vbz++++=lies
upon ^in++++=upon
the ^ati++++=the
western ^jj+atrb+++=western
shore ^nn++++=shore
of ^in++++=of
that ^dt+dem+++=that
noble ^jj+atrb+++=noble
bay ^nn++++=bay
which ^whp+rel+obj++=which
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
of ^in++++=of
late ^jj+atrb+++=late
years ^nns++++=years
appropriated ^vwbn+++xvbn+=appropriated
to ^in++++=to
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
prosperous ^jj+atrb+++=prosperous
son ^nn++++=son
appropriates ^nns+nom+++=appropriates
the ^ati++++=the
silver ^nn++++=silver
buckles ^nns++++=buckles,
, ^zz++++=EXTRAWORD
family ^nn++++=family
Bible ^nn++++=Bible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
best ^jjt+atrb+++=best
arm ^nn++++=arm-chair
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
neglected ^xvbn+++xvbn+=neglected
mother ^npt++++=mother.
. ^zz++++=EXTRAWORD
Seen ^j+++xvbn+=Seen
from ^in++++=from
the ^ati++++=the
water ^nn++++=water
in ^in++++=in
former ^ap++++=former
days ^nns++++=days,
, ^zz++++=EXTRAWORD
the ^ati++++=the
village ^nn+nom+++=village
presented ^vwbn+++xvbn+=presented
