When ^wrb+who+++=When
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
down ^rp++++=down,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
long ^rb++++=long
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
to ^to++++=to
revisit ^vbi++++=revisit
that ^dt+dem+++=that
populous ^jj+atrb+++=populous
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
in ^in++++=in
which ^whp+rel+pied++=which
our ^pp$+pp1+++=our
childhood ^nn+nom+++=childhood
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+aux+xvbnx+=been
deposited ^vpsv++agls+xvbnx+=deposited
every ^at++++=every
morning ^nn++++=morning
at ^in++++=at
nine ^cd++++=nine
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
and ^cc++++=and
reclaimed ^jj+++xvbn+=reclaimed
frequently ^rb++++=frequently
in ^in++++=in
a ^at++++=a
damaged ^jj+atrb++xvbn+=damaged
condition ^nn+nom+++=condition
at ^in++++=at
four ^cd++++=four,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
Railway ^nn++++=Railway
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
there ^rn+pl+++=there
before ^in++++=before
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
first ^rb++++=first
little ^ap++++=little
School ^nn++++=School
there ^ex+pex+++=there
remained ^vprf+++xvbn+=remained
a ^at++++=a
brick ^nn++++=brick
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
blackened ^jj++++=blackened
at ^in++++=at
the ^ati++++=the
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
three ^cd++++=three
melancholy ^jj+atrb+++=melancholy
steps ^nns++++=steps
ascending ^vwbg+++xvbg+=ascending
to ^in++++=to
no ^ati++neg++=no
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
half ^nn++++=half
of ^in++++=of
a ^at++++=a
playground ^nn++++=playground,
