# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
A ^rb++++=A
Little ^rb"++++=Little
Child ^nn++++=Child
When ^wrb+who+++=When
Robert ^np++++=Robert
Dixon ^np++++=Dixon
came ^vbd+++xvbn+=came
home ^nr++++=home
to ^in++++=to
Danvers ^nns+nom++??+=Danvers
after ^in++++=after
seven ^cd++++=seven
years ^nns++++=years'
' ^zz++++=EXTRAWORD
absence ^nn+nom+++=absence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
town ^nn++++=town
received ^vbd+++xvbn+=received
him ^pp3o+pp3+++=him
with ^in++++=with
that ^dt+dem+++=that
mixture ^nn++++=mixture
of ^in++++=of
affection ^nn+nom+++=affection
and ^cc++++=and
suspicion ^nn++++=suspicion
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
reserved ^vpsv++agls+xvbnx+=reserved
for ^in++++=for
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
away ^rp+pl+++=away
to ^to++++=to
be ^vbi+vbi+aux++=be
improved ^vpsv++agls+xvbnx+=improved.
. ^zz++++=EXTRAWORD
The ^ati++++=The
improvement ^nn+nom+++=improvement
itself ^ppl++++=itself
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
denied ^vbd+vpub++xvbn+=denied.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
visible ^jj+pred+++=visible
in ^in++++=in
his ^pp$+pp3+++=his
black ^jj+atrb+++=black
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
restraint ^nn++++=restraint
of ^in++++=of
his ^pp$+pp3+++=his
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
attentive ^jj+atrb+++=attentive
manner ^nn++++=manner
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
listened ^vbd+++xvbnx+=listened
even ^rb++++=even
to ^in++++=to
persons ^nns++++=persons
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
particular ^jj++++=particular
to ^to++++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
whether ^cs+who+++=whether
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
a ^at++++=a
better ^jjr+atrb+++=better
preacher ^nn+nom+++=preacher
