At ^in++++=At
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
Red ^jj+atrb+++=Red
Gulch ^np+++??+=Gulch
lay ^vbd+++xvbn+=lay
stretched ^vbd+++xvbn+=stretched
beneath ^in+pl+++=beneath
the ^ati++++=the
Californian ^jj+atrb+++=Californian
sun ^nn++++=sun
with ^in++++=with
that ^dt+dem+++=that
appearance ^nn+nom+++=appearance
of ^in++++=of
moral ^jj+atrb+++=moral
exhaustion ^nn+nom+++=exhaustion
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
sometimes ^rb++++=sometimes
observable ^jj+pred+++=observable
in ^in++++=in
communities ^nns+nom+++=communities
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
sat ^vprf+++xvbnx+=sat
up ^rp++++=up
all ^rb++++=all
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road,
, ^zz++++=EXTRAWORD
white ^jj++++=white
with ^in++++=with
dust ^nn++++=dust
and ^cc++++=and
diversified ^vpsv++by+xvbn+=diversified
by ^in++++=by
empty ^jj+atrb+++=empty
bottles ^nns++++=bottles,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing-cards,
- ^zz++++=EXTRAWORD
cards ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
recent ^nn++++=recent
impress ^nns+nom+++=impress
of ^in++++=of
a ^at++++=a
mule ^nn++++=mule,
, ^zz++++=EXTRAWORD
wound ^j+++xvbn+=wound
between ^in++++=between
a ^at++++=a
saloon ^nn++++=saloon,
, ^zz++++=EXTRAWORD
a ^at++++=a
blacksmith ^nn++++=blacksmith's
's ^$++++=EXTRAWORD
shed ^vbd+++xvbn+=shed,
, ^zz++++=EXTRAWORD
three ^cd++++=three
log ^&fo++++=log
cabins ^nns++++=cabins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
schoolhouse ^nn+++??+=schoolhouse.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
these ^dt+dem+++=these
rose ^nn+++xvbn+=rose
the ^ati++++=the
scarred ^jj+atrb++xvbn+=scarred
shoulder ^nn+nom+++=shoulder
of ^in++++=of
the ^ati++++=the
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
derricks ^vbz+++??+=derricks
creaked ^vprf+++xvbn+=creaked,
, ^zz++++=EXTRAWORD
sluices ^nns++++=sluices
glittered ^vbd+++xvbn+=glittered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certain ^jj+atrb+++=certain
patient ^nn++++=patient
men ^nns++++=men
washed ^vwbn+++xvbn+=washed
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
earth ^nn++++=earth
in ^in++++=in
the ^ati++++=the
expectation ^nn+nom+++=expectation
of ^in++++=of
finding ^xvbg+++xvbg+=finding
very ^ql+amp+++=very
little ^ap++++=little
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
A ^at++++=A
belt ^nn++++=belt
of ^in++++=of
pines ^nns++++=pines
darkened ^vbd+++xvbn+=darkened
the ^ati++++=the
higher ^jjr+atrb+++=higher
ridge ^nn++++=ridge;
; ^zz++++=EXTRAWORD
lower ^jjr++++=lower
down ^rp++++=down,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
spring ^nn++++=spring
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
road ^nn++++=road
and ^cc++++=and
then ^rn+tm+++=then
modestly ^jj++++=modestly
disappeared ^jj+++xvbn+=disappeared,
, ^zz++++=EXTRAWORD
an ^at++++=an
azalea ^nn++++=azalea
bush ^nn++++=bush
flamed ^vbd+++xvbn+=flamed
against ^in++++=against
the ^ati++++=the
dun ^jj+atrb+++=dun
hillside ^nn++++=hillside
with ^in++++=with
a ^at++++=a
prodigality ^nn+nom+++=prodigality
quite ^rb++++=quite
foreign ^jj++++=foreign
to ^in++++=to
the ^ati++++=the
commercial ^jj+atrb+++=commercial
habits ^nns++++=habits
of ^in++++=of
the ^ati++++=the
settlement ^nn+nom+++=settlement.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
this ^dt+dem+++=this
bush ^nn++++=bush
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Alexander ^np+nom+++=Alexander
Morton ^np++++=Morton
known ^vbd+vprv++xvbn+=known
to ^in+vcmp+++=to
Red ^jj+atrb+++=Red
Gulch ^np+++??+=Gulch
as ^in++++=as
" ^zz++++="Sandy"
sandy ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
sleeping ^vbg+++xvbgx+=sleeping.
