It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Rulledge ^np+++??+=Rulledge
who ^whp+rel+subj++=who
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
any ^dti++++=any
of ^in++++=of
us ^pp1o+pp1+++=us
had ^vb+hv+aux++=had
ever ^rb++++=ever
had ^vb+hv+vrb++=had
a ^at++++=a
presentiment ^nn+nom+++=presentiment
which ^whp+rel+subj++=which
afterward ^rb++++=afterward
justified ^vbd+++xvbn+=justified
itself ^ppl++++=itself;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
asked ^vbd+vsua+tht0+xvbnx+=asked
it ^pp3+it+++=it
at ^in++++=at
an ^at++++=an
hour ^nn++++=hour
when ^wrb+who+++=when
presentiments ^nns+nom+++=presentiments,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
the ^ati++++=the
civility ^nn+nom+++=civility
of ^in++++=of
other ^ap++++=other
social ^jj+atrb+++=social
phenomena ^nns++++=phenomena,
, ^zz++++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
in ^in++++=in
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
late ^jj++++=late
in ^in++++=in
Minver ^np++++=Minver's
's ^$++++=EXTRAWORD
rooms ^nns++++=rooms
after ^cs+sub+++=after
a ^at++++=a
dinner ^nn++++=dinner
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
less ^rbr++++=less
from ^in++++=from
hospitality ^nn+nom+++=hospitality,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
than ^in++++=than
from ^in++++=from
a ^at++++=a
wish ^nn++++=wish
to ^to+ncmp+++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
Rulledge ^np++++=Rulledge's
's ^$++++=EXTRAWORD
appetite ^nn++++=appetite
was ^vbd+bedz+vrb++=was
a ^at++++=a
moral ^jj+atrb+++=moral
defect ^nn++++=defect
or ^cc++++=or
merely ^rb+down+++=merely
a ^at++++=a
physical ^jj+atrb+++=physical
misfortune ^nn++++=misfortune.
. ^zz++++=EXTRAWORD
The ^ati++++=The
experiment ^nn+nom+++=experiment
had ^vbd+hvd+aux++=had
proved ^vprf+++xvbnx+=proved
inconclusive ^jj++++=inconclusive.
. ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
had ^vbd+hvd+aux++=had
eaten ^vprf+++xvbnx+=eaten
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
including ^in+strn+++=including,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
confusion ^nn++++=confusion
of ^in++++=of
